t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1595606582.372;10;1.13;2.22;-2.42;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.20;-0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.030;1.11;-0.38;1.38;-1.07
1595606582.453;18;1.13;2.22;-2.38;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.21;-0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606582.554;28;1.13;2.22;-2.45;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.20;-0.13;-0.02;0.00;0.00;0.00;0.05;-0.01;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606582.654;38;1.12;2.22;-2.85;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.18;-0.16;-0.04;0.00;0.00;0.00;0.01;-0.05;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606582.754;48;1.10;2.22;-3.32;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.16;-0.20;-0.12;0.00;0.00;0.00;0.04;-0.07;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606582.854;58;1.09;2.22;-3.61;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.14;-0.23;-0.14;0.00;0.00;0.01;0.01;-0.05;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606582.954;68;1.07;2.22;-3.88;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.13;-0.25;-0.19;0.00;0.00;0.00;0.02;-0.06;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606583.054;78;1.05;2.22;-4.24;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.11;-0.28;-0.21;0.00;0.00;-0.01;0.00;-0.07;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606583.154;88;1.02;2.22;-4.69;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.08;-0.30;-0.25;0.00;0.00;-0.00;0.00;-0.07;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606583.254;98;1.00;2.22;-4.99;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.06;-0.31;-0.26;0.00;0.00;0.02;-0.01;-0.06;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606583.354;108;0.97;2.23;-5.22;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.05;-0.32;-0.28;0.00;0.00;-0.01;-0.04;-0.03;0.95;2.35;0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606583.454;118;0.94;2.23;-5.46;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.03;-0.33;-0.31;0.00;0.00;0.00;-0.02;-0.03;0.94;2.35;-0.00;0.00;-0.50;0.012;1.11;-0.38;1.38;-1.07
1595606583.551;128;0.91;2.23;-5.62;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.01;-0.34;-0.31;0.00;0.00;-0.01;0.01;-0.02;0.91;2.35;-0.00;0.00;-0.50;0.009;1.11;-0.38;1.38;-1.07
1595606583.651;138;0.88;2.23;-5.86;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;-0.01;-0.35;-0.32;0.00;0.00;-0.00;0.00;-0.02;0.88;2.35;-0.00;0.00;-0.50;0.009;1.11;-0.38;1.38;-1.07
1595606583.767;149;0.85;2.24;-5.73;0.65;2.35;0.00;0.00;0.50;214;0;1;1;-0.00;-0.35;-0.33;0.00;0.00;0.01;0.00;0.02;0.85;2.35;-0.00;0.00;-0.50;0.015;1.11;-0.38;1.38;-1.07
1595606583.868;159;0.81;2.24;-5.46;0.95;2.35;-0.00;0.11;0.00;356;1;1;5;0.55;-0.31;-0.34;0.00;0.00;-0.01;0.01;0.02;0.82;2.35;0.00;0.00;0.50;0.014;1.11;-0.38;1.38;-1.07
1595606583.951;168;0.79;2.24;-6.42;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.18;-0.28;-0.34;0.00;0.00;-0.02;0.04;-0.16;0.95;2.35;0.04;0.18;0.07;0.009;1.11;-0.38;1.38;-1.07
1595606584.047;177;0.76;2.24;-9.35;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.23;-0.23;-0.33;0.00;0.00;0.00;0.04;-0.23;0.95;2.35;0.04;0.18;0.07;0.006;1.11;-0.38;1.38;-1.07
1595606584.147;187;0.74;2.24;-9.84;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.19;-0.18;-0.30;0.00;0.00;-0.02;0.00;-0.14;0.95;2.35;0.04;0.18;0.07;0.005;1.11;-0.38;1.38;-1.07
1595606584.248;197;0.72;2.25;-10.38;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.16;-0.13;-0.27;0.00;0.00;0.00;-0.01;-0.09;0.95;2.35;0.04;0.18;0.07;0.006;1.11;-0.38;1.38;-1.07
1595606584.348;207;0.71;2.25;-10.68;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.14;-0.08;-0.20;0.00;0.00;-0.00;-0.02;-0.05;0.95;2.35;0.04;0.18;0.07;0.006;1.11;-0.38;1.38;-1.07
1595606584.454;218;0.69;2.25;-11.11;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.13;-0.03;-0.15;0.00;0.00;0.01;-0.01;-0.01;0.95;2.35;0.04;0.18;0.07;0.012;1.11;-0.38;1.38;-1.07
1595606584.548;227;0.69;2.25;-11.08;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.11;0.02;-0.10;0.00;0.00;0.01;-0.03;0.01;0.95;2.35;0.04;0.18;0.07;0.006;1.11;-0.38;1.38;-1.07
1595606584.648;237;0.69;2.25;-10.82;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.10;0.06;-0.05;0.00;0.00;0.01;-0.01;0.02;0.95;2.35;0.04;0.18;0.07;0.006;1.11;-0.38;1.38;-1.07
1595606584.748;247;0.69;2.25;-10.78;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.10;0.10;-0.01;0.00;0.00;0.00;-0.02;0.02;0.95;2.35;0.04;0.18;0.07;0.006;1.10;-0.38;1.38;-1.07
1595606584.848;257;0.69;2.25;-10.59;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.11;0.14;0.03;0.00;0.00;-0.00;-0.01;0.01;0.95;2.35;0.04;0.18;0.07;0.006;1.08;-0.38;1.38;-1.07
1595606584.948;267;0.70;2.25;-10.54;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.13;0.18;0.05;0.00;0.00;-0.00;-0.02;0.04;0.95;2.35;0.04;0.18;0.07;0.006;1.07;-0.38;1.38;-1.07
1595606585.047;277;0.72;2.25;-9.79;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.13;0.21;0.11;0.00;0.00;-0.00;-0.02;0.07;0.95;2.35;0.04;0.18;0.07;0.005;1.05;-0.38;1.38;-1.07
1595606585.147;287;0.73;2.24;-9.55;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.16;0.24;0.15;0.00;0.00;0.01;-0.01;0.08;0.95;2.35;0.04;0.18;0.07;0.006;1.03;-0.38;1.38;-1.07
1595606585.248;297;0.75;2.24;-9.30;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.20;0.27;0.18;0.00;0.00;0.00;-0.02;0.09;0.95;2.35;0.04;0.18;0.07;0.006;1.00;-0.38;1.38;-1.07
1595606585.347;307;0.77;2.24;-8.39;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.22;0.29;0.22;0.00;0.00;0.02;-0.04;0.14;0.95;2.35;0.04;0.18;0.07;0.005;0.98;-0.38;1.38;-1.07
1595606585.447;317;0.79;2.23;-7.51;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.24;0.30;0.24;0.00;0.00;0.01;-0.02;0.16;0.95;2.35;0.04;0.18;0.07;0.006;0.95;-0.38;1.38;-1.07
1595606585.548;327;0.82;2.23;-6.40;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.26;0.31;0.27;0.00;0.00;0.02;0.00;0.17;0.95;2.35;0.04;0.18;0.07;0.006;0.92;-0.38;1.38;-1.07
1595606585.648;337;0.85;2.23;-5.15;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.28;0.32;0.29;0.00;0.00;0.00;0.00;0.21;0.95;2.35;0.04;0.18;0.07;0.006;0.89;-0.38;1.38;-1.07
1595606585.748;348;0.88;2.22;-3.68;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.30;0.32;0.30;0.00;0.00;0.00;0.02;0.24;0.95;2.35;0.04;0.18;0.07;0.006;0.86;-0.38;1.38;-1.07
1595606585.848;357;0.90;2.22;-2.34;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.31;0.32;0.31;0.00;0.00;0.01;-0.00;0.28;0.95;2.35;0.04;0.18;0.07;0.006;0.83;-0.38;1.38;-1.07
1595606585.948;367;0.93;2.22;-0.64;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.31;0.31;0.31;0.00;0.00;0.01;0.01;0.29;0.95;2.35;0.04;0.18;0.07;0.006;0.80;-0.38;1.38;-1.07
1595606586.047;377;0.96;2.22;0.98;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.38;0.30;0.31;0.00;0.00;0.01;0.03;0.28;0.97;2.35;0.39;0.27;0.15;0.005;0.77;-0.38;1.38;-1.07
1595606586.147;387;0.99;2.22;2.73;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.43;0.30;0.23;0.00;0.00;-0.01;0.03;0.34;0.98;2.35;1.05;0.33;0.21;0.005;0.76;-0.38;1.38;-1.07
1595606586.248;397;1.01;2.22;5.08;1.45;2.58;54.67;0.68;0.50;356;3;1;5;0.45;0.29;0.37;0.00;0.00;0.02;0.02;0.38;1.01;2.35;2.20;0.40;0.27;0.006;0.76;-0.38;1.38;-1.07
1595606586.345;407;1.04;2.22;7.21;1.45;2.58;54.67;0.68;0.50;356;3;1;5;0.27;0.30;0.29;0.00;0.00;0.02;0.03;0.38;1.02;2.35;3.30;0.44;0.31;0.003;0.76;-0.38;1.38;-1.07
