t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1578084338.880;8;0.75;-2.13;93.32;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;-0.01;0.01;0.00;0.00;0.00;-0.00;0.01;0.00;0.69;-2.03;90.00;0.00;0.07
1578084338.979;20;0.75;-2.13;93.33;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;-0.01;0.03;0.00;0.00;0.00;-0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578084339.080;32;0.75;-2.13;93.32;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;-0.01;0.04;0.00;0.00;0.00;-0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578084339.179;44;0.75;-2.12;93.26;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;-0.00;0.05;0.01;0.00;0.00;-0.00;0.01;-0.02;0.69;-2.03;90.00;0.00;0.07
1578084339.279;56;0.75;-2.12;93.21;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;-0.00;0.06;0.02;0.00;0.00;-0.00;0.01;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084339.379;68;0.75;-2.12;93.19;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.00;0.07;0.04;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084339.479;80;0.75;-2.11;93.20;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.00;0.08;0.05;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084339.579;92;0.75;-2.11;93.09;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.01;0.09;0.05;0.00;0.00;-0.00;0.01;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084339.679;104;0.75;-2.10;93.08;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.01;0.10;0.07;0.00;0.00;-0.00;0.01;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084339.779;116;0.75;-2.09;93.09;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.01;0.10;0.08;0.00;0.00;-0.00;0.00;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084339.879;128;0.75;-2.09;92.96;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.02;0.11;0.08;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084339.979;140;0.75;-2.08;93.00;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.02;0.11;0.09;0.00;0.00;-0.00;0.00;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084340.079;152;0.76;-2.07;92.87;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.03;0.11;0.09;0.00;0.00;-0.00;0.00;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084340.179;164;0.76;-2.06;92.81;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.03;0.12;0.10;0.00;0.00;-0.00;0.00;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084340.280;176;0.76;-2.05;92.84;0.69;-1.80;90.00;0.00;1.00;0;2;0;0;0.03;0.12;0.10;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084340.379;188;0.76;-2.04;92.72;0.69;-1.80;90.00;0.00;1.00;0;2;0;0;0.04;0.12;0.10;0.00;0.00;-0.01;0.00;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084340.479;200;0.76;-2.03;92.71;0.69;-1.80;90.00;0.00;1.00;0;2;0;0;0.04;0.11;0.11;0.00;0.00;-0.00;0.01;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084340.579;212;0.76;-2.03;92.76;0.69;-1.80;90.00;0.00;1.00;0;2;0;0;0.04;0.12;0.13;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.28
1578084340.679;224;0.76;-2.02;92.69;0.69;-1.80;90.00;0.00;1.00;0;2;0;0;0.05;0.14;0.10;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.02;90.00;0.00;0.42
