t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
842.635;16;1.10;-0.30;0.15;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.04;-0.00;-0.00;-0.00;-0.01;-0.01;0.01;0.95;-0.35;0.00;0.00;-0.50;0.091;0.31;0.96;-1000.00;-1000.00
842.655;16;1.10;-0.30;0.15;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.08;-0.00;-0.00;-0.00;-0.01;-0.01;0.01;0.95;-0.35;0.00;0.00;-0.50;0.013;0.31;0.96;-1000.00;-1000.00
842.795;28;1.09;-0.30;0.28;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.12;-0.09;-0.00;-0.00;0.02;0.04;0.01;0.95;-0.35;0.00;0.00;-0.50;0.045;0.32;0.90;-1000.00;-1000.00
842.895;39;1.08;-0.30;0.49;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.10;-0.15;-0.11;0.00;0.01;0.01;0.00;0.04;0.95;-0.35;0.00;0.00;-0.50;0.047;0.32;0.85;-1000.00;-1000.00
842.985;47;1.07;-0.30;0.59;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.09;-0.18;-0.15;0.00;0.00;0.01;0.01;0.04;0.95;-0.35;0.00;0.00;-0.50;0.040;0.32;0.81;-1000.00;-1000.00
843.075;56;1.06;-0.30;0.74;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.08;-0.21;-0.18;-0.00;0.00;0.00;0.01;0.04;0.95;-0.35;0.00;0.00;-0.50;0.027;0.32;0.77;-1000.00;-1000.00
843.165;66;1.04;-0.30;0.89;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.07;-0.23;-0.21;0.00;-0.00;-0.01;-0.03;0.02;0.95;-0.35;0.00;0.00;-0.50;0.022;0.32;0.72;-1000.00;-1000.00
843.285;79;1.01;-0.30;1.15;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.06;-0.25;-0.23;0.00;0.00;0.00;-0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.032;0.32;0.65;-1000.00;-1000.00
843.355;85;1.00;-0.30;1.23;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.06;-0.27;-0.25;-0.00;0.00;0.00;0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.015;0.32;0.62;-1000.00;-1000.00
843.465;97;0.96;-0.30;1.32;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.05;-0.28;-0.27;0.00;0.00;0.00;-0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.025;0.33;0.56;-1000.00;-1000.00
843.585;108;0.93;-0.30;1.37;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.05;-0.29;-0.28;0.00;-0.00;0.00;-0.00;0.01;0.94;-0.35;-0.00;0.00;-0.50;0.040;0.33;0.51;-1000.00;-1000.00
843.735;126;0.88;-0.30;1.40;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;-0.30;-0.00;-0.00;0.00;-0.00;0.00;0.91;-0.35;-0.00;0.00;-0.50;0.052;0.33;0.42;-1000.00;-1000.00
843.765;127;0.88;-0.30;1.40;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;-0.30;-0.00;-0.00;0.00;-0.00;0.00;0.65;-0.35;0.00;0.00;-0.50;0.026;0.33;0.41;-1000.00;-1000.00
843.885;140;0.86;-0.31;0.98;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.01;-0.01;0.00;-0.01;-0.00;-0.04;0.65;-0.35;0.00;0.00;-0.50;0.041;0.33;0.37;-1000.00;-1000.00
843.955;146;0.86;-0.31;0.90;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.01;0.00;0.00;-0.00;-0.00;-0.02;0.65;-0.35;0.00;0.00;-0.50;0.015;0.33;0.37;-1000.00;-1000.00
844.075;158;0.86;-0.31;0.80;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;-0.00;0.00;0.00;0.01;-0.01;0.65;-0.35;0.00;0.00;-0.50;0.020;0.33;0.37;-1000.00;-1000.00
844.175;169;0.86;-0.31;0.75;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;-0.00;0.00;-0.00;0.00;-0.01;0.65;-0.35;0.00;0.00;-0.50;0.025;0.33;0.37;-1000.00;-1000.00
844.265;177;0.86;-0.31;0.73;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.013;0.33;0.37;-1000.00;-1000.00
844.375;188;0.86;-0.31;0.70;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.033;0.33;0.37;-1000.00;-1000.00
844.465;197;0.86;-0.31;0.69;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.025;0.33;0.37;-1000.00;-1000.00
844.575;207;0.86;-0.31;0.67;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.030;0.33;0.37;-1000.00;-1000.00
844.695;221;0.86;-0.31;0.66;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.037;0.33;0.37;-1000.00;-1000.00
844.775;226;0.86;-0.31;0.66;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.029;0.33;0.37;-1000.00;-1000.00
844.875;240;0.86;-0.31;0.65;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.032;0.33;0.33;-1000.00;-1000.00
844.975;249;0.86;-0.31;0.65;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.032;0.33;0.32;-1000.00;-1000.00
845.065;255;0.86;-0.31;0.65;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.013;0.33;0.32;-1000.00;-1000.00
845.175;269;0.86;-0.31;0.64;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.027;0.33;0.32;-1000.00;-1000.00
845.275;278;0.86;-0.31;0.64;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.025;0.33;0.32;-1000.00;-1000.00
845.385;288;0.86;-0.31;0.64;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.041;0.33;0.32;-1000.00;-1000.00
845.465;297;0.86;-0.31;0.64;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.019;0.33;0.32;-1000.00;-1000.00
845.585;307;0.86;-0.31;0.64;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.04;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.030;0.33;0.32;-1000.00;-1000.00
845.675;319;0.86;-0.31;0.64;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.08;-0.33;0.00;0.00;-0.00;0.00;0.00;-0.00;0.65;-0.35;0.00;0.00;-0.50;0.029;0.33;0.32;-1000.00;-1000.00
845.765;326;0.85;-0.31;0.71;0.65;-0.35;0.00;0.00;-0.50;217;0;1;2;-0.07;-0.37;-0.25;-0.01;0.01;-0.01;0.02;0.14;0.65;-0.35;0.00;0.00;-0.50;0.028;0.33;0.32;-1000.00;-1000.00
845.885;340;0.81;-0.31;1.46;0.55;-0.35;-0.00;0.00;-0.50;217;1;1;2;-0.03;-0.39;-0.37;0.00;-0.00;0.02;0.04;0.07;0.65;-0.35;0.00;0.00;-0.50;0.039;0.33;0.32;-1000.00;-1000.00
845.965;346;0.78;-0.31;1.56;0.55;-0.35;-0.00;0.00;-0.50;217;1;1;2;-0.03;-0.41;-0.39;0.00;0.00;-0.00;-0.00;0.01;0.65;-0.35;0.00;0.00;-0.50;0.023;0.33;0.32;-1000.00;-1000.00
846.095;359;0.73;-0.31;1.60;0.55;-0.35;-0.00;0.00;-0.50;217;1;1;2;-0.02;-0.42;-0.41;0.00;0.00;-0.00;-0.00;0.01;0.65;-0.35;0.00;0.00;-0.50;0.040;0.33;0.32;-1000.00;-1000.00
846.165;365;0.71;-0.31;1.61;0.46;-0.35;-0.00;0.00;-0.50;217;2;1;2;-0.02;-0.44;-0.42;0.00;-0.00;0.02;0.04;-0.01;0.65;-0.35;0.00;0.00;-0.50;0.021;0.33;0.32;-1000.00;-1000.00
846.265;378;0.65;-0.31;1.59;0.46;-0.35;-0.00;0.00;-0.50;217;2;1;2;-0.02;-0.44;-0.43;0.00;-0.00;-0.00;-0.00;0.00;0.65;-0.35;0.00;0.00;-0.50;0.026;0.33;0.32;-1000.00;-1000.00
846.385;389;0.60;-0.31;1.58;0.35;-0.35;0.00;0.00;-0.50;1017;0;1;2;-0.01;-0.44;-0.44;0.00;-0.00;0.00;-0.00;-0.00;0.61;-0.35;-0.00;0.00;-0.50;0.022;0.33;0.32;-1000.00;-1000.00
