t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1595875260.011;14;1.07;2.29;-2.05;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.04;-0.04;0.00;0.00;0.00;0.00;0.00;-0.00;0.95;2.35;0.00;0.00;-0.50;0.063;-100.00;-100.00;-0.52;-1.92
1595875260.057;18;1.07;2.29;-1.98;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.04;-0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.010;-100.00;-100.00;-0.52;-1.92
1595875260.158;28;1.07;2.29;-2.28;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.03;-0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-0.52;-1.92
1595875260.256;38;1.07;2.29;-2.27;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.03;-0.14;-0.01;0.00;0.00;0.00;0.05;-0.04;0.95;2.35;0.00;0.00;-0.50;0.009;-100.00;-100.00;-0.52;-1.92
1595875260.356;48;1.06;2.29;-2.51;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.01;-0.17;-0.05;0.00;0.00;0.00;-0.00;-0.01;0.95;2.35;0.00;0.00;-0.50;0.009;-100.00;-100.00;-0.52;-1.92
1595875260.456;58;1.05;2.29;-2.70;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.01;-0.20;-0.10;0.00;0.00;0.01;0.01;-0.01;0.95;2.35;0.00;0.00;-0.50;0.009;-100.00;-100.00;-0.52;-1.92
1595875260.556;68;1.03;2.29;-2.65;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.01;-0.22;-0.13;0.00;0.00;0.01;0.01;-0.01;0.95;2.35;0.00;0.00;-0.50;0.009;-100.00;-100.00;-0.52;-1.92
1595875260.656;78;1.02;2.29;-2.90;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;-0.00;-0.24;-0.16;0.00;0.00;0.02;0.02;-0.01;0.95;2.35;0.00;0.00;-0.50;0.009;-100.00;-100.00;-0.52;-1.92
1595875260.756;88;1.00;2.29;-2.94;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;-0.01;-0.26;-0.19;0.00;0.00;0.02;0.02;0.00;0.95;2.35;0.00;0.00;-0.50;0.009;-100.00;-100.00;-0.52;-1.92
1595875260.853;98;0.98;2.29;-2.72;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;0.00;-0.27;-0.21;0.00;0.00;-0.01;0.02;0.00;0.95;2.35;0.00;0.00;-0.50;0.006;-100.00;-100.00;-0.52;-1.92
1595875260.953;108;0.95;2.30;-3.01;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;-0.01;-0.28;-0.23;0.00;0.00;-0.01;-0.02;-0.01;0.95;2.35;0.00;0.00;-0.50;0.006;-100.00;-100.00;-0.52;-1.92
1595875261.053;118;0.93;2.30;-2.82;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;-0.01;-0.29;-0.24;0.00;0.00;-0.01;0.00;0.00;0.93;2.35;-0.00;0.00;-0.50;0.006;-100.00;-100.00;-0.52;-1.92
