t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1578083972.949;13;0.73;-2.13;90.81;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.09;-0.00;0.00;0.00;-0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578083973.049;25;0.73;-2.13;90.81;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.10;-0.00;0.00;0.00;-0.00;0.01;0.00;0.69;-2.03;90.00;0.00;0.07
1578083973.149;37;0.73;-2.13;90.74;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.11;0.02;0.00;0.00;-0.00;-0.03;-0.01;0.69;-2.03;90.00;0.00;0.07
1578083973.249;49;0.73;-2.12;90.88;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.12;0.07;0.00;0.00;-0.01;0.02;0.01;0.69;-2.03;90.00;0.00;0.07
1578083973.349;61;0.73;-2.11;91.00;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.12;0.10;0.00;0.00;-0.00;0.00;0.01;0.69;-2.03;90.00;0.00;0.07
1578083973.449;73;0.74;-2.10;90.88;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.13;0.10;0.00;0.00;0.00;0.01;0.00;0.69;-2.03;90.00;0.00;0.07
1578083973.549;85;0.74;-2.09;91.01;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.13;0.11;0.00;0.00;0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578083973.649;97;0.74;-2.08;90.88;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.08;0.14;0.11;0.00;0.00;0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578083973.749;109;0.74;-2.07;90.99;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.08;0.14;0.12;0.00;0.00;-0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578083973.849;121;0.74;-2.06;91.05;0.69;-1.80;90.00;0.00;1.00;0;2;0;0;0.08;0.14;0.12;0.00;0.00;-0.00;0.01;0.01;0.69;-2.03;90.00;0.00;0.07
