t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1578084133.053;11;0.75;-2.13;91.90;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.01;0.00;0.00;0.00;-0.00;0.01;0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.153;23;0.75;-2.13;91.89;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.03;0.00;0.00;0.00;-0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.253;35;0.75;-2.13;91.90;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.04;0.01;0.00;0.00;-0.00;0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.353;47;0.75;-2.13;91.85;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.05;0.02;0.00;0.00;-0.00;0.00;-0.01;0.69;-2.03;90.00;0.00;0.07
1578084133.453;59;0.75;-2.12;91.88;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.06;0.03;0.00;0.00;-0.00;0.01;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.553;71;0.75;-2.12;91.88;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.07;0.04;0.00;0.00;-0.00;-0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.653;83;0.75;-2.11;91.90;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.08;0.05;0.00;0.00;-0.00;0.00;0.01;0.69;-2.03;90.00;0.00;0.07
1578084133.753;95;0.75;-2.11;91.89;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.09;0.06;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.853;107;0.75;-2.10;91.96;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.10;0.07;0.00;0.00;-0.00;-0.00;0.00;0.69;-2.03;90.00;0.00;0.07
1578084133.953;119;0.75;-2.09;91.88;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.10;0.08;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
1578084134.053;131;0.75;-2.09;91.96;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.11;0.08;0.00;0.00;0.00;-0.00;0.01;0.69;-2.03;90.00;0.00;0.07
1578084134.153;143;0.75;-2.08;92.09;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.06;0.11;0.06;0.00;0.00;-0.00;-0.00;0.03;0.69;-2.03;90.00;0.00;0.07
1578084134.253;155;0.76;-2.07;91.99;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.12;0.07;0.00;0.00;-0.00;0.02;-0.02;0.69;-2.03;90.00;0.00;0.07
1578084134.353;167;0.76;-2.06;91.99;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.07;0.12;0.10;0.00;0.00;-0.00;0.00;-0.00;0.69;-2.03;90.00;0.00;0.07
