t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
15505.275;13;0.45;0.70;-171.89;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.76;-0.02;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.45;0.55;180.00;0.00;-0.50;0.066;4.66;5.71;-1000.00;-1000.00
15505.325;16;0.45;0.70;-171.89;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.76;-0.05;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.45;0.55;180.00;0.00;-0.50;0.018;4.66;5.71;-1000.00;-1000.00
15505.445;29;0.45;0.70;-172.59;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.73;-0.07;-0.05;0.00;-0.00;-0.02;0.03;-0.13;0.45;0.55;180.00;0.00;-0.50;0.026;4.66;5.71;-1000.00;-1000.00
15505.545;39;0.46;0.70;-173.57;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.68;-0.09;-0.07;0.00;0.00;0.00;-0.00;-0.17;0.46;0.55;180.00;0.00;-0.50;0.026;4.66;5.71;-1000.00;-1000.00
15505.635;47;0.46;0.70;-174.36;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.64;-0.11;-0.09;-0.00;-0.00;-0.00;0.00;-0.17;0.46;0.55;180.00;0.00;-0.50;0.023;4.66;5.71;-1000.00;-1000.00
15505.745;58;0.48;0.70;-175.41;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.59;-0.13;-0.11;-0.00;-0.01;-0.00;0.00;-0.15;0.47;0.55;180.00;0.00;-0.50;0.029;4.66;5.71;-1000.00;-1000.00
15505.845;66;0.48;0.70;-176.07;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.56;-0.14;-0.12;-0.00;-0.01;-0.00;0.00;-0.14;0.48;0.55;180.00;0.00;-0.50;0.030;4.66;5.71;-1000.00;-1000.00
15505.935;77;0.50;0.70;-176.89;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.52;-0.16;-0.14;0.00;-0.01;-0.00;0.00;-0.13;0.50;0.55;180.00;0.00;-0.50;0.020;4.66;5.71;-1000.00;-1000.00
15506.105;95;0.53;0.70;-178.05;0.65;0.55;180.00;0.00;0.50;450;0;1;1;0.48;-0.18;-0.16;0.00;-0.01;-0.02;0.03;-0.11;0.51;0.55;180.00;0.00;-0.50;0.047;4.66;5.71;-1000.00;-1000.00
15506.155;101;0.54;0.70;-178.36;0.65;0.55;180.00;0.00;0.50;450;0;1;1;0.29;-0.14;-0.17;-0.00;-0.01;0.01;-0.02;-0.08;0.53;0.55;180.00;0.00;0.50;0.038;4.66;5.71;-1000.00;-1000.00
