t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
61165.945;16;-1.53;-1.96;124.12;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.02;-0.01;-0.00;0.01;-0.03;-0.02;0.01;0.66;-1.95;90.00;0.00;0.50;0.080
61165.985;20;-1.53;-1.96;124.08;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.05;0.01;0.00;0.00;0.00;0.00;-0.05;0.66;-1.95;90.00;0.00;0.50;0.026
61166.105;34;-1.53;-1.95;123.14;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.07;0.05;0.00;0.00;-0.00;-0.00;-0.12;0.66;-1.95;90.00;0.00;0.50;0.035
61166.185;39;-1.53;-1.95;122.70;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.09;0.07;0.00;0.00;-0.00;0.00;-0.17;0.66;-1.95;90.00;0.00;0.50;0.023
61166.295;52;-1.54;-1.94;121.38;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.11;0.09;-0.00;-0.01;-0.00;0.00;-0.16;0.66;-1.94;90.00;0.00;0.50;0.028
61166.395;62;-1.54;-1.93;120.36;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.13;0.11;0.01;-0.01;-0.01;0.00;-0.16;0.66;-1.94;90.00;0.00;0.50;0.026
61166.495;71;-1.55;-1.92;119.44;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.14;0.13;0.02;-0.01;-0.00;0.01;-0.21;0.66;-1.93;90.00;0.00;0.50;0.024
61166.585;81;-1.56;-1.91;118.52;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.16;0.14;-0.01;-0.01;-0.07;0.01;-0.10;0.66;-1.92;90.00;0.00;0.50;0.024
61166.685;90;-1.56;-1.90;117.46;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.18;0.15;0.02;-0.01;0.07;-0.01;-0.23;0.66;-1.91;90.00;0.00;0.50;0.022
61166.805;101;-1.57;-1.88;115.89;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.19;0.20;0.04;-0.04;0.27;0.10;-0.42;0.66;-1.88;90.00;0.00;0.50;0.033
61166.895;109;-1.58;-1.87;114.22;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.21;0.20;-0.01;-0.01;-0.08;0.01;-0.41;0.66;-1.87;90.00;0.00;0.50;0.027
61166.985;120;-1.59;-1.85;111.72;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.22;0.19;0.01;-0.01;0.13;-0.03;-0.45;0.66;-1.86;90.00;0.00;0.50;0.024
61167.115;132;-1.60;-1.83;108.68;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.23;0.22;0.00;-0.06;0.17;-0.23;-0.60;0.66;-1.83;90.00;0.00;0.50;0.056
61167.205;141;-1.61;-1.81;105.75;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.24;0.24;0.00;-0.01;-0.19;0.07;-0.47;0.66;-1.82;90.00;0.00;0.50;0.041
61167.285;151;-1.61;-1.79;102.23;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.25;0.24;0.00;-0.01;-0.02;0.01;-0.68;0.66;-1.80;90.00;0.00;0.50;0.025
61167.385;159;-1.62;-1.77;99.61;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.27;0.27;0.01;0.00;0.02;-0.01;-0.68;0.66;-1.77;90.00;0.00;0.50;0.026
61167.515;174;-1.63;-1.73;92.37;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.28;0.27;0.02;-0.01;-0.06;0.05;-0.90;0.66;-1.74;90.00;0.00;0.50;0.049
61167.605;182;-1.63;-1.71;88.67;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.29;0.27;0.01;-0.00;0.02;-0.01;-0.86;0.66;-1.71;90.00;0.00;0.50;0.042
61167.695;193;-1.63;-1.67;83.26;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.29;0.29;-0.00;-0.00;-0.12;0.09;-0.75;0.66;-1.69;90.00;0.00;0.50;0.032
61167.805;202;-1.62;-1.65;79.33;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;-0.79;0.30;0.28;0.01;-0.01;0.02;-0.03;-0.77;0.66;-1.66;90.00;0.00;0.50;0.042
