t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
10310.205;15;1.73;0.66;-177.89;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.15;0.02;-0.00;-0.00;-0.00;0.01;0.01;0.01;1.73;0.55;180.00;-0.00;0.50;0.082;4.40;5.33;-1000.00;-1000.00
10310.245;16;1.73;0.66;-177.89;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.15;0.05;-0.00;-0.00;0.00;-0.00;-0.02;0.00;1.73;0.55;180.00;-0.00;0.50;0.018;4.40;5.33;-1000.00;-1000.00
10310.335;24;1.73;0.66;-177.88;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.15;0.07;-0.00;-0.00;0.00;-0.00;-0.02;0.00;1.73;0.55;180.00;-0.00;0.50;0.013;4.40;5.33;-1000.00;-1000.00
10310.445;37;1.73;0.66;-177.70;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.14;0.09;0.07;0.00;0.00;-0.00;-0.01;0.03;1.73;0.55;180.00;-0.00;0.50;0.022;4.40;5.33;-1000.00;-1000.00
10310.565;47;1.72;0.66;-177.55;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.14;0.11;0.09;-0.00;-0.00;-0.02;-0.05;0.02;1.72;0.55;180.00;-0.00;0.50;0.035;4.40;5.33;-1000.00;-1000.00
10310.645;58;1.71;0.66;-177.41;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.13;0.13;0.11;-0.00;0.00;0.01;0.03;0.03;1.71;0.55;180.00;-0.00;0.50;0.021;4.40;5.33;-1000.00;-1000.00
10310.755;66;1.70;0.66;-177.29;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.12;0.14;0.13;0.00;0.00;0.00;0.01;0.03;1.71;0.55;180.00;-0.00;0.50;0.031;4.40;5.34;-1000.00;-1000.00
10310.835;77;1.68;0.65;-177.09;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.11;0.16;0.14;0.00;0.00;0.00;-0.00;0.03;1.68;0.55;180.00;-0.00;0.50;0.014;4.40;5.34;-1000.00;-1000.00
10310.935;85;1.67;0.65;-176.97;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.10;0.18;0.16;-0.00;0.00;0.00;-0.00;0.02;1.67;0.55;180.00;-0.00;0.50;0.016;4.40;5.34;-1000.00;-1000.00
10311.045;99;1.65;0.65;-176.80;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.09;0.19;0.18;-0.00;0.00;0.00;-0.00;0.02;1.66;0.55;180.00;-0.00;0.50;0.028;4.40;5.34;-1000.00;-1000.00
10311.155;108;1.63;0.65;-176.73;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.09;0.21;0.19;-0.00;0.00;0.00;-0.00;0.01;1.63;0.55;180.00;-0.00;0.50;0.038;4.40;5.34;-1000.00;-1000.00
10311.245;119;1.61;0.65;-176.66;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.08;0.22;0.21;-0.00;0.00;0.00;-0.00;0.01;1.62;0.55;180.00;-0.00;0.50;0.023;4.40;5.34;-1000.00;-1000.00
10311.355;127;1.59;0.65;-176.62;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.07;0.23;0.22;-0.00;0.00;0.00;-0.00;0.01;1.60;0.55;180.00;-0.00;0.50;0.031;4.40;5.34;-1000.00;-1000.00
10311.455;138;1.57;0.65;-176.57;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.07;0.24;0.23;-0.00;0.00;0.00;-0.00;0.01;1.57;0.55;180.00;-0.00;0.50;0.029;4.40;5.34;-1000.00;-1000.00
10311.545;146;1.55;0.65;-176.55;1.61;0.55;180.00;-0.00;0.50;23;1;1;0;0.06;0.25;0.24;0.00;0.00;0.00;-0.00;0.00;1.55;0.55;180.00;-0.00;0.50;0.019;4.40;5.34;-1000.00;-1000.00
