t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
10262.195;16;-0.55;-3.05;90.01;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.12;0.00;0.00;-0.00;-0.00;0.00;0.00;0.66;-0.35;-0.00;0.00;-0.50;0.093;4.03;3.85;-1000.00;-1000.00
10262.225;20;-0.55;-3.05;90.01;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.23;0.00;0.00;-0.00;-0.00;0.00;0.00;0.66;-0.35;-0.00;0.00;-0.50;0.022;4.03;3.85;-1000.00;-1000.00
10262.345;31;-0.55;-3.05;90.01;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.33;0.00;0.00;-0.00;-0.00;0.00;0.00;0.66;-0.35;-0.00;0.00;-0.50;0.037;4.03;3.85;-1000.00;-1000.00
10262.425;39;-0.55;-3.04;91.38;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.43;0.24;0.01;0.00;-0.03;0.04;0.90;0.66;-0.35;-0.00;0.00;-0.50;0.020;4.03;3.85;-1000.00;-1000.00
10262.525;48;-0.55;-3.01;97.86;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.41;0.03;-0.01;-0.11;0.04;1.39;0.66;-0.35;-0.00;0.00;-0.50;0.022;4.03;3.85;-1000.00;-1000.00
10262.625;58;-0.56;-2.96;105.88;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.46;-0.15;-0.00;0.06;-0.02;1.53;0.66;-0.35;-0.00;0.00;-0.50;0.019;4.03;3.85;-1000.00;-1000.00
10262.735;71;-0.55;-2.90;117.03;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.40;-0.25;-0.05;-0.04;0.20;1.48;0.66;-0.35;-0.00;0.00;-0.50;0.029;4.03;3.85;-1000.00;-1000.00
10262.835;81;-0.56;-2.85;125.53;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.42;-0.21;-0.01;0.11;0.02;1.52;0.66;-0.35;-0.00;0.00;-0.50;0.028;4.03;3.85;-1000.00;-1000.00
10262.935;90;-0.57;-2.82;132.76;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.42;-0.18;-0.01;0.04;-0.01;1.44;0.66;-0.35;-0.00;0.00;-0.50;0.027;4.03;3.85;-1000.00;-1000.00
10263.025;99;-0.58;-2.78;140.00;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.41;-0.17;-0.01;0.02;-0.01;1.39;0.66;-0.35;-0.00;0.00;-0.50;0.025;4.03;3.85;-1000.00;-1000.00
10263.125;108;-0.60;-2.75;146.91;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.39;-0.17;-0.01;0.02;0.00;1.31;0.66;-0.35;-0.00;0.00;-0.50;0.017;4.03;3.85;-1000.00;-1000.00
10263.225;118;-0.63;-2.71;154.09;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.37;-0.14;-0.01;0.02;0.01;1.20;0.66;-0.35;-0.00;0.00;-0.50;0.021;4.03;3.85;-1000.00;-1000.00
10263.325;131;-0.67;-2.68;162.67;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.38;-0.16;-0.01;0.13;0.17;1.34;0.66;-0.35;-0.00;0.00;-0.50;0.024;4.03;3.85;-1000.00;-1000.00
10263.445;141;-0.70;-2.66;170.00;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.38;-0.20;-0.01;0.06;0.14;1.45;0.66;-0.35;-0.00;0.00;-0.50;0.040;4.03;3.85;-1000.00;-1000.00
10263.525;151;-0.74;-2.64;178.88;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.46;-0.19;0.00;0.05;0.05;1.75;0.66;-0.35;-0.00;0.00;-0.50;0.022;4.03;3.85;-1000.00;-1000.00
10263.625;161;-0.78;-2.62;187.97;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;-0.79;0.50;0.45;-0.25;-0.01;0.01;0.11;1.83;0.66;-0.35;-0.00;0.00;-0.50;0.021;4.03;3.85;-1000.00;-1000.00
10263.725;167;-0.82;-2.61;193.35;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;-0.79;0.50;0.46;-0.16;-0.01;-0.04;-0.13;0.60;0.66;-0.35;-0.00;0.00;-0.50;0.016;4.03;3.85;-1000.00;-1000.00
10263.865;185;-0.90;-2.63;180.26;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;-0.79;0.50;0.50;0.14;-0.01;-0.05;0.09;-1.87;0.66;-0.35;-0.00;0.00;-0.50;0.046;4.03;3.85;-1000.00;-1000.00
10263.945;190;-0.93;-2.63;175.19;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.49;0.19;-0.01;-0.06;0.12;-1.85;0.66;-0.35;-0.00;0.00;-0.50;0.037;4.03;3.85;-1000.00;-1000.00
10264.025;201;-0.98;-2.65;167.36;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.47;0.09;-0.00;0.04;-0.14;-0.00;0.66;-0.35;-0.00;0.00;-0.50;0.034;4.03;3.85;-1000.00;-1000.00
10264.125;209;-1.02;-2.64;172.30;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.47;-0.06;0.00;-0.02;0.05;1.87;0.66;-0.35;-0.00;0.00;-0.50;0.019;4.03;3.85;-1000.00;-1000.00
10264.225;220;-1.07;-2.63;183.83;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;-0.79;0.50;0.48;-0.15;-0.00;0.02;-0.04;1.78;0.66;-0.35;-0.00;0.00;-0.50;0.022;4.03;3.85;-1000.00;-1000.00
10264.335;228;-1.11;-2.62;189.61;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;-0.79;0.50;0.47;-0.11;-0.00;-0.03;-0.04;0.36;0.66;-0.35;-0.00;0.00;-0.50;0.024;4.03;3.85;-1000.00;-1000.00
10264.435;241;-1.18;-2.63;180.40;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;-0.79;0.50;0.49;0.06;-0.01;0.05;-0.09;-1.81;0.66;-0.35;-0.00;0.00;-0.50;0.026;4.03;3.85;-1000.00;-1000.00
10264.535;251;-1.23;-2.63;170.24;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.47;0.19;-0.00;-0.04;0.02;-1.74;0.66;-0.35;-0.00;0.00;-0.50;0.034;4.03;3.85;-1000.00;-1000.00
10264.645;260;-1.27;-2.64;164.64;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.47;0.10;-0.01;0.01;-0.04;-0.05;0.66;-0.35;-0.00;0.00;-0.50;0.035;4.03;3.85;-1000.00;-1000.00
10264.725;271;-1.32;-2.62;173.53;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.50;0.51;-0.06;-0.05;0.07;-0.17;1.94;0.66;-0.35;-0.00;0.00;-0.50;0.018;4.03;3.85;-1000.00;-1000.00
