t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
29710.725;9;1.01;-2.20;90.73;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.17;0.03;-0.00;-0.00;0.00;-0.02;0.00;0.00;1.06;-2.16;90.00;-0.00;0.50;0.037
29710.805;16;1.01;-2.20;90.74;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.17;0.06;-0.00;-0.00;-0.00;0.01;-0.01;0.01;1.06;-2.16;90.00;-0.00;0.50;0.019
29710.905;24;1.01;-2.20;90.74;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.17;0.08;-0.00;0.00;-0.00;0.01;-0.01;-0.00;1.06;-2.16;90.00;-0.00;0.50;0.026
29711.025;39;1.01;-2.19;90.51;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.16;0.11;0.08;-0.00;0.00;-0.05;-0.03;-0.03;1.06;-2.16;90.00;-0.00;0.50;0.035
29711.095;43;1.01;-2.19;90.43;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.16;0.13;0.10;-0.00;-0.00;0.02;0.01;-0.04;1.06;-2.16;90.00;-0.00;0.50;0.013
29711.205;57;1.00;-2.17;90.06;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.14;0.15;0.13;0.00;0.00;-0.00;-0.00;-0.04;1.06;-2.16;90.00;-0.00;0.50;0.020
29711.315;66;1.00;-2.16;89.86;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.13;0.17;0.15;0.00;0.00;-0.00;0.00;-0.04;1.06;-2.16;90.00;-0.00;0.50;0.031
29711.415;76;1.00;-2.14;89.68;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.12;0.18;0.17;0.00;0.00;-0.00;0.00;-0.03;1.06;-2.15;90.00;0.00;0.50;0.029
29711.495;84;1.01;-2.13;89.56;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.12;0.20;0.18;0.00;0.00;-0.00;0.00;-0.03;1.06;-2.13;90.00;0.00;0.50;0.014
29711.605;95;1.01;-2.11;89.41;1.06;-2.16;90.00;-0.00;0.50;761;0;1;0;-0.11;0.21;0.20;0.00;0.00;-0.00;0.00;-0.02;1.06;-2.11;90.00;0.00;0.50;0.019
29711.705;104;1.01;-2.09;89.31;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.10;0.22;0.21;0.00;0.00;-0.00;-0.00;-0.02;1.06;-2.09;90.00;0.00;0.50;0.014
29711.795;114;1.01;-2.07;89.22;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.10;0.24;0.23;0.00;-0.00;0.00;-0.00;-0.02;1.06;-2.07;90.00;0.00;0.50;0.011
29711.895;124;1.01;-2.05;89.13;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.09;0.25;0.24;0.00;-0.00;0.00;-0.00;-0.01;1.06;-2.05;90.00;0.00;0.50;0.010
29711.995;134;1.01;-2.02;89.06;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.09;0.26;0.25;0.00;-0.00;0.00;-0.00;-0.01;1.06;-2.03;90.00;0.00;0.50;0.016
29712.105;143;1.01;-2.00;89.01;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.08;0.27;0.26;-0.00;-0.00;0.00;-0.00;-0.01;1.06;-2.00;90.00;0.00;0.50;0.014
29712.205;157;1.01;-1.96;88.94;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.08;0.28;0.27;0.00;-0.00;0.00;-0.00;-0.01;1.06;-1.97;90.00;0.00;0.50;0.023
29712.315;166;1.01;-1.93;88.90;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.08;0.29;0.28;-0.00;-0.00;0.00;-0.00;-0.01;1.06;-1.95;90.00;0.00;0.50;0.023
29712.395;175;1.01;-1.91;88.87;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.07;0.30;0.29;-0.00;-0.00;0.00;-0.00;-0.01;1.06;-1.92;90.00;0.00;0.50;0.016
29712.505;186;1.01;-1.88;88.83;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.07;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.01;1.06;-1.88;90.00;0.00;0.50;0.020
29712.595;194;1.01;-1.85;88.82;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.07;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.86;90.00;0.00;0.50;0.010
29712.705;205;1.01;-1.82;88.81;1.06;-1.86;90.00;0.00;0.50;761;1;1;0;-0.07;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.82;90.00;0.00;0.50;0.018
29712.795;213;1.01;-1.79;88.80;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.80;90.00;0.00;0.50;0.010
29712.895;224;1.01;-1.76;88.80;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.76;90.00;0.00;0.50;0.010
29712.995;232;1.01;-1.74;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.74;90.00;0.00;0.50;0.011
29713.085;243;1.01;-1.70;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.70;90.00;0.00;0.50;0.006
29713.195;255;1.01;-1.67;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.68;90.00;0.00;0.50;0.010
29713.305;265;1.01;-1.64;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.65;90.00;0.00;0.50;0.015
29713.395;275;1.01;-1.61;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.60;90.00;-0.00;0.50;0.012
29713.495;283;1.02;-1.58;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.58;90.00;-0.00;0.50;0.009
29713.595;294;1.02;-1.55;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.56;90.00;-0.00;0.50;0.007
29713.695;302;1.02;-1.53;88.79;1.06;-1.56;90.00;-0.00;0.50;761;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.53;90.00;-0.00;0.50;0.011
29713.785;313;1.02;-1.49;88.79;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.50;90.00;-0.00;0.50;0.006
29713.885;321;1.02;-1.47;88.79;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.47;90.00;-0.00;0.50;0.003
29713.985;335;1.02;-1.43;88.80;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.04;0.01;0.02;1.06;-1.44;90.00;-0.00;0.50;0.006
29714.085;344;1.02;-1.40;88.79;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.04;0.30;0.32;0.01;-0.03;0.22;-0.02;-0.02;1.06;-1.40;90.00;-0.00;0.50;0.003
29714.185;355;1.02;-1.37;88.73;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.04;0.30;0.31;0.01;0.00;0.01;-0.01;-0.02;1.06;-1.36;90.00;-0.00;0.50;0.003
29714.295;363;1.02;-1.34;88.69;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.04;0.30;0.30;0.00;-0.00;-0.03;0.01;-0.01;1.06;-1.34;90.00;-0.00;0.50;0.005
29714.395;372;1.02;-1.32;88.58;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.03;0.30;0.30;0.01;-0.00;0.04;-0.04;-0.02;1.06;-1.32;90.00;-0.00;0.50;0.006
29714.485;382;1.02;-1.29;88.49;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.03;0.30;0.30;0.00;-0.00;0.04;-0.04;-0.00;1.06;-1.28;90.00;-0.00;0.50;0.008
29714.595;393;1.02;-1.25;88.42;1.06;-1.27;90.00;-0.00;0.50;761;3;1;0;-0.02;0.30;0.30;0.00;0.00;-0.00;0.00;-0.01;1.06;-1.26;90.00;-0.00;0.50;0.006
29714.715;405;1.02;-1.22;88.41;1.06;-0.96;90.00;0.00;-0.50;769;0;1;2;-0.02;0.30;0.30;0.00;0.00;-0.00;-0.00;0.00;1.06;-1.23;90.00;-0.00;0.50;0.019
29714.845;420;1.02;-1.17;88.36;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.17;0.26;0.28;0.00;0.00;-0.01;0.00;-0.09;1.06;-1.19;90.00;-0.00;-0.50;0.030
29714.915;424;1.02;-1.16;88.03;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.19;0.20;0.26;0.00;0.00;-0.00;-0.00;-0.15;1.06;-1.36;90.00;0.00;-0.50;0.028
29715.005;435;1.02;-1.13;87.34;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.22;0.14;0.20;-0.00;0.00;0.01;-0.00;-0.08;1.06;-1.36;90.00;0.00;-0.50;0.020
29715.095;444;1.02;-1.12;87.07;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.23;0.09;0.14;-0.00;-0.00;0.01;-0.00;-0.04;1.06;-1.36;90.00;0.00;-0.50;0.016
29715.195;455;1.02;-1.11;87.05;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.23;0.03;0.08;-0.00;-0.00;0.00;-0.00;0.01;1.06;-1.36;90.00;0.00;-0.50;0.014
29715.315;467;1.03;-1.10;87.36;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.22;-0.03;0.03;-0.00;-0.00;0.00;-0.00;0.05;1.06;-1.36;90.00;0.00;-0.50;0.029
29715.405;477;1.03;-1.10;87.78;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.20;-0.08;-0.03;0.00;-0.00;0.00;-0.00;0.08;1.06;-1.36;90.00;0.00;-0.50;0.017
29715.505;486;1.02;-1.11;88.26;1.06;-1.36;90.00;0.00;-0.50;763;0;1;2;-0.17;-0.13;-0.08;0.00;0.00;-0.00;0.00;0.10;1.06;-1.36;90.00;0.00;-0.50;0.021
