t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
33266.745;14;1.05;-2.22;96.50;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.34;0.03;-0.00;-0.00;0.00;-0.02;0.00;0.00;1.06;-2.16;90.00;-0.00;0.50;0.043
33266.835;20;1.05;-2.22;96.51;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.34;0.06;-0.00;0.00;0.00;-0.01;0.01;0.01;1.06;-2.16;90.00;-0.00;0.50;0.032
33266.925;29;1.05;-2.22;96.42;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.34;0.09;0.05;-0.00;0.00;-0.05;0.01;-0.10;1.06;-2.16;90.00;-0.00;0.50;0.021
33267.035;39;1.05;-2.21;95.95;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.32;0.12;0.09;0.00;0.00;-0.01;-0.00;-0.10;1.06;-2.16;90.00;-0.00;0.50;0.024
33267.135;49;1.05;-2.20;95.41;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.29;0.14;0.12;0.00;0.00;-0.00;-0.00;-0.10;1.06;-2.16;90.00;-0.00;0.50;0.029
33267.235;60;1.05;-2.19;94.85;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.27;0.16;0.14;0.00;-0.00;-0.00;-0.00;-0.08;1.06;-2.16;90.00;-0.00;0.50;0.029
33267.325;68;1.05;-2.18;94.49;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.25;0.18;0.16;-0.00;-0.00;0.00;-0.00;-0.08;1.06;-2.16;90.00;-0.00;0.50;0.015
33267.415;78;1.05;-2.16;94.10;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.24;0.19;0.18;0.00;-0.00;-0.00;-0.00;-0.07;1.06;-2.16;90.00;-0.00;0.50;0.014
33267.525;92;1.04;-2.13;93.65;1.06;-2.16;90.00;-0.00;0.50;746;0;1;0;-0.22;0.21;0.20;0.00;-0.01;0.00;-0.00;-0.05;1.06;-2.15;90.00;0.00;0.50;0.028
33267.615;98;1.04;-2.12;93.50;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.22;0.22;0.21;-0.00;-0.01;0.00;-0.00;-0.04;1.06;-2.12;90.00;0.00;0.50;0.017
33267.705;106;1.04;-2.11;93.32;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.21;0.23;0.22;-0.00;-0.01;0.00;-0.00;-0.04;1.06;-2.11;90.00;0.00;0.50;0.009
33267.825;121;1.04;-2.07;93.00;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.20;0.25;0.24;-0.00;-0.01;0.00;-0.01;-0.04;1.06;-2.09;90.00;0.00;0.50;0.018
33267.925;129;1.04;-2.05;92.86;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.19;0.26;0.25;-0.00;-0.01;-0.00;-0.01;-0.03;1.06;-2.05;90.00;0.00;0.50;0.019
33268.025;140;1.04;-2.02;92.67;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.19;0.27;0.26;-0.00;-0.01;-0.00;-0.01;-0.03;1.06;-2.03;90.00;0.00;0.50;0.019
33268.115;149;1.04;-2.00;92.53;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.18;0.28;0.27;-0.00;-0.01;-0.00;-0.01;-0.03;1.06;-2.00;90.00;0.00;0.50;0.011
33268.215;159;1.04;-1.97;92.37;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.18;0.29;0.28;-0.00;-0.01;-0.00;-0.01;-0.03;1.06;-1.98;90.00;0.00;0.50;0.011
33268.315;168;1.03;-1.95;92.23;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.17;0.30;0.29;-0.00;-0.01;-0.00;-0.01;-0.03;1.06;-1.94;90.00;0.00;0.50;0.009
33268.425;178;1.03;-1.92;92.09;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.17;0.30;0.30;-0.00;-0.01;-0.00;-0.01;-0.03;1.06;-1.92;90.00;0.00;0.50;0.021
33268.525;191;1.03;-1.88;91.93;1.06;-1.86;90.00;0.00;0.50;746;1;1;0;-0.17;0.30;0.30;-0.00;-0.01;0.00;-0.02;-0.02;1.06;-1.89;90.00;0.00;0.50;0.020
