t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
36833.135;9;1.14;-2.24;90.39;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.18;0.03;0.00;0.00;-0.00;0.02;-0.01;-0.01;1.06;-2.16;90.00;-0.00;0.50;0.045
36833.215;16;1.14;-2.24;90.41;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.18;0.07;-0.00;-0.00;0.00;-0.01;0.01;0.01;1.06;-2.16;90.00;-0.00;0.50;0.028
36833.325;24;1.14;-2.24;90.54;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.17;0.10;0.05;-0.01;-0.00;-0.03;0.01;0.03;1.06;-2.16;90.00;-0.00;0.50;0.027
36833.425;35;1.14;-2.23;90.77;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.16;0.12;0.10;0.00;0.00;-0.01;0.00;0.04;1.06;-2.16;90.00;-0.00;0.50;0.028
36833.505;43;1.14;-2.22;90.98;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.15;0.15;0.12;0.00;0.00;-0.00;-0.00;0.05;1.06;-2.16;90.00;-0.00;0.50;0.017
36833.605;54;1.14;-2.21;91.27;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.14;0.17;0.15;-0.00;0.00;-0.00;-0.00;0.04;1.06;-2.16;90.00;-0.00;0.50;0.018
36833.725;66;1.14;-2.19;91.54;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.12;0.19;0.17;-0.00;0.00;-0.00;-0.00;0.03;1.06;-2.16;90.00;-0.00;0.50;0.029
36833.815;77;1.14;-2.17;91.72;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.11;0.21;0.19;-0.00;0.00;-0.00;-0.00;0.03;1.06;-2.16;90.00;-0.00;0.50;0.024
36833.925;85;1.14;-2.15;91.82;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.11;0.22;0.21;-0.00;0.00;-0.00;-0.00;0.02;1.06;-2.16;90.00;-0.00;0.50;0.032
36834.005;94;1.14;-2.13;91.92;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.10;0.23;0.22;0.00;0.00;0.00;0.00;0.02;1.06;-2.13;90.00;0.00;0.50;0.014
36834.125;104;1.14;-2.11;92.01;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.09;0.24;0.23;-0.00;-0.00;0.00;0.00;0.01;1.06;-2.11;90.00;0.00;0.50;0.028
36834.205;113;1.14;-2.09;92.07;1.06;-2.16;90.00;-0.00;0.50;726;0;1;0;0.09;0.26;0.25;0.00;-0.00;0.00;0.00;0.01;1.06;-2.09;90.00;0.00;0.50;0.016
36834.325;127;1.14;-2.05;92.15;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.08;0.27;0.26;-0.00;-0.00;0.00;0.00;0.01;1.06;-2.06;90.00;0.00;0.50;0.032
36834.405;132;1.14;-2.04;92.18;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.08;0.28;0.27;0.00;-0.00;0.00;0.00;0.01;1.06;-2.04;90.00;0.00;0.50;0.011
36834.505;142;1.14;-2.01;92.22;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.07;0.29;0.28;0.00;-0.00;0.00;0.00;0.01;1.06;-2.01;90.00;0.00;0.50;0.009
36834.605;153;1.14;-1.98;92.25;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.07;0.30;0.29;0.00;-0.00;0.00;0.00;0.00;1.06;-1.98;90.00;0.00;0.50;0.012
36834.715;166;1.13;-1.94;92.28;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.07;0.30;0.30;0.00;-0.00;0.00;0.00;0.00;1.06;-1.95;90.00;0.00;0.50;0.021
36834.815;175;1.13;-1.91;92.28;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.06;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.92;90.00;0.00;0.50;0.017
36834.915;185;1.13;-1.88;92.27;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.06;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.88;90.00;0.00;0.50;0.015
36835.005;196;1.13;-1.85;92.26;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.06;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.86;90.00;0.00;0.50;0.013
36835.095;204;1.13;-1.83;92.24;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.06;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.82;90.00;0.00;0.50;0.014
36835.205;214;1.13;-1.80;92.23;1.06;-1.86;90.00;0.00;0.50;726;1;1;0;0.05;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.80;90.00;0.00;0.50;0.013
36835.305;222;1.13;-1.77;92.22;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.05;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.77;90.00;0.00;0.50;0.011
36835.415;233;1.13;-1.74;92.21;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.05;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.74;90.00;0.00;0.50;0.013
36835.505;245;1.13;-1.70;92.19;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.05;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.71;90.00;0.00;0.50;0.010
36835.595;255;1.12;-1.67;92.18;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.04;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.68;90.00;0.00;0.50;0.006
36835.695;264;1.12;-1.65;92.16;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.04;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.64;90.00;0.00;0.50;0.006
36835.805;275;1.12;-1.61;92.14;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.04;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.62;90.00;-0.00;0.50;0.013
36835.905;283;1.12;-1.59;92.13;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.04;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.59;90.00;-0.00;0.50;0.011
36836.005;293;1.12;-1.56;92.12;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.04;0.30;0.30;-0.01;0.00;-0.04;0.00;0.00;1.06;-1.56;90.00;-0.00;0.50;0.014
36836.095;303;1.12;-1.53;92.18;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.03;0.30;0.30;-0.00;0.00;-0.00;0.00;0.02;1.06;-1.53;90.00;-0.00;0.50;0.006
36836.195;311;1.12;-1.50;92.21;1.06;-1.56;90.00;-0.00;0.50;726;2;1;0;0.03;0.30;0.30;-0.00;-0.00;-0.03;-0.01;-0.01;1.06;-1.51;90.00;-0.00;0.50;0.006
36836.295;322;1.12;-1.47;92.28;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.02;0.30;0.30;-0.00;0.00;0.00;-0.00;0.01;1.06;-1.47;90.00;-0.00;0.50;0.006
36836.405;336;1.12;-1.43;92.29;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.02;0.30;0.30;0.00;-0.00;0.00;-0.00;0.00;1.06;-1.45;90.00;-0.00;0.50;0.010
36836.495;341;1.12;-1.41;92.28;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.02;0.30;0.30;0.00;-0.00;0.00;0.00;-0.00;1.06;-1.41;90.00;-0.00;0.50;0.005
36836.605;356;1.11;-1.37;92.25;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.02;0.30;0.30;0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.38;90.00;-0.00;0.50;0.010
36836.705;365;1.11;-1.34;92.23;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.01;0.30;0.30;0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.34;90.00;-0.00;0.50;0.003
36836.805;375;1.11;-1.31;92.20;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.01;0.30;0.30;0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.32;90.00;-0.00;0.50;0.003
36836.905;384;1.11;-1.29;92.18;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.01;0.30;0.30;-0.00;-0.00;0.00;0.00;-0.00;1.06;-1.28;90.00;-0.00;0.50;0.007
36836.995;394;1.11;-1.26;92.15;1.06;-1.27;90.00;-0.00;0.50;726;3;1;0;0.01;0.30;0.30;-0.00;-0.00;0.00;0.00;-0.00;1.06;-1.26;90.00;-0.00;0.50;0.003
36837.115;403;1.11;-1.23;92.13;1.06;-0.96;90.00;0.00;-0.50;734;0;1;2;0.01;0.30;0.30;-0.00;-0.00;0.00;0.00;-0.00;1.06;-1.23;90.00;-0.00;0.50;0.018
36837.235;417;1.11;-1.19;92.09;1.06;-1.36;90.00;0.00;-0.50;728;0;1;2;0.21;0.26;0.30;-0.00;-0.00;0.00;0.00;-0.00;1.06;-1.20;90.00;-0.00;-0.50;0.026
36837.315;427;1.11;-1.16;93.00;1.06;-1.36;90.00;0.00;-0.50;728;0;1;2;0.26;0.20;0.25;-0.02;-0.00;0.01;0.01;0.17;1.06;-1.36;90.00;0.00;-0.50;0.024
