t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1595880128.381;13;1.04;2.25;4.23;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.46;-0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-100.00;-100.00
1595880128.492;24;1.04;2.25;4.22;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.46;-0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.022;-100.00;-100.00;-100.00;-100.00
1595880128.581;33;1.04;2.25;4.31;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.46;-0.13;-0.00;0.00;0.00;0.00;0.03;-0.03;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-100.00;-100.00
1595880128.692;44;1.03;2.25;3.34;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.41;-0.15;-0.03;0.00;0.00;0.00;-0.03;-0.13;0.95;2.35;0.00;0.00;-0.50;0.022;-100.00;-100.00;-100.00;-100.00
1595880128.781;53;1.02;2.25;2.41;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.37;-0.18;-0.09;0.00;0.00;0.01;0.02;-0.16;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-100.00;-100.00
1595880128.881;63;1.01;2.25;1.34;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.31;-0.20;-0.12;0.00;0.00;0.01;-0.02;-0.17;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-100.00;-100.00
1595880128.981;73;0.99;2.25;0.40;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.27;-0.22;-0.15;0.00;0.00;0.01;-0.01;-0.16;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-100.00;-100.00
1595880129.081;83;0.98;2.25;-0.47;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.23;-0.24;-0.20;0.00;0.00;0.00;-0.01;-0.15;0.95;2.35;0.00;0.00;-0.50;0.011;-100.00;-100.00;-100.00;-100.00
1595880129.178;93;0.96;2.25;-1.18;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.19;-0.25;-0.19;0.00;0.00;-0.00;0.02;-0.13;0.95;2.35;0.00;0.00;-0.50;0.008;-100.00;-100.00;-100.00;-100.00
1595880129.279;103;0.94;2.25;-1.92;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.16;-0.26;-0.20;0.00;0.00;-0.01;0.00;-0.12;0.94;2.35;-0.00;0.00;-0.50;0.009;-100.00;-100.00;-100.00;-100.00
1595880129.379;113;0.92;2.25;-2.68;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.12;-0.27;-0.22;0.00;0.00;-0.01;0.01;-0.09;0.92;2.35;-0.00;0.00;-0.50;0.009;-100.00;-100.00;-100.00;-100.00
1595880129.479;123;0.89;2.25;-3.03;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;0.09;-0.28;-0.23;0.00;0.00;0.01;0.01;-0.08;0.89;2.35;-0.00;0.00;-0.50;0.009;-100.00;-100.00;-100.00;-100.00
1595880129.590;134;0.87;2.25;-3.38;0.65;2.35;0.00;0.00;0.50;214;0;1;1;0.08;-0.29;-0.24;0.00;0.00;0.01;-0.00;-0.06;0.87;2.35;-0.00;0.00;-0.50;0.013;-100.00;-100.00;-100.00;-100.00
1595880129.695;145;0.84;2.25;-3.86;0.95;2.35;-0.00;0.11;0.00;356;1;1;5;0.43;-0.25;-0.26;0.00;0.00;0.00;-0.01;-0.05;0.85;2.35;0.00;0.00;0.50;0.014;-100.00;-100.00;-100.00;-100.00
1595880129.778;153;0.82;2.25;-4.00;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.18;-0.23;-0.26;0.00;0.00;-0.01;-0.02;-0.16;0.95;2.35;0.04;0.18;0.07;0.008;-100.00;-100.00;-100.00;-100.00
