t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
849.505;16;1.10;-0.30;0.02;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.097;2.52;-0.12;-1000.00;-1000.00
849.525;16;1.10;-0.30;0.02;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.12;-0.08;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.017;2.52;-0.12;-1000.00;-1000.00
849.635;25;1.10;-0.30;0.15;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.12;-0.08;0.00;-0.00;0.00;-0.01;0.03;0.95;-0.35;0.00;0.00;-0.50;0.018;2.54;-0.08;-1000.00;-1000.00
849.725;35;1.09;-0.30;0.29;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.15;-0.12;0.00;-0.00;-0.01;-0.02;0.02;0.95;-0.35;0.00;0.00;-0.50;0.015;2.56;-0.03;-1000.00;-1000.00
849.835;49;1.07;-0.30;0.49;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.09;-0.18;-0.15;-0.00;0.00;-0.01;-0.02;0.03;0.95;-0.35;0.00;0.00;-0.50;0.025;2.58;0.03;-1000.00;-1000.00
849.935;58;1.05;-0.30;0.63;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.09;-0.21;-0.18;0.00;0.00;0.00;0.01;0.04;0.95;-0.35;0.00;0.00;-0.50;0.021;2.57;0.07;-1000.00;-1000.00
850.035;69;1.03;-0.30;0.85;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.08;-0.23;-0.21;0.00;0.00;0.00;-0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.022;2.57;0.12;-1000.00;-1000.00
850.165;78;1.01;-0.30;0.98;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.07;-0.25;-0.23;0.00;0.00;0.00;-0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.047;2.56;0.17;-1000.00;-1000.00
850.245;88;0.99;-0.30;1.09;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.06;-0.27;-0.25;-0.00;0.00;0.00;-0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.032;2.54;0.22;-1000.00;-1000.00
850.335;97;0.96;-0.30;1.16;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.06;-0.28;-0.27;0.00;0.00;0.00;-0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.016;2.53;0.26;-1000.00;-1000.00
850.435;107;0.94;-0.30;1.21;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.05;-0.29;-0.28;0.00;-0.00;0.00;-0.00;0.01;0.95;-0.35;-0.00;0.00;-0.50;0.021;2.51;0.30;-1000.00;-1000.00
850.545;121;0.90;-0.30;1.25;0.65;-0.35;0.00;-0.00;0.37;217;0;1;7;-0.05;-0.30;-0.30;-0.00;-0.00;0.00;0.00;0.00;0.91;-0.35;-0.00;0.00;-0.50;0.030;2.49;0.36;-1000.00;-1000.00
850.635;126;0.88;-0.30;1.26;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;-0.30;0.00;-0.00;0.00;-0.00;0.00;0.89;-0.34;8.71;0.51;0.45;0.024;2.49;0.38;-1000.00;-1000.00
850.735;135;0.86;-0.30;0.96;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;-0.05;0.00;-0.00;0.01;0.02;-0.11;0.87;-0.34;7.48;0.48;0.45;0.020;2.47;0.42;-1000.00;-1000.00
850.855;150;0.86;-0.30;0.67;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;-0.00;-0.02;0.87;-0.34;7.48;0.48;0.45;0.039;2.43;0.47;-1000.00;-1000.00
850.935;156;0.86;-0.30;0.60;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;-0.00;-0.00;-0.01;-0.02;-0.02;0.87;-0.34;7.48;0.48;0.45;0.027;2.41;0.49;-1000.00;-1000.00
851.065;170;0.86;-0.30;0.53;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;-0.00;0.00;-0.00;0.00;-0.01;0.87;-0.34;7.48;0.48;0.45;0.042;2.37;0.53;-1000.00;-1000.00
851.165;179;0.86;-0.30;0.50;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.01;0.87;-0.34;7.48;0.48;0.45;0.051;2.34;0.56;-1000.00;-1000.00
851.265;189;0.86;-0.30;0.47;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.051;2.31;0.58;-1000.00;-1000.00
851.355;198;0.86;-0.30;0.46;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.040;2.28;0.59;-1000.00;-1000.00
851.455;209;0.86;-0.30;0.44;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.044;2.24;0.61;-1000.00;-1000.00
851.545;219;0.86;-0.30;0.43;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.029;2.20;0.63;-1000.00;-1000.00
851.645;230;0.86;-0.30;0.42;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.030;2.16;0.64;-1000.00;-1000.00
851.735;238;0.86;-0.30;0.42;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.020;2.13;0.65;-1000.00;-1000.00
851.865;248;0.86;-0.30;0.41;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.042;2.10;0.66;-1000.00;-1000.00
851.935;258;0.86;-0.30;0.41;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.029;2.06;0.67;-1000.00;-1000.00
852.035;266;0.86;-0.30;0.41;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.028;2.04;0.67;-1000.00;-1000.00
852.145;277;0.86;-0.30;0.41;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.027;2.00;0.67;-1000.00;-1000.00
852.255;290;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.029;1.95;0.67;-1000.00;-1000.00
852.345;300;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.035;1.91;0.66;-1000.00;-1000.00
852.425;304;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.013;1.90;0.66;-1000.00;-1000.00
852.545;317;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.031;1.84;0.66;-1000.00;-1000.00
852.665;330;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.038;1.79;0.66;-1000.00;-1000.00
852.765;339;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.047;1.75;0.65;-1000.00;-1000.00
852.835;347;0.86;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.027;1.71;0.65;-1000.00;-1000.00
852.945;357;0.87;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.036;1.67;0.65;-1000.00;-1000.00
853.045;368;0.87;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.033;1.62;0.65;-1000.00;-1000.00
853.165;382;0.87;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.048;1.56;0.64;-1000.00;-1000.00
853.235;386;0.87;-0.30;0.40;1.03;-0.30;24.90;0.79;0.50;217;1;0;7;-0.05;-0.30;0.00;0.00;-0.00;0.00;0.00;-0.00;0.87;-0.34;7.48;0.48;0.45;0.022;1.55;0.64;-1000.00;-1000.00
