t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
6655.345;11;1.04;-2.14;88.59;0.96;-2.06;90.00;-0.00;0.50;421;1;1;0;0.25;0.02;-0.00;0.00;0.00;-0.00;-0.00;-0.00;0.96;-2.14;90.00;-0.00;0.50;0.030
6655.425;16;1.04;-2.14;88.58;0.96;-2.06;90.00;-0.00;0.50;421;1;1;0;0.25;0.05;0.00;-0.00;-0.00;-0.06;-0.03;-0.00;0.96;-2.14;90.00;-0.00;0.50;0.013
6655.535;30;1.04;-2.13;88.78;0.96;-2.06;90.00;-0.00;0.50;421;1;1;0;0.24;0.07;0.05;-0.00;-0.00;-0.06;0.03;0.03;0.96;-2.14;90.00;-0.00;0.50;0.026
6655.645;39;1.04;-2.13;88.99;0.96;-2.06;90.00;-0.00;0.50;421;1;1;0;0.23;0.09;0.07;0.00;0.00;0.02;-0.01;0.04;0.96;-2.13;90.00;-0.00;0.50;0.023
6655.725;49;1.04;-2.12;89.30;0.96;-2.06;90.00;-0.00;0.50;421;1;1;0;0.22;0.11;0.09;0.00;0.00;0.00;-0.00;0.06;0.96;-2.12;90.00;-0.00;0.50;0.013
6655.825;58;1.04;-2.11;89.59;0.96;-2.06;90.00;-0.00;0.50;421;1;1;0;0.20;0.13;0.11;-0.00;0.00;-0.00;-0.00;0.05;0.96;-2.12;90.00;-0.00;0.50;0.012
6655.945;69;1.04;-2.10;89.91;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.19;0.14;0.13;-0.00;0.00;-0.00;-0.00;0.05;0.96;-2.10;90.00;-0.00;0.50;0.017
6656.025;77;1.04;-2.09;90.12;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;-0.35;0.17;0.14;-0.00;0.00;-0.00;-0.00;0.04;0.96;-1.85;90.00;0.07;0.06;0.015
6656.125;88;1.04;-2.07;88.82;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;-0.25;0.19;0.17;-0.01;0.01;-0.00;-0.01;-0.32;0.96;-1.85;90.00;0.07;0.06;0.009
6656.235;96;1.04;-2.06;87.78;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;-0.18;0.21;0.19;0.00;0.00;-0.01;0.00;-0.18;0.96;-1.85;90.00;0.07;0.06;0.018
6656.335;110;1.04;-2.03;86.87;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;-0.08;0.22;0.21;0.00;-0.00;0.00;0.00;-0.08;0.96;-1.85;90.00;0.07;0.06;0.021
6656.425;115;1.04;-2.02;86.83;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;-0.05;0.24;0.22;-0.00;-0.00;-0.00;0.00;0.01;0.96;-1.85;90.00;0.07;0.06;0.012
6656.545;130;1.04;-1.98;87.05;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.02;0.25;0.24;0.00;-0.00;-0.00;0.00;0.03;0.96;-1.85;90.00;0.07;0.06;0.021
6656.635;139;1.04;-1.96;87.43;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.06;0.25;0.25;-0.00;-0.00;-0.00;0.00;0.09;0.96;-1.85;90.00;0.07;0.06;0.022
6656.725;145;1.04;-1.94;87.76;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.08;0.26;0.25;-0.00;-0.00;-0.00;0.00;0.11;0.96;-1.85;90.00;0.07;0.06;0.009
6656.825;158;1.04;-1.91;88.40;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.12;0.26;0.26;-0.00;0.01;0.01;0.01;0.07;0.96;-1.85;90.00;0.07;0.06;0.009
6656.925;168;1.04;-1.88;88.98;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.16;0.25;0.26;0.00;0.00;-0.00;0.00;0.11;0.96;-1.85;90.00;0.07;0.06;0.009
6657.035;179;1.05;-1.86;89.70;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.20;0.25;0.25;0.00;0.00;0.00;0.00;0.11;0.96;-1.85;90.02;0.08;0.08;0.019
6657.135;188;1.05;-1.83;90.32;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.27;0.24;0.25;-0.00;-0.00;0.00;0.00;0.12;0.96;-1.83;90.27;0.16;0.15;0.021
6657.235;198;1.04;-1.81;91.18;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.33;0.24;0.24;-0.00;-0.01;0.00;0.01;0.16;0.96;-1.81;90.86;0.23;0.21;0.020
6657.325;207;1.04;-1.79;92.08;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.37;0.24;0.24;-0.00;-0.01;0.00;0.00;0.18;0.96;-1.79;91.64;0.28;0.26;0.017
6657.415;217;1.04;-1.76;93.20;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.41;0.24;0.23;-0.03;-0.01;-0.00;-0.00;0.21;0.96;-1.77;92.35;0.31;0.29;0.008
6657.535;227;1.04;-1.74;94.24;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.46;0.25;0.24;-0.00;-0.01;0.04;0.03;0.23;0.96;-1.74;93.76;0.36;0.33;0.019
6657.635;237;1.04;-1.72;95.40;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.50;0.25;0.25;0.00;-0.01;-0.09;-0.08;0.19;0.96;-1.72;94.96;0.40;0.36;0.011
6657.725;246;1.04;-1.70;96.83;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.51;0.26;0.24;-0.01;-0.01;-0.00;0.00;0.24;0.96;-1.71;95.64;0.41;0.38;0.016
6657.835;256;1.04;-1.67;98.56;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.54;0.26;0.25;-0.01;-0.01;0.10;0.10;0.38;0.95;-1.69;97.20;0.44;0.41;0.019
6657.925;267;1.03;-1.64;100.63;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.57;0.27;0.26;0.00;-0.01;-0.12;-0.12;0.31;0.95;-1.66;99.01;0.48;0.44;0.014
6658.025;275;1.03;-1.62;102.61;0.94;-1.60;103.50;0.54;0.50;422;1;1;4;0.59;0.27;0.25;-0.01;-0.01;0.07;0.08;0.47;0.94;-1.63;101.11;0.51;0.47;0.011
6658.125;289;1.02;-1.59;106.01;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.56;0.28;0.30;-0.05;-0.04;0.25;0.09;0.56;0.94;-1.62;102.27;0.53;0.48;0.017
6658.225;298;1.02;-1.56;108.28;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.45;0.29;0.27;-0.00;-0.01;-0.02;-0.02;0.36;0.93;-1.59;104.78;0.54;0.50;0.015
6658.315;308;1.01;-1.54;109.77;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.49;0.30;0.27;0.02;-0.09;-0.21;0.43;0.31;0.92;-1.56;107.33;0.54;0.50;0.006
6658.425;317;1.00;-1.51;111.40;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.50;0.30;0.30;-0.00;-0.01;-0.05;-0.08;0.32;0.92;-1.54;108.61;0.54;0.50;0.007
6658.525;326;0.99;-1.49;113.27;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.52;0.30;0.29;-0.01;-0.01;0.04;0.07;0.40;0.91;-1.52;111.15;0.54;0.50;0.006
6658.615;337;0.98;-1.46;115.53;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.54;0.30;0.32;-0.00;-0.01;0.02;0.03;0.32;0.90;-1.49;113.69;0.54;0.50;0.005
6658.725;345;0.97;-1.43;116.98;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.55;0.30;0.31;-0.02;-0.00;-0.03;-0.06;0.23;0.89;-1.47;114.96;0.54;0.50;0.008
6658.825;359;0.95;-1.39;118.92;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.61;0.30;0.31;-0.04;-0.01;0.05;0.04;0.28;0.88;-1.45;117.50;0.54;0.50;0.009
6658.935;369;0.94;-1.37;120.75;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.65;0.30;0.33;-0.04;-0.01;-0.03;-0.10;0.27;0.86;-1.42;120.03;0.54;0.50;0.017
6659.015;375;0.93;-1.35;122.08;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.67;0.30;0.31;-0.06;-0.01;0.04;0.06;0.47;0.85;-1.39;122.56;0.54;0.50;0.006
6659.125;387;0.91;-1.31;125.01;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.68;0.30;0.33;-0.06;-0.01;0.04;0.06;0.53;0.83;-1.37;125.08;0.54;0.50;0.012
6659.215;398;0.90;-1.28;128.12;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.68;0.30;0.33;-0.06;-0.01;-0.01;-0.09;0.44;0.81;-1.34;127.60;0.54;0.50;0.005
6659.325;407;0.88;-1.25;130.93;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.65;0.30;0.31;-0.07;-0.01;0.01;0.06;0.55;0.80;-1.33;128.86;0.54;0.50;0.007
6659.425;417;0.87;-1.23;133.32;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.67;0.30;0.34;-0.07;-0.01;0.02;0.07;0.47;0.78;-1.30;131.38;0.54;0.50;0.007
6659.525;426;0.85;-1.20;136.00;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.66;0.30;0.32;-0.07;-0.01;0.03;0.07;0.61;0.76;-1.28;133.89;0.54;0.50;0.012
6659.625;436;0.83;-1.17;138.97;0.65;-1.19;145.14;0.53;0.50;422;2;1;4;0.65;0.30;0.30;-0.08;-0.01;0.00;0.08;0.67;0.74;-1.26;136.39;0.53;0.50;0.007
6659.715;445;0.81;-1.15;141.57;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.63;0.30;0.32;-0.05;-0.01;0.03;-0.03;0.40;0.73;-1.25;137.65;0.53;0.50;0.006
6659.825;455;0.79;-1.13;144.32;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.49;0.30;0.31;-0.08;-0.01;0.01;0.03;0.45;0.70;-1.23;140.15;0.53;0.50;0.013
6659.925;469;0.76;-1.10;146.93;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.49;0.30;0.31;-0.00;-0.01;0.00;-0.05;0.29;0.69;-1.22;141.40;0.53;0.50;0.012
6660.025;478;0.74;-1.09;148.16;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.53;0.30;0.30;0.00;-0.07;-0.18;0.22;0.37;0.67;-1.20;143.89;0.53;0.50;0.014
6660.115;488;0.71;-1.07;150.11;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.55;0.30;0.30;-0.00;-0.01;0.01;-0.11;0.31;0.64;-1.18;146.38;0.53;0.50;0.005
6660.225;497;0.69;-1.06;152.20;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.54;0.30;0.29;-0.01;-0.01;-0.01;0.10;0.41;0.62;-1.17;148.82;0.52;0.50;0.010
6660.315;506;0.67;-1.04;153.97;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.53;0.30;0.30;0.00;-0.01;0.02;-0.13;0.29;0.60;-1.16;150.02;0.51;0.50;0.007
6660.425;516;0.64;-1.03;156.01;0.17;-1.05;179.43;0.38;0.50;422;3;1;4;0.53;0.30;0.29;-0.02;-0.01;-0.02;0.07;0.39;0.58;-1.14;152.38;0.50;0.50;0.011
6660.555;530;0.60;-1.01;158.90;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.52;0.30;0.29;-0.02;-0.01;-0.03;0.14;0.43;0.56;-1.14;153.55;0.50;0.50;0.034
6660.635;540;0.57;-1.00;160.87;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.30;0.30;0.30;0.00;-0.01;0.03;-0.11;0.29;0.16;-1.06;180.00;0.06;0.06;0.016
6660.735;549;0.55;-0.99;161.46;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.34;0.30;0.29;-0.01;-0.01;-0.04;0.14;0.10;0.16;-1.06;180.00;0.06;0.06;0.018
6660.825;558;0.52;-0.98;162.02;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.38;0.30;0.30;-0.00;-0.01;0.04;-0.12;0.12;0.16;-1.06;180.00;0.06;0.06;0.009
6660.925;568;0.49;-0.97;163.29;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.40;0.30;0.30;-0.03;-0.01;0.01;-0.04;0.20;0.16;-1.06;180.00;0.06;0.06;0.012
6661.015;577;0.47;-0.96;164.54;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.41;0.30;0.30;-0.04;-0.01;-0.04;0.10;0.29;0.16;-1.06;180.00;0.06;0.06;0.007
6661.125;587;0.44;-0.95;165.78;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.42;0.30;0.31;-0.01;-0.01;0.06;-0.14;0.19;0.16;-1.06;180.00;0.06;0.06;0.011
6661.225;598;0.41;-0.94;167.48;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.43;0.30;0.30;-0.02;-0.01;0.04;-0.09;0.22;0.16;-1.06;180.00;0.06;0.06;0.010
6661.325;606;0.39;-0.93;168.82;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.42;0.30;0.30;-0.04;-0.01;-0.02;0.03;0.27;0.16;-1.06;180.00;0.06;0.06;0.009
6661.435;617;0.35;-0.92;170.39;-0.02;-1.07;188.63;0.49;0.50;539;1;1;2;0.43;0.30;0.30;-0.04;-0.01;-0.09;0.15;0.37;0.16;-1.06;180.00;0.06;0.06;0.014
