t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
12693.955;13;0.45;0.70;-171.88;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.76;-0.02;0.00;0.00;-0.00;0.00;-0.00;0.00;0.45;0.55;180.00;0.00;-0.50;0.059;4.52;5.52;-1000.00;-1000.00
12694.015;16;0.45;0.70;-171.95;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.76;-0.05;-0.02;0.00;0.00;0.00;-0.01;-0.08;0.45;0.55;180.00;0.00;-0.50;0.018;4.52;5.52;-1000.00;-1000.00
12694.115;29;0.45;0.70;-172.75;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.72;-0.07;-0.05;0.00;0.00;0.00;-0.00;-0.13;0.45;0.55;180.00;0.00;-0.50;0.023;4.52;5.52;-1000.00;-1000.00
12694.225;38;0.46;0.70;-173.60;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.68;-0.09;-0.07;-0.00;-0.00;-0.00;0.00;-0.15;0.46;0.55;180.00;0.00;-0.50;0.028;4.52;5.52;-1000.00;-1000.00
12694.315;49;0.47;0.70;-174.60;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.63;-0.11;-0.09;-0.00;-0.00;-0.00;0.00;-0.15;0.46;0.55;180.00;0.00;-0.50;0.027;4.52;5.52;-1000.00;-1000.00
12694.425;57;0.48;0.70;-175.30;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.60;-0.13;-0.11;-0.00;-0.01;-0.00;0.00;-0.15;0.47;0.55;180.00;0.00;-0.50;0.027;4.51;5.52;-1000.00;-1000.00
12694.525;68;0.49;0.70;-176.18;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.56;-0.14;-0.12;-0.00;-0.01;-0.00;0.00;-0.13;0.49;0.55;180.00;0.00;-0.50;0.023;4.51;5.52;-1000.00;-1000.00
12694.615;76;0.50;0.70;-176.76;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.53;-0.16;-0.14;0.00;-0.01;-0.01;0.00;-0.13;0.50;0.55;180.00;0.00;-0.50;0.017;4.51;5.52;-1000.00;-1000.00
12694.725;87;0.51;0.70;-177.53;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.49;-0.18;-0.14;0.02;-0.01;-0.04;0.06;-0.13;0.51;0.55;180.00;0.00;-0.50;0.031;4.51;5.52;-1000.00;-1000.00
12694.845;100;0.54;0.70;-178.31;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.46;-0.19;-0.16;0.00;-0.01;-0.04;0.06;-0.12;0.53;0.55;180.00;0.00;-0.50;0.047;4.51;5.52;-1000.00;-1000.00
12694.935;110;0.55;0.70;-178.80;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.43;-0.20;-0.18;0.00;-0.01;-0.04;0.05;-0.10;0.55;0.55;180.00;0.00;-0.50;0.042;4.51;5.52;-1000.00;-1000.00
12695.015;119;0.57;0.70;-179.16;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.43;-0.22;-0.19;0.01;-0.01;-0.03;0.05;-0.08;0.56;0.55;180.00;0.00;-0.50;0.017;4.51;5.52;-1000.00;-1000.00
12695.115;129;0.59;0.70;-179.57;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.40;-0.23;-0.21;0.00;-0.01;0.02;-0.04;-0.06;0.58;0.55;180.00;0.00;-0.50;0.020;4.51;5.52;-1000.00;-1000.00
12695.225;137;0.61;0.70;-179.85;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.38;-0.24;-0.21;0.00;-0.01;-0.03;0.05;-0.08;0.60;0.55;180.00;0.00;-0.50;0.030;4.51;5.52;-1000.00;-1000.00
12695.325;148;0.63;0.70;-180.18;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.36;-0.25;-0.23;0.01;-0.01;-0.02;0.04;-0.07;0.63;0.55;180.00;0.00;-0.50;0.029;4.51;5.52;-1000.00;-1000.00
12695.415;156;0.65;0.70;-180.39;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.35;-0.26;-0.24;0.01;-0.01;-0.02;0.04;-0.06;0.64;0.55;180.00;0.00;-0.50;0.021;4.51;5.52;-1000.00;-1000.00
12695.515;167;0.68;0.70;-180.67;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.34;-0.27;-0.25;0.01;-0.01;-0.02;0.04;-0.06;0.64;0.55;180.00;0.00;-0.50;0.021;4.51;5.52;-1000.00;-1000.00
12695.615;176;0.70;0.70;-180.85;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.33;-0.27;-0.25;0.01;-0.01;-0.02;0.04;-0.05;0.64;0.55;180.00;0.00;-0.50;0.018;4.51;5.52;-1000.00;-1000.00
12695.705;186;0.73;0.70;-181.01;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.32;-0.28;-0.26;0.01;-0.01;-0.02;0.04;-0.04;0.64;0.55;180.00;0.00;-0.50;0.017;4.51;5.52;-1000.00;-1000.00
12695.825;200;0.77;0.70;-181.17;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.31;-0.27;-0.26;0.01;-0.01;-0.02;0.04;-0.04;0.64;0.55;180.00;0.00;-0.50;0.028;4.51;5.52;-1000.00;-1000.00
12695.905;204;0.78;0.70;-181.19;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.30;-0.27;-0.26;0.00;-0.01;-0.02;0.04;-0.03;0.64;0.55;180.00;0.00;-0.50;0.017;4.51;5.52;-1000.00;-1000.00
12696.025;219;0.82;0.70;-181.26;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.30;-0.26;-0.25;0.00;-0.01;-0.02;0.04;-0.03;0.64;0.55;180.00;0.00;-0.50;0.025;4.51;5.52;-1000.00;-1000.00
