t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1595612454.918;13;1.12;-0.34;-1.00;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.07;-0.04;-0.00;0.00;0.00;-0.00;0.01;0.00;0.95;-0.35;0.00;0.00;-0.50;0.026;1.43;2.68;-100.00;-100.00
1595612454.999;21;1.12;-0.34;-1.02;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.07;-0.08;-0.00;0.00;0.00;-0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.009;1.44;2.71;-100.00;-100.00
1595612455.100;31;1.12;-0.34;-0.99;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.07;-0.12;-0.00;0.00;0.00;-0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.010;1.45;2.75;-100.00;-100.00
1595612455.200;41;1.12;-0.34;-0.93;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.06;-0.16;-0.02;0.00;0.00;-0.01;0.06;0.04;0.95;-0.35;0.00;0.00;-0.50;0.009;1.45;2.80;-100.00;-100.00
1595612455.300;51;1.11;-0.34;-0.89;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.06;-0.20;-0.04;0.00;0.00;0.00;0.01;0.01;0.95;-0.35;0.00;0.00;-0.50;0.009;1.46;2.84;-100.00;-100.00
1595612455.399;61;1.09;-0.34;-0.71;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.06;-0.23;-0.11;0.00;0.00;-0.00;0.01;0.04;0.95;-0.35;0.00;0.00;-0.50;0.009;1.46;2.89;-100.00;-100.00
1595612455.499;71;1.07;-0.34;-0.56;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.05;-0.25;-0.21;0.00;0.00;0.00;-0.00;0.04;0.95;-0.35;0.00;0.00;-0.50;0.009;1.46;2.93;-100.00;-100.00
1595612455.600;81;1.05;-0.34;-0.46;0.85;-0.35;-0.00;0.00;-0.50;363;1;1;2;-0.05;-0.28;-0.19;0.00;0.00;0.00;0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.009;1.47;2.98;-100.00;-100.00
1595612455.701;91;1.03;-0.34;-0.21;0.76;-0.35;-0.00;0.00;-0.50;363;2;1;2;-0.03;-0.30;-0.22;0.00;0.00;0.00;0.01;0.03;0.95;-0.35;0.00;0.00;-0.50;0.010;1.47;3.02;-100.00;-100.00
1595612455.803;101;1.00;-0.34;-0.15;0.76;-0.35;-0.00;0.00;-0.50;363;2;1;2;-0.03;-0.31;-0.25;0.00;0.00;0.01;0.01;0.03;0.95;-0.35;0.00;0.00;-0.50;0.012;1.47;3.06;-100.00;-100.00
