t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
448.505;13;1.10;2.30;0.02;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.044;0.40;-1.46;-1000.00;-1000.00
448.585;20;1.10;2.30;0.02;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.12;-0.08;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.026;0.41;-1.45;-1000.00;-1000.00
448.695;28;1.10;2.30;-0.09;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.12;-0.12;-0.08;-0.00;-0.00;-0.00;-0.01;-0.03;0.95;2.35;0.00;0.00;-0.50;0.041;0.41;-1.44;-1000.00;-1000.00
448.785;39;1.09;2.30;-0.26;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.11;-0.15;-0.12;-0.00;-0.00;-0.02;0.04;-0.02;0.95;2.35;0.00;0.00;-0.50;0.016;0.41;-1.42;-1000.00;-1000.00
448.885;47;1.08;2.30;-0.35;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.10;-0.18;-0.15;-0.00;0.00;-0.00;0.00;-0.04;0.95;2.35;0.00;0.00;-0.50;0.016;0.42;-1.40;-1000.00;-1000.00
448.985;60;1.05;2.30;-0.63;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.09;-0.21;-0.18;0.00;0.00;-0.00;-0.00;-0.04;0.95;2.35;0.00;0.00;-0.50;0.034;0.42;-1.38;-1000.00;-1000.00
449.085;70;1.03;2.30;-0.80;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.08;-0.23;-0.21;-0.00;0.00;-0.00;-0.00;-0.03;0.95;2.35;0.00;0.00;-0.50;0.028;0.42;-1.36;-1000.00;-1000.00
449.185;80;1.01;2.30;-0.93;0.85;2.35;-0.00;0.00;-0.50;391;1;1;2;0.07;-0.25;-0.23;-0.00;0.00;-0.00;-0.00;-0.02;0.95;2.35;0.00;0.00;-0.50;0.034;0.42;-1.35;-1000.00;-1000.00
449.305;89;0.99;2.30;-1.02;0.76;2.35;-0.00;0.00;-0.50;391;2;1;2;0.07;-0.27;-0.25;0.00;0.00;-0.00;-0.00;-0.01;0.95;2.35;0.00;0.00;-0.50;0.043;0.42;-1.33;-1000.00;-1000.00
449.395;99;0.96;2.30;-1.09;0.76;2.35;-0.00;0.00;-0.50;391;2;1;2;0.06;-0.28;-0.27;0.00;0.00;-0.00;-0.00;-0.01;0.95;2.35;0.00;0.00;-0.50;0.038;0.42;-1.32;-1000.00;-1000.00
