t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1595951704.312;12;1.17;-0.34;9.67;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.45;-0.05;0.00;0.00;0.00;-0.00;0.01;0.00;0.95;-0.35;0.00;0.00;-0.50;0.031;1.07;2.39;-100.00;-100.00
1595951704.391;20;1.17;-0.34;9.64;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.45;-0.10;0.00;0.00;0.00;-0.00;0.01;0.00;0.95;-0.35;0.00;0.00;-0.50;0.011;1.07;2.39;-100.00;-100.00
1595951704.491;30;1.17;-0.34;9.52;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.44;-0.14;-0.00;0.00;0.00;-0.01;0.04;-0.03;0.95;-0.35;0.00;0.00;-0.50;0.011;1.07;2.39;-100.00;-100.00
1595951704.591;40;1.16;-0.34;8.86;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.42;-0.18;-0.03;0.00;0.00;-0.01;0.00;-0.11;0.95;-0.35;0.00;0.00;-0.50;0.011;1.07;2.39;-100.00;-100.00
1595951704.692;50;1.15;-0.35;7.81;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.37;-0.22;-0.10;0.00;0.00;0.00;0.02;-0.19;0.95;-0.35;0.00;0.00;-0.50;0.011;1.07;2.39;-100.00;-100.00
1595951704.792;60;1.13;-0.35;6.48;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.31;-0.25;-0.14;0.00;0.00;0.00;0.02;-0.22;0.95;-0.35;0.00;0.00;-0.50;0.011;1.07;2.39;-100.00;-100.00
1595951704.892;70;1.11;-0.35;5.16;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;0.25;-0.29;-0.18;0.00;0.00;0.01;0.02;-0.22;0.95;-0.35;0.00;0.00;-0.50;0.011;1.07;2.39;-100.00;-100.00
1595951704.989;80;1.09;-0.35;3.97;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;0.20;-0.31;-0.22;0.00;0.00;0.01;0.02;-0.20;0.95;-0.35;0.00;0.00;-0.50;0.009;1.07;2.39;-100.00;-100.00
1595951705.089;90;1.06;-0.35;2.99;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;0.15;-0.33;-0.25;0.00;0.00;-0.01;0.01;-0.18;0.95;-0.35;0.00;0.00;-0.50;0.009;1.07;2.39;-100.00;-100.00
1595951705.189;100;1.03;-0.36;2.17;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;0.12;-0.35;-0.28;0.00;0.00;0.01;0.03;-0.14;0.95;-0.35;0.00;0.00;-0.50;0.009;1.07;2.39;-100.00;-100.00
1595951705.289;110;1.00;-0.36;1.43;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;0.09;-0.36;-0.31;0.00;0.00;0.01;0.01;-0.10;0.95;-0.35;0.00;0.00;-0.50;0.009;1.07;2.39;-100.00;-100.00
1595951705.388;120;0.97;-0.36;1.04;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;0.07;-0.37;-0.32;0.00;0.00;0.00;0.02;-0.08;0.95;-0.35;0.00;0.00;-0.50;0.007;1.07;2.39;-100.00;-100.00
1595951705.496;131;0.93;-0.36;0.71;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;0.05;-0.38;-0.34;0.00;0.00;-0.00;0.02;-0.05;0.94;-0.35;-0.00;0.00;-0.50;0.016;1.07;2.39;-100.00;-100.00
1595951705.600;141;0.90;-0.36;0.40;0.65;-0.35;0.00;-0.00;0.37;217;0;1;7;0.04;-0.38;-0.35;0.00;0.00;-0.01;0.02;-0.05;0.91;-0.35;-0.00;0.00;-0.50;0.014;1.07;2.39;-100.00;-100.00
1595951705.691;150;0.87;-0.36;0.15;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;0.78;-0.35;-0.36;0.00;0.00;0.02;-0.01;-0.05;0.87;-0.34;7.48;0.48;0.45;0.011;1.07;2.39;-100.00;-100.00
1595951705.789;160;0.83;-0.36;-0.62;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;0.63;-0.30;-0.36;0.00;0.00;0.00;-0.01;-0.16;0.84;-0.35;5.36;0.41;0.44;0.008;1.07;2.39;-100.00;-100.00
1595951705.889;170;0.80;-0.36;-5.75;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;0.69;-0.26;-0.35;0.00;0.00;-0.01;-0.01;-0.70;0.81;-0.35;3.66;0.35;0.43;0.009;1.07;2.39;-100.00;-100.00
