t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
32546.825;15;1.00;-2.20;90.48;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.17;0.03;0.00;0.00;0.00;-0.00;-0.00;-0.00;1.06;-2.16;90.00;-0.00;0.50;0.054
32546.885;20;1.00;-2.20;90.47;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.17;0.06;0.00;-0.00;-0.00;-0.05;-0.03;-0.00;1.06;-2.16;90.00;-0.00;0.50;0.027
32546.985;28;1.00;-2.20;90.40;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.17;0.08;0.06;0.00;-0.03;0.23;-0.00;-0.03;1.06;-2.16;90.00;-0.00;0.50;0.014
32547.085;38;1.00;-2.19;90.24;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.16;0.11;0.08;0.00;-0.00;0.01;0.02;-0.03;1.06;-2.16;90.00;-0.00;0.50;0.018
32547.195;48;1.00;-2.18;89.99;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.15;0.13;0.11;0.00;0.00;-0.01;-0.00;-0.04;1.06;-2.16;90.00;-0.00;0.50;0.028
32547.285;56;1.00;-2.17;89.80;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.14;0.15;0.13;-0.00;0.00;0.00;0.00;-0.04;1.06;-2.16;90.00;-0.00;0.50;0.025
32547.395;72;1.00;-2.15;89.46;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.13;0.16;0.15;0.00;0.00;-0.00;0.00;-0.03;1.06;-2.16;90.00;-0.00;0.50;0.033
32547.495;81;1.00;-2.14;89.32;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.12;0.18;0.17;0.00;0.00;-0.00;0.00;-0.02;1.06;-2.15;90.00;0.00;0.50;0.033
32547.575;87;1.00;-2.13;89.24;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.11;0.19;0.18;-0.00;0.00;-0.00;0.00;-0.02;1.06;-2.12;90.00;0.00;0.50;0.015
32547.695;99;1.00;-2.10;89.09;1.06;-2.16;90.00;-0.00;0.50;770;0;1;0;-0.11;0.21;0.20;0.00;0.00;-0.00;0.00;-0.02;1.06;-2.11;90.00;0.00;0.50;0.030
32547.785;110;1.00;-2.08;88.98;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.10;0.22;0.21;0.00;0.00;-0.00;0.00;-0.02;1.06;-2.09;90.00;0.00;0.50;0.017
32547.875;118;1.00;-2.06;88.91;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.10;0.24;0.22;0.00;0.00;-0.00;0.00;-0.01;1.06;-2.06;90.00;0.00;0.50;0.011
32547.975;129;1.00;-2.04;88.82;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.09;0.25;0.24;0.00;0.00;-0.00;-0.00;-0.01;1.06;-2.04;90.00;0.00;0.50;0.010
32548.075;137;1.00;-2.02;88.77;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.09;0.26;0.25;0.00;-0.00;-0.00;-0.00;-0.01;1.06;-2.01;90.00;0.00;0.50;0.011
32548.175;146;1.00;-2.00;88.71;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.08;0.27;0.26;-0.00;-0.00;0.00;-0.00;-0.01;1.06;-2.00;90.00;0.00;0.50;0.011
32548.285;160;1.00;-1.96;88.64;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.08;0.28;0.27;0.00;-0.00;0.00;-0.00;-0.01;1.06;-1.97;90.00;0.00;0.50;0.016
32548.375;170;1.00;-1.93;88.59;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.07;0.29;0.28;0.00;-0.00;0.00;-0.00;-0.01;1.06;-1.94;90.00;0.00;0.50;0.014
32548.475;179;1.00;-1.90;88.57;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.07;0.30;0.29;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.92;90.00;0.00;0.50;0.015
32548.575;190;1.00;-1.87;88.54;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.07;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.87;90.00;0.00;0.50;0.013
32548.685;198;1.01;-1.85;88.53;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.07;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.85;90.00;0.00;0.50;0.020
32548.785;209;1.01;-1.81;88.53;1.06;-1.86;90.00;0.00;0.50;770;1;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.82;90.00;0.00;0.50;0.023
32548.885;218;1.01;-1.79;88.52;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.78;90.00;0.00;0.50;0.021
32548.975;228;1.01;-1.76;88.52;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;-0.00;1.06;-1.76;90.00;0.00;0.50;0.008
32549.075;236;1.01;-1.73;88.53;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.74;90.00;0.00;0.50;0.013
32549.165;246;1.01;-1.70;88.53;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.06;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.70;90.00;0.00;0.50;0.006
32549.265;256;1.01;-1.67;88.53;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.68;90.00;0.00;0.50;0.006
32549.365;265;1.01;-1.65;88.53;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.64;90.00;0.00;0.50;0.006
32549.475;276;1.01;-1.61;88.54;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.62;90.00;-0.00;0.50;0.007
32549.565;289;1.01;-1.57;88.54;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.59;90.00;-0.00;0.50;0.008
32549.675;299;1.01;-1.54;88.55;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.56;90.00;-0.00;0.50;0.009
32549.765;308;1.01;-1.52;88.56;1.06;-1.56;90.00;-0.00;0.50;770;2;1;0;-0.05;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.52;90.00;-0.00;0.50;0.006
32549.885;318;1.01;-1.49;88.56;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.04;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.48;90.00;-0.00;0.50;0.014
32549.965;327;1.02;-1.46;88.57;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.04;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.46;90.00;-0.00;0.50;0.003
32550.075;337;1.02;-1.43;88.57;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.04;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.42;90.00;-0.00;0.50;0.007
32550.175;346;1.02;-1.40;88.58;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.04;0.30;0.30;-0.00;-0.00;0.00;-0.00;0.00;1.06;-1.40;90.00;-0.00;0.50;0.003
32550.265;356;1.02;-1.37;88.51;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.04;0.30;0.30;0.01;-0.00;0.04;-0.04;-0.01;1.06;-1.38;90.00;-0.00;0.50;0.006
32550.375;369;1.02;-1.33;88.43;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.03;0.30;0.30;-0.00;0.00;-0.00;0.00;-0.01;1.06;-1.34;90.00;-0.00;0.50;0.003
32550.475;380;1.02;-1.30;88.41;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.03;0.30;0.30;0.00;0.00;-0.00;0.00;-0.00;1.06;-1.32;90.00;-0.00;0.50;0.009
32550.575;390;1.02;-1.27;88.39;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.02;0.30;0.30;-0.00;-0.00;0.00;0.00;-0.00;1.06;-1.28;90.00;-0.00;0.50;0.009
32550.675;399;1.02;-1.24;88.39;1.06;-1.27;90.00;-0.00;0.50;770;3;1;0;-0.02;0.30;0.30;-0.00;-0.00;0.00;0.00;0.00;1.06;-1.26;90.00;-0.00;0.50;0.005
32550.785;409;1.02;-1.21;88.40;1.06;-0.96;90.00;0.00;-0.50;778;0;1;2;-0.02;0.30;0.30;-0.00;-0.00;0.00;0.00;0.00;1.06;-1.21;90.00;-0.00;0.50;0.018
32550.905;423;1.02;-1.17;88.37;1.06;-1.36;90.00;0.00;-0.50;772;0;1;2;-0.18;0.26;0.28;0.00;-0.00;-0.01;-0.00;-0.09;1.06;-1.19;90.00;-0.00;-0.50;0.022
32550.975;428;1.02;-1.16;87.96;1.06;-1.36;90.00;0.00;-0.50;772;0;1;2;-0.20;0.20;0.26;0.00;0.00;-0.00;-0.00;-0.14;1.06;-1.36;90.00;0.00;-0.50;0.014
