t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
85052.995;9;1.22;-2.14;93.37;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.08;0.01;-0.01;-0.00;0.01;-0.04;-0.00;0.01;1.19;-2.03;90.00;-0.00;0.05;0.022
85053.085;16;1.22;-2.14;93.37;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.08;0.03;-0.01;-0.00;0.01;-0.04;-0.00;0.01;1.19;-2.03;90.00;-0.00;0.05;0.007
85053.195;24;1.22;-2.14;93.36;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.08;0.04;-0.00;-0.00;-0.00;0.01;-0.00;0.01;1.19;-2.03;90.00;-0.00;0.05;0.012
85053.285;35;1.22;-2.13;93.37;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.08;0.05;0.04;-0.01;0.01;-0.00;-0.01;-0.02;1.19;-2.03;90.00;-0.00;0.05;0.012
85053.375;43;1.22;-2.13;93.31;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.08;0.06;0.05;-0.00;0.00;-0.01;-0.01;-0.02;1.19;-2.03;90.00;-0.00;0.05;0.005
85053.485;58;1.22;-2.12;93.18;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.07;0.07;0.00;-0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.014
85053.585;66;1.22;-2.12;93.12;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.08;0.08;-0.00;-0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.006
85053.695;77;1.22;-2.11;93.05;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.09;0.08;-0.00;-0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.014
85053.775;86;1.22;-2.10;93.04;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.10;0.09;0.00;0.00;-0.00;-0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.006
85053.885;96;1.22;-2.09;93.01;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.10;0.10;0.00;0.00;-0.00;0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.011
85053.975;105;1.22;-2.08;92.98;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.10;0.10;0.00;0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.005
85054.075;115;1.22;-2.07;92.95;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.11;0.11;0.00;0.00;-0.00;-0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.009
85054.185;127;1.22;-2.06;92.92;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.11;0.11;0.00;0.00;-0.00;0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.011
85054.285;137;1.22;-2.05;92.90;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.11;0.11;0.00;0.00;-0.00;0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.008
85054.375;147;1.22;-2.04;92.88;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.10;0.11;0.00;0.00;0.00;0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.007
85054.485;156;1.21;-2.03;92.86;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.10;0.10;0.00;0.00;0.00;0.00;-0.00;1.19;-2.03;90.00;-0.00;0.14;0.011
85054.575;166;1.21;-2.02;92.85;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.11;0.11;0.00;0.00;-0.00;0.00;-0.00;1.19;-2.02;90.00;-0.00;0.23;0.006
85054.685;175;1.21;-2.01;92.82;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.12;0.11;0.00;0.00;-0.00;0.00;-0.00;1.19;-2.01;90.00;-0.00;0.29;0.012
85054.785;185;1.21;-1.99;92.79;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;-0.07;0.13;0.12;0.00;0.00;-0.00;0.00;-0.01;1.19;-1.99;90.00;-0.00;0.34;0.012
85054.885;194;1.21;-1.98;92.75;1.19;-1.79;90.00;0.00;0.50;951;2;1;2;-0.07;0.14;0.13;-0.00;0.00;-0.00;0.00;-0.01;1.19;-1.98;90.00;-0.00;0.39;0.007
85054.975;204;1.21;-1.97;92.70;1.19;-1.79;90.00;0.00;0.50;951;2;1;2;-0.07;0.16;0.14;-0.00;0.00;-0.00;0.00;-0.01;1.19;-1.97;90.00;-0.00;0.44;0.006
85055.085;218;1.21;-1.95;92.61;1.19;-1.79;90.00;0.00;0.50;951;2;1;2;-0.07;0.17;0.16;0.00;0.00;-0.00;0.00;-0.01;1.19;-1.95;90.00;-0.00;0.49;0.007
85055.185;227;1.21;-1.93;92.54;1.19;-1.79;90.00;0.00;0.50;951;2;1;2;-0.07;0.19;0.17;0.00;0.00;-0.00;0.00;-0.01;1.19;-1.94;90.00;0.00;0.50;0.007
85055.285;238;1.21;-1.91;92.46;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;-0.07;0.20;0.19;0.00;0.00;-0.00;0.00;-0.01;1.19;-1.92;90.00;0.00;0.50;0.007
85055.385;246;1.21;-1.90;92.40;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;-0.30;0.21;0.20;0.00;0.00;-0.00;0.00;-0.01;1.19;-1.78;89.97;0.10;0.06;0.009
85055.485;257;1.21;-1.87;91.45;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;-0.20;0.21;0.21;0.00;-0.00;0.00;-0.00;-0.20;1.19;-1.78;89.97;0.10;0.06;0.007
85055.585;265;1.21;-1.86;90.93;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;-0.13;0.21;0.21;-0.00;-0.00;0.00;-0.00;-0.07;1.19;-1.78;89.97;0.10;0.06;0.006
85055.685;274;1.21;-1.84;90.77;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;-0.08;0.21;0.21;-0.00;-0.00;0.00;-0.00;0.00;1.19;-1.78;89.97;0.10;0.06;0.012
85055.785;284;1.21;-1.82;90.90;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;-0.02;0.21;0.21;-0.00;-0.00;0.00;-0.01;0.05;1.19;-1.78;89.97;0.10;0.06;0.009
85055.885;295;1.21;-1.79;91.29;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.02;0.20;0.21;-0.00;-0.00;0.00;-0.00;0.08;1.19;-1.78;89.97;0.10;0.06;0.006
85056.005;307;1.21;-1.77;91.86;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.10;0.19;0.20;-0.00;-0.00;0.00;0.00;0.08;1.19;-1.78;89.97;0.14;0.09;0.027
85056.095;318;1.21;-1.75;92.59;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.25;0.19;0.20;-0.02;0.00;-0.04;-0.05;0.13;1.19;-1.75;90.61;0.31;0.20;0.012
85056.205;326;1.20;-1.73;93.31;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.32;0.19;0.20;0.00;-0.00;0.05;-0.02;0.17;1.19;-1.73;91.41;0.38;0.24;0.035
85056.275;335;1.20;-1.71;94.29;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.39;0.19;0.19;-0.00;0.00;0.00;0.01;0.21;1.19;-1.71;92.67;0.45;0.29;0.009
85056.395;344;1.20;-1.70;95.42;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.45;0.20;0.20;-0.00;-0.00;0.00;0.01;0.23;1.19;-1.70;93.82;0.50;0.32;0.012
85056.475;355;1.20;-1.67;96.80;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.51;0.20;0.20;-0.00;-0.01;0.00;0.00;0.23;1.19;-1.68;95.24;0.55;0.35;0.008
85056.585;368;1.20;-1.65;98.66;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.57;0.21;0.20;-0.01;-0.01;-0.05;-0.05;0.24;1.18;-1.66;96.98;0.59;0.38;0.015
85056.695;378;1.20;-1.63;100.34;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.64;0.22;0.20;0.00;-0.01;-0.01;-0.01;0.26;1.18;-1.64;99.06;0.64;0.41;0.025
85056.785;386;1.19;-1.61;101.96;1.16;-1.57;107.65;0.79;0.50;952;1;1;5;0.71;0.23;0.21;-0.01;-0.01;0.12;0.13;0.46;1.17;-1.62;101.51;0.69;0.44;0.012
