t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
223.635;14;1.10;-0.30;0.14;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.04;-0.00;-0.00;0.00;0.00;0.02;0.00;0.95;-0.35;0.00;0.00;-0.50;0.054;1.05;2.13;-1000.00;-1000.00
223.695;16;1.10;-0.30;0.16;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.08;-0.02;-0.00;0.00;0.01;0.03;0.04;0.95;-0.35;0.00;0.00;-0.50;0.014;1.05;2.13;-1000.00;-1000.00
223.805;31;1.09;-0.30;0.37;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.10;-0.12;-0.08;-0.00;0.00;-0.01;-0.03;0.02;0.95;-0.35;0.00;0.00;-0.50;0.033;1.05;2.13;-1000.00;-1000.00
223.895;39;1.08;-0.30;0.52;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.10;-0.15;-0.11;0.00;0.01;0.01;0.00;0.04;0.95;-0.35;0.00;0.00;-0.50;0.018;1.05;2.13;-1000.00;-1000.00
223.995;50;1.07;-0.30;0.69;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.09;-0.18;-0.15;-0.00;-0.00;0.02;0.04;0.02;0.95;-0.35;0.00;0.00;-0.50;0.026;1.05;2.13;-1000.00;-1000.00
224.105;58;1.05;-0.30;0.80;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.08;-0.21;-0.18;0.00;-0.00;0.02;0.04;0.03;0.95;-0.35;0.00;0.00;-0.50;0.028;1.05;2.13;-1000.00;-1000.00
224.195;68;1.03;-0.30;0.94;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.07;-0.23;-0.20;-0.00;-0.00;-0.03;-0.06;0.02;0.95;-0.35;0.00;0.00;-0.50;0.020;1.05;2.13;-1000.00;-1000.00
224.285;78;1.01;-0.30;1.12;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.06;-0.25;-0.23;0.00;0.00;0.00;-0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.014;1.05;2.13;-1000.00;-1000.00
224.395;87;0.99;-0.30;1.24;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.06;-0.27;-0.25;0.00;0.00;0.00;-0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.015;1.05;2.13;-1000.00;-1000.00
224.485;97;0.96;-0.30;1.32;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.05;-0.28;-0.27;-0.00;0.00;0.00;-0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.010;1.05;2.13;-1000.00;-1000.00
224.595;106;0.94;-0.30;1.36;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.05;-0.29;-0.28;-0.00;-0.00;0.00;-0.00;0.01;0.94;-0.35;-0.00;0.00;-0.50;0.016;1.05;2.13;-1000.00;-1000.00
224.735;120;0.90;-0.30;1.40;0.65;-0.35;0.00;-0.00;0.37;217;0;1;7;-0.04;-0.30;-0.29;0.00;-0.00;0.00;-0.00;0.00;0.91;-0.35;-0.00;0.00;-0.50;0.041;1.05;2.13;-1000.00;-1000.00
224.815;131;0.87;-0.31;1.41;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.04;-0.30;-0.30;0.00;-0.00;0.00;-0.00;0.00;0.89;-0.34;8.71;0.51;0.45;0.036;1.05;2.13;-1000.00;-1000.00
224.885;135;0.86;-0.31;1.32;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.04;-0.30;-0.16;0.01;-0.00;-0.00;-0.04;-0.10;0.86;-0.34;6.37;0.44;0.44;0.011;1.05;2.13;-1000.00;-1000.00
225.005;150;0.85;-0.31;0.90;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.04;-0.30;0.00;0.00;-0.00;-0.00;-0.00;-0.01;0.86;-0.34;6.37;0.44;0.44;0.024;1.05;2.13;-1000.00;-1000.00
225.085;158;0.85;-0.31;0.83;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.04;-0.30;-0.00;-0.00;0.00;0.01;0.01;-0.01;0.86;-0.34;6.37;0.44;0.44;0.015;1.05;2.13;-1000.00;-1000.00
225.195;169;0.85;-0.31;0.76;1.03;-0.30;24.90;0.79;0.50;217;1;1;7;-0.04;-0.30;0.00;-0.00;0.00;0.00;0.01;-0.01;0.86;-0.34;6.37;0.44;0.44;0.019;1.05;2.13;-1000.00;-1000.00
