t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1614.115;13;1.10;-0.30;0.39;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.09;-0.04;-0.00;-0.00;0.00;0.00;0.02;0.00;0.95;-0.35;0.00;0.00;-0.50;0.101;1.60;0.67;-1000.00;-1000.00
1614.165;16;1.10;-0.30;0.40;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.09;-0.08;-0.00;-0.00;-0.00;-0.01;-0.01;0.01;0.95;-0.35;0.00;0.00;-0.50;0.043;1.60;0.67;-1000.00;-1000.00
1614.275;29;1.10;-0.30;0.42;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.09;-0.12;-0.00;-0.00;0.00;0.01;0.01;0.01;0.95;-0.35;0.00;0.00;-0.50;0.052;1.60;0.67;-1000.00;-1000.00
1614.385;38;1.09;-0.30;0.70;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.08;-0.15;-0.12;0.00;-0.00;0.04;0.04;0.02;0.95;-0.35;0.00;0.00;-0.50;0.060;1.60;0.67;-1000.00;-1000.00
1614.435;42;1.09;-0.30;0.73;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.07;-0.19;-0.13;0.00;0.00;0.00;0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.017;1.60;0.67;-1000.00;-1000.00
1614.565;57;1.06;-0.31;0.96;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.06;-0.21;-0.18;-0.00;0.00;-0.01;-0.02;0.02;0.95;-0.35;0.00;0.00;-0.50;0.037;1.60;0.67;-1000.00;-1000.00
1614.645;62;1.05;-0.31;0.99;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.06;-0.24;-0.21;-0.00;0.00;-0.00;0.01;0.02;0.95;-0.35;0.00;0.00;-0.50;0.025;1.59;0.66;-1000.00;-1000.00
1614.765;75;1.02;-0.31;1.12;0.85;-0.35;-0.00;0.00;-0.50;389;1;1;2;-0.05;-0.26;-0.24;-0.00;-0.00;0.02;0.03;0.01;0.95;-0.35;0.00;0.00;-0.50;0.035;1.55;0.65;-1000.00;-1000.00
1614.865;86;1.00;-0.31;1.19;0.76;-0.35;-0.00;0.00;-0.50;389;2;1;2;-0.05;-0.28;-0.26;-0.00;-0.00;0.02;0.03;0.01;0.95;-0.35;0.00;0.00;-0.50;0.041;1.51;0.64;-1000.00;-1000.00
1614.945;94;0.98;-0.31;1.24;0.76;-0.35;-0.00;0.00;-0.50;389;2;1;2;-0.04;-0.29;-0.28;0.00;-0.00;0.02;0.03;0.00;0.95;-0.35;0.00;0.00;-0.50;0.025;1.48;0.63;-1000.00;-1000.00
1615.055;103;0.95;-0.31;1.27;0.76;-0.35;-0.00;0.00;-0.50;389;2;1;2;-0.04;-0.30;-0.29;-0.00;0.00;-0.01;-0.03;0.01;0.95;-0.35;0.00;0.00;-0.50;0.022;1.44;0.62;-1000.00;-1000.00
1615.155;112;0.92;-0.31;1.30;0.76;-0.35;-0.00;0.00;-0.50;389;2;1;2;-0.04;-0.31;-0.30;0.00;-0.00;0.02;0.03;-0.00;0.92;-0.35;-0.00;0.00;-0.50;0.028;1.40;0.62;-1000.00;-1000.00
1615.285;127;0.88;-0.31;1.33;0.65;-0.35;0.00;0.00;-0.50;209;0;1;2;-0.03;-0.32;-0.31;-0.00;0.00;-0.01;-0.03;0.01;0.89;-0.35;-0.00;0.00;-0.50;0.042;1.33;0.61;-1000.00;-1000.00
1615.355;133;0.86;-0.31;1.33;0.65;-0.35;0.00;0.00;-0.50;209;0;1;2;-0.03;-0.32;-0.32;-0.00;0.00;-0.01;-0.03;0.00;0.65;-0.35;0.00;0.00;-0.50;0.025;1.31;0.61;-1000.00;-1000.00
1615.445;145;0.83;-0.31;1.13;0.65;-0.35;0.00;0.00;-0.50;209;0;1;2;-0.03;-0.32;-0.04;-0.01;-0.04;0.01;-0.32;-0.04;0.65;-0.35;0.00;0.00;-0.50;0.025;1.26;0.60;-1000.00;-1000.00
1615.605;159;0.83;-0.31;1.02;0.65;-0.35;0.00;0.00;-0.50;209;0;1;2;-0.03;-0.32;0.00;-0.00;-0.00;-0.02;-0.03;-0.02;0.65;-0.35;0.00;0.00;-0.50;0.072;1.20;0.60;-1000.00;-1000.00
1615.695;170;0.83;-0.31;1.01;0.65;-0.35;0.00;0.00;-0.50;209;0;1;2;-0.03;-0.32;-0.00;-0.00;0.00;0.01;0.00;0.01;0.65;-0.35;0.00;0.00;-0.50;0.074;1.15;0.59;-1000.00;-1000.00
