t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
671.295;15;0.95;-2.16;91.74;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.60;0.02;-0.00;0.00;0.00;-0.04;-0.00;0.01;0.66;-2.16;90.00;-0.00;0.50;0.077
671.335;16;0.95;-2.16;91.74;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.60;0.05;0.01;0.02;-0.06;0.08;0.26;0.00;0.66;-2.16;90.00;-0.00;0.50;0.020
671.435;25;0.95;-2.16;91.75;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.60;0.07;-0.00;-0.00;-0.00;0.01;0.01;0.01;0.66;-2.16;90.00;-0.00;0.50;0.020
671.535;36;0.95;-2.16;92.09;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.59;0.09;0.06;-0.00;-0.00;-0.06;0.02;0.14;0.66;-2.16;90.00;-0.00;0.50;0.022
671.635;48;0.95;-2.15;93.33;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.52;0.11;0.09;0.00;0.00;0.00;-0.00;0.16;0.66;-2.16;90.00;-0.00;0.50;0.022
671.745;58;0.94;-2.14;94.15;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.48;0.13;0.11;-0.00;-0.00;-0.00;-0.00;0.13;0.66;-2.15;90.00;0.00;0.50;0.025
671.835;67;0.94;-2.13;94.75;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.45;0.14;0.13;-0.00;-0.01;-0.00;-0.00;0.11;0.66;-2.12;90.00;0.00;0.50;0.024
671.935;77;0.94;-2.11;95.34;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.42;0.16;0.15;-0.00;-0.01;-0.00;0.00;0.10;0.66;-2.12;90.00;0.00;0.50;0.025
672.035;86;0.94;-2.10;95.79;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.39;0.18;0.16;-0.00;-0.01;-0.00;0.00;0.08;0.66;-2.10;90.00;0.00;0.50;0.019
672.125;96;0.94;-2.08;96.22;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.37;0.19;0.18;-0.00;-0.01;-0.00;0.00;0.07;0.66;-2.09;90.00;0.00;0.50;0.015
672.225;105;0.94;-2.07;96.55;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.35;0.21;0.19;-0.00;-0.01;-0.00;0.00;0.06;0.66;-2.06;90.00;0.00;0.50;0.016
672.335;115;0.94;-2.05;96.88;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.33;0.22;0.21;-0.00;-0.01;-0.00;-0.00;0.06;0.66;-2.05;90.00;0.00;0.50;0.021
672.445;130;0.93;-2.01;97.33;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.30;0.23;0.21;-0.00;-0.01;0.06;0.05;0.11;0.66;-2.03;90.00;0.00;0.50;0.027
672.555;138;0.93;-2.00;97.49;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.29;0.25;0.23;0.00;-0.01;-0.07;-0.07;0.00;0.66;-2.00;90.00;0.00;0.50;0.038
672.635;147;0.93;-1.98;97.74;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.27;0.26;0.24;-0.00;-0.01;-0.01;-0.01;-0.00;0.66;-1.99;90.00;0.00;0.50;0.024
672.745;158;0.93;-1.95;97.92;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.25;0.27;0.25;-0.00;-0.01;0.01;0.01;0.01;0.66;-1.95;90.00;0.00;0.50;0.033
672.825;166;0.92;-1.93;97.99;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.24;0.28;0.25;-0.00;-0.01;0.05;0.04;0.06;0.66;-1.93;90.00;0.00;0.50;0.013
672.925;177;0.92;-1.90;98.03;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.23;0.29;0.27;-0.00;-0.01;0.04;0.04;0.07;0.66;-1.91;90.00;0.00;0.50;0.015
673.035;185;0.92;-1.88;98.13;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.22;0.30;0.28;-0.00;-0.01;-0.02;-0.02;-0.02;0.66;-1.88;90.00;0.00;0.50;0.018
673.135;195;0.91;-1.85;98.24;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.20;0.30;0.29;-0.00;-0.01;0.01;0.01;-0.01;0.66;-1.86;90.00;0.00;0.50;0.019
673.235;205;0.91;-1.82;98.28;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.19;0.30;0.28;-0.01;-0.01;0.04;0.04;0.04;0.66;-1.82;90.00;0.00;0.50;0.019
673.335;218;0.90;-1.79;98.21;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.19;0.30;0.28;-0.00;-0.01;0.04;0.04;0.04;0.66;-1.80;90.00;0.00;0.50;0.021
673.435;228;0.90;-1.76;98.19;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.18;0.30;0.28;-0.01;-0.01;0.02;0.03;0.01;0.66;-1.77;90.00;0.00;0.50;0.019
673.545;236;0.90;-1.74;98.12;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.17;0.30;0.28;-0.00;-0.01;0.01;0.02;0.00;0.66;-1.74;90.00;0.00;0.50;0.029
673.645;247;0.89;-1.70;98.04;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.17;0.30;0.28;-0.00;-0.01;0.01;0.02;-0.00;0.66;-1.70;90.00;0.00;0.50;0.031
673.735;256;0.89;-1.68;97.89;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.17;0.30;0.30;0.01;-0.01;0.04;0.04;-0.01;0.66;-1.68;90.00;0.00;0.50;0.020
673.835;266;0.89;-1.65;97.94;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.16;0.30;0.28;-0.01;-0.01;0.02;0.03;0.01;0.66;-1.65;90.00;0.00;0.50;0.019
673.945;279;0.88;-1.61;97.84;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.15;0.30;0.29;-0.00;-0.01;0.02;0.02;-0.00;0.66;-1.63;90.00;-0.00;0.50;0.026
674.035;285;0.88;-1.60;97.79;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.15;0.30;0.29;-0.00;-0.01;0.02;0.02;-0.01;0.66;-1.59;90.00;-0.00;0.50;0.020
674.135;299;0.88;-1.56;97.67;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.14;0.30;0.29;-0.00;-0.01;0.02;0.02;-0.01;0.66;-1.57;90.00;-0.00;0.50;0.023
674.255;308;0.87;-1.53;97.60;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.14;0.30;0.29;-0.00;-0.01;0.02;0.02;-0.01;0.66;-1.54;90.00;-0.00;0.50;0.036
