t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
4836.735;16;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.096;1.63;2.36;-1000.00;-1000.00
4836.765;20;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.025;1.63;2.36;-1000.00;-1000.00
4836.885;29;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.035;1.63;2.36;-1000.00;-1000.00
4836.965;39;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.020;1.63;2.36;-1000.00;-1000.00
4837.065;47;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.020;1.63;2.36;-1000.00;-1000.00
4837.155;57;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.013;1.63;2.36;-1000.00;-1000.00
4837.255;66;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.014;1.63;2.36;-1000.00;-1000.00
4837.355;76;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.018;1.63;2.36;-1000.00;-1000.00
4837.455;86;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.014;1.63;2.36;-1000.00;-1000.00
4837.585;101;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.037;1.63;2.36;-1000.00;-1000.00
4837.675;109;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.033;1.63;2.36;-1000.00;-1000.00
4837.775;120;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.030;1.63;2.36;-1000.00;-1000.00
4837.875;128;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.031;1.63;2.36;-1000.00;-1000.00
4837.955;139;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.019;1.63;2.36;-1000.00;-1000.00
4838.075;147;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.035;1.63;2.36;-1000.00;-1000.00
4838.185;162;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.035;1.63;2.36;-1000.00;-1000.00
4838.265;166;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.015;1.63;2.36;-1000.00;-1000.00
4838.355;176;1.10;-0.30;-0.00;0.85;-0.35;-0.00;0.00;-0.50;398;1;1;2;-0.12;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.018;1.63;2.36;-1000.00;-1000.00
