t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1595271804.019;13;-1.10;0.11;-179.24;-1.05;0.28;193.50;0.54;0.50;304;1;1;5;-0.41;-0.02;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.10;0.30;180.00;-0.00;-0.50;0.024
1595271804.076;19;-1.10;0.11;-179.18;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.03;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.16;0.24;202.42;0.54;0.50;0.005
1595271804.174;29;-1.10;0.11;-179.27;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.06;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.16;0.24;202.42;0.54;0.50;0.003
1595271804.274;39;-1.10;0.11;-178.75;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.10;-0.00;0.00;0.00;-0.00;0.01;0.11;-1.16;0.24;202.42;0.54;0.50;0.003
1595271804.374;49;-1.11;0.11;-177.90;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.13;0.02;0.00;0.00;-0.01;-0.00;0.20;-1.16;0.24;202.42;0.54;0.50;0.003
1595271804.475;59;-1.12;0.11;-176.14;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.16;0.08;0.00;0.00;-0.01;0.01;0.31;-1.17;0.24;203.69;0.54;0.50;0.003
1595271804.574;69;-1.13;0.11;-173.80;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.19;0.10;0.00;0.00;-0.01;0.01;0.41;-1.18;0.23;204.96;0.54;0.50;0.003
1595271804.674;79;-1.14;0.10;-171.05;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.21;0.13;0.00;0.00;-0.00;-0.00;0.50;-1.20;0.22;206.23;0.54;0.50;0.003
1595271804.774;89;-1.16;0.10;-167.58;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.24;0.18;0.00;0.00;-0.01;0.01;0.57;-1.23;0.21;208.76;0.54;0.50;0.003
1595271804.874;99;-1.18;0.09;-163.73;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.26;0.20;0.00;0.00;-0.01;0.00;0.67;-1.24;0.20;210.03;0.54;0.50;0.003
1595271804.974;109;-1.20;0.08;-159.61;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.28;0.22;0.00;0.00;-0.01;-0.00;0.73;-1.27;0.18;212.56;0.54;0.50;0.003
1595271805.075;119;-1.22;0.07;-155.05;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.79;0.30;0.24;0.00;0.00;-0.01;0.00;0.80;-1.29;0.17;215.08;0.54;0.50;0.003
1595271805.174;129;-1.24;0.05;-150.03;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.67;0.31;0.27;0.00;0.00;0.00;-0.02;0.86;-1.32;0.15;217.60;0.54;0.50;0.003
1595271805.274;139;-1.26;0.04;-145.30;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.57;0.32;0.28;0.00;0.00;-0.00;-0.01;0.80;-1.34;0.13;220.12;0.54;0.50;0.003
1595271805.375;149;-1.29;0.02;-141.20;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.50;0.33;0.30;0.00;0.00;0.02;0.01;0.70;-1.36;0.11;222.63;0.54;0.50;0.003
1595271805.478;159;-1.31;0.00;-137.77;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.48;0.35;0.23;0.00;0.00;-0.01;0.01;0.58;-1.40;0.08;226.39;0.53;0.50;0.006
1595271805.574;169;-1.33;-0.02;-134.65;-1.47;-0.01;235.14;0.53;0.50;304;2;1;5;0.45;0.36;0.33;0.00;0.00;-0.01;0.00;0.54;-1.42;0.05;228.90;0.53;0.50;0.003
1595271805.674;179;-1.35;-0.05;-131.82;-1.61;-0.49;269.43;0.38;0.50;304;3;1;5;0.44;0.37;0.35;0.00;0.00;-0.01;0.00;0.52;-1.44;0.03;231.40;0.53;0.50;0.003
1595271805.774;189;-1.37;-0.07;-128.72;-1.61;-0.49;269.43;0.38;0.50;304;3;1;5;0.56;0.37;0.36;0.00;0.00;-0.01;-0.00;0.52;-1.47;-0.01;235.14;0.53;0.50;0.003
1595271805.874;199;-1.39;-0.10;-125.42;-1.61;-0.49;269.43;0.38;0.50;304;3;1;5;0.54;0.37;0.36;0.00;0.00;-0.02;0.01;0.62;-1.49;-0.05;238.82;0.52;0.50;0.003
1595271805.974;209;-1.41;-0.13;-121.12;-1.61;-0.49;269.43;0.38;0.50;304;3;1;5;0.45;0.36;0.36;0.00;0.00;0.00;0.01;0.69;-1.51;-0.07;241.21;0.51;0.50;0.003
1595271806.078;219;-1.43;-0.16;-117.29;-1.61;-0.49;269.43;0.38;0.50;304;3;1;5;0.40;0.36;0.27;0.00;0.00;-0.00;-0.00;0.63;-1.53;-0.11;244.69;0.50;0.50;0.007
1595271806.174;229;-1.44;-0.19;-114.40;-1.61;-0.49;269.43;0.38;0.50;304;3;1;5;0.37;0.36;0.36;0.00;0.00;-0.00;0.01;0.53;-1.54;-0.14;246.95;0.49;0.50;0.003
1595271806.284;240;-1.46;-0.22;-111.60;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;0.37;0.36;0.36;0.00;0.00;-0.01;-0.00;0.43;-1.56;-0.19;250.25;0.47;0.50;0.010
1595271806.377;249;-1.47;-0.25;-109.42;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;0.79;0.35;0.27;0.00;0.00;-0.00;-0.02;0.43;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271806.477;259;-1.48;-0.28;-106.62;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;0.79;0.35;0.36;0.00;0.00;-0.00;-0.00;0.65;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271806.577;269;-1.48;-0.31;-100.43;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;0.53;0.34;0.35;0.00;0.00;-0.00;0.02;1.00;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271806.677;279;-1.49;-0.34;-94.52;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;0.20;0.34;0.35;0.00;0.00;-0.02;0.02;0.95;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271806.777;289;-1.49;-0.37;-91.40;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;0.01;0.34;0.34;0.00;0.00;-0.00;0.00;0.62;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271806.877;299;-1.49;-0.41;-90.68;-1.61;-0.68;-98.63;-0.49;0.50;297;1;1;4;-0.08;0.34;0.34;0.00;0.00;-0.01;0.02;0.14;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271806.976;309;-1.49;-0.44;-90.80;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.13;0.33;0.33;0.00;0.00;-0.02;0.02;0.01;-1.60;-0.50;-90.00;-0.06;0.06;0.005
1595271807.075;319;-1.49;-0.47;-90.80;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.17;0.33;0.33;0.00;0.00;-0.02;0.00;-0.03;-1.60;-0.50;-90.00;-0.06;0.06;0.003
1595271807.174;329;-1.50;-0.50;-91.49;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.19;0.32;0.32;0.00;0.00;-0.00;0.02;-0.08;-1.60;-0.50;-90.02;-0.08;0.08;0.003
1595271807.274;339;-1.50;-0.53;-92.10;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.30;0.33;0.32;0.00;0.00;0.00;0.00;-0.12;-1.60;-0.53;-90.49;-0.20;0.20;0.003
1595271807.374;349;-1.50;-0.56;-93.14;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.35;0.33;0.32;0.00;0.00;0.01;0.01;-0.21;-1.60;-0.55;-91.14;-0.26;0.26;0.003
1595271807.474;359;-1.51;-0.59;-94.89;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.38;0.33;0.32;0.00;0.00;-0.00;0.00;-0.29;-1.60;-0.58;-92.21;-0.32;0.32;0.003
1595271807.574;369;-1.51;-0.62;-96.86;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.41;0.34;0.24;0.00;0.00;0.01;-0.00;-0.35;-1.60;-0.61;-93.79;-0.38;0.38;0.003
1595271807.674;379;-1.52;-0.65;-99.15;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.40;0.35;0.33;0.00;0.00;0.01;-0.01;-0.38;-1.60;-0.63;-95.18;-0.42;0.42;0.003
1595271807.774;389;-1.53;-0.68;-101.48;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.46;0.36;0.33;0.00;0.00;-0.00;-0.00;-0.42;-1.61;-0.67;-97.85;-0.47;0.48;0.003
1595271807.875;399;-1.54;-0.71;-104.30;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.42;0.36;0.34;0.00;0.00;-0.01;-0.01;-0.47;-1.61;-0.70;-99.96;-0.47;0.50;0.003
1595271807.974;409;-1.55;-0.74;-107.29;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.34;0.37;0.35;0.00;0.00;0.01;-0.01;-0.49;-1.62;-0.73;-101.97;-0.45;0.50;0.003
1595271808.075;419;-1.56;-0.77;-109.89;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.28;0.38;0.35;0.00;0.00;0.01;-0.00;-0.45;-1.63;-0.76;-103.87;-0.42;0.50;0.003
1595271808.175;429;-1.57;-0.81;-111.82;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.24;0.38;0.37;0.00;0.00;0.00;-0.02;-0.34;-1.63;-0.79;-105.64;-0.40;0.50;0.003
1595271808.274;439;-1.59;-0.84;-113.56;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.20;0.39;0.38;0.00;0.00;-0.00;-0.01;-0.27;-1.64;-0.82;-107.29;-0.37;0.50;0.003
1595271808.374;449;-1.60;-0.87;-114.83;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.20;0.39;0.39;0.00;0.00;0.00;-0.01;-0.23;-1.66;-0.86;-109.55;-0.34;0.50;0.003
1595271808.475;459;-1.62;-0.90;-116.08;-1.73;-1.03;-116.26;-0.18;0.50;297;2;1;4;-0.17;0.40;0.40;0.00;0.00;0.01;-0.01;-0.22;-1.67;-0.89;-110.91;-0.31;0.50;0.003
1595271808.574;469;-1.64;-0.94;-117.20;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;-0.14;0.40;0.39;0.00;0.00;0.01;-0.00;-0.19;-1.68;-0.91;-112.16;-0.29;0.50;0.003
1595271808.673;479;-1.66;-0.97;-118.29;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;-0.14;0.41;0.39;0.00;0.00;-0.00;-0.00;-0.17;-1.70;-0.96;-113.83;-0.25;0.50;0.002
1595271808.773;489;-1.68;-1.00;-119.30;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;-0.10;0.41;0.39;0.00;0.00;-0.01;0.00;-0.17;-1.71;-0.98;-114.80;-0.22;0.50;0.002
1595271808.873;499;-1.70;-1.04;-119.95;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;-0.09;0.42;0.40;0.00;0.00;-0.01;0.00;-0.13;-1.73;-1.02;-116.07;-0.19;0.50;0.002
1595271808.973;509;-1.72;-1.07;-120.68;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;-0.03;0.42;0.41;0.00;0.00;-0.00;-0.00;-0.10;-1.74;-1.05;-116.77;-0.15;0.50;0.002
1595271809.073;519;-1.74;-1.10;-120.90;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;-0.00;0.43;0.41;0.00;0.00;-0.01;0.03;-0.04;-1.76;-1.09;-117.56;-0.10;0.50;0.002
1595271809.173;529;-1.76;-1.14;-121.10;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;0.03;0.43;0.31;0.00;0.00;-0.02;0.03;-0.03;-1.78;-1.13;-118.04;-0.05;0.50;0.002
1595271809.273;539;-1.78;-1.17;-121.12;-1.90;-1.36;-114.54;0.25;0.50;297;3;1;4;0.08;0.44;0.42;0.00;0.00;-0.02;0.03;-0.02;-1.80;-1.17;-118.19;0.00;0.50;0.002
1595271809.373;549;-1.80;-1.21;-120.71;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.12;0.44;0.42;0.00;0.00;-0.00;0.01;0.06;-1.82;-1.19;-118.12;0.04;0.50;0.002
1595271809.473;559;-1.82;-1.25;-120.24;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.18;0.44;0.43;0.00;0.00;0.00;0.03;0.09;-1.84;-1.23;-117.74;0.09;0.50;0.002
1595271809.573;569;-1.85;-1.28;-119.16;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.21;0.45;0.43;0.00;0.00;0.01;0.02;0.17;-1.86;-1.27;-117.04;0.14;0.50;0.002
1595271809.673;579;-1.87;-1.32;-117.74;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.25;0.45;0.55;0.00;0.00;-0.00;-0.01;0.25;-1.88;-1.31;-116.01;0.19;0.50;0.002
1595271809.773;589;-1.88;-1.36;-115.98;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.28;0.45;0.44;0.00;0.00;-0.01;-0.01;0.32;-1.90;-1.35;-114.66;0.24;0.50;0.002
1595271809.873;599;-1.90;-1.40;-113.90;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.31;0.46;0.44;0.00;0.00;0.01;-0.01;0.36;-1.91;-1.39;-113.00;0.29;0.50;0.002
1595271809.973;609;-1.92;-1.44;-111.07;-1.99;-1.71;-90.57;0.63;0.50;297;4;1;4;0.32;0.46;0.45;0.00;0.00;0.01;-0.00;0.40;-1.93;-1.44;-111.04;0.34;0.50;0.002
1595271810.083;620;-1.94;-1.48;-108.27;-1.98;-1.95;-76.50;0.54;0.50;169;1;1;5;0.35;0.46;0.45;0.00;0.00;-0.01;0.01;0.45;-1.95;-1.48;-108.75;0.38;0.50;0.010
1595271810.177;629;-1.95;-1.52;-105.90;-1.98;-1.95;-76.50;0.54;0.50;169;1;1;5;0.26;0.47;0.45;0.00;0.00;0.01;-0.00;0.49;-2.00;-1.70;-90.00;0.07;0.06;0.006
1595271810.276;639;-1.96;-1.56;-103.11;-1.98;-1.95;-76.50;0.54;0.50;169;1;1;5;0.25;0.48;0.45;0.00;0.00;0.01;-0.01;0.43;-2.00;-1.70;-90.00;0.07;0.06;0.005
1595271810.376;649;-1.97;-1.60;-100.70;-1.98;-1.95;-76.50;0.54;0.50;169;1;1;5;0.26;0.48;0.46;0.00;0.00;-0.00;0.00;0.39;-2.00;-1.70;-90.00;0.07;0.06;0.005
