t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1150.915;11;1.31;-2.15;92.10;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.19;0.04;-0.00;-0.00;0.00;-0.02;0.00;0.00;1.19;-2.03;90.00;-0.00;0.50;0.027
1151.015;20;1.31;-2.15;92.11;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.19;0.07;0.00;0.00;0.00;-0.00;-0.00;-0.00;1.19;-2.03;90.00;-0.00;0.50;0.023
1151.115;31;1.31;-2.15;92.11;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.19;0.11;0.01;0.00;-0.03;0.24;0.01;-0.00;1.19;-2.03;90.00;-0.00;0.50;0.020
1151.215;39;1.31;-2.14;92.35;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.18;0.14;0.11;-0.00;-0.00;-0.06;0.02;0.06;1.19;-2.03;90.00;-0.00;0.50;0.022
1151.295;49;1.31;-2.13;92.78;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.16;0.17;0.14;0.00;0.00;-0.00;-0.00;0.08;1.19;-2.03;90.00;-0.00;0.50;0.008
1151.415;58;1.31;-2.12;93.14;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.14;0.19;0.17;-0.00;0.00;-0.00;-0.00;0.06;1.19;-2.03;90.00;-0.00;0.50;0.017
1151.505;69;1.31;-2.10;93.47;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.12;0.21;0.19;-0.00;0.00;-0.00;-0.00;0.05;1.19;-2.03;90.00;-0.00;0.50;0.011
1151.615;77;1.31;-2.08;93.65;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.11;0.23;0.22;-0.00;0.00;-0.00;-0.00;0.03;1.19;-2.03;90.00;-0.00;0.50;0.020
1151.705;86;1.30;-2.06;93.80;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.10;0.25;0.23;0.00;-0.00;0.00;0.00;0.03;1.19;-2.03;90.00;-0.00;0.50;0.009
1151.805;97;1.30;-2.03;93.93;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.09;0.26;0.25;-0.00;-0.00;-0.00;0.00;0.02;1.19;-2.03;90.00;-0.00;0.50;0.010
1151.905;105;1.30;-2.01;93.98;1.19;-2.03;90.00;-0.00;0.50;947;0;1;0;0.08;0.27;0.26;0.00;-0.00;0.00;0.00;0.01;1.19;-2.01;90.00;-0.00;0.50;0.009
