t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
14567.295;10;0.45;0.70;-171.94;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.76;-0.02;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.45;0.55;180.00;0.00;-0.50;0.054;4.61;5.66;-1000.00;-1000.00
14567.375;16;0.45;0.70;-172.15;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.75;-0.05;-0.02;-0.00;-0.00;-0.01;0.02;-0.06;0.45;0.55;180.00;0.00;-0.50;0.020;4.61;5.66;-1000.00;-1000.00
14567.485;24;0.45;0.70;-172.58;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.73;-0.07;-0.04;0.00;-0.00;-0.02;0.03;-0.12;0.45;0.55;180.00;0.00;-0.50;0.035;4.61;5.66;-1000.00;-1000.00
14567.595;39;0.46;0.70;-173.90;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.68;-0.09;-0.07;-0.00;-0.00;-0.00;0.00;-0.15;0.46;0.55;180.00;0.00;-0.50;0.044;4.61;5.66;-1000.00;-1000.00
14567.675;43;0.46;0.70;-174.27;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.65;-0.11;-0.08;0.00;-0.00;-0.00;0.00;-0.17;0.46;0.55;180.00;0.00;-0.50;0.021;4.61;5.66;-1000.00;-1000.00
14567.795;58;0.48;0.70;-175.65;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.58;-0.13;-0.11;-0.00;-0.01;-0.00;0.00;-0.15;0.47;0.55;180.00;0.00;-0.50;0.039;4.61;5.66;-1000.00;-1000.00
14567.885;67;0.49;0.70;-176.32;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.55;-0.14;-0.13;-0.00;-0.01;-0.00;0.00;-0.12;0.48;0.55;180.00;0.00;-0.50;0.032;4.61;5.66;-1000.00;-1000.00
14567.985;77;0.50;0.70;-177.00;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.52;-0.16;-0.14;0.00;-0.01;-0.01;0.00;-0.12;0.50;0.55;180.00;0.00;-0.50;0.033;4.61;5.66;-1000.00;-1000.00
14568.075;87;0.52;0.70;-177.63;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.49;-0.18;-0.15;0.01;-0.01;0.01;-0.01;-0.10;0.51;0.55;180.00;0.00;-0.50;0.026;4.61;5.66;-1000.00;-1000.00
14568.175;97;0.53;0.70;-178.20;0.35;0.55;180.00;0.00;-0.50;1070;0;1;2;0.46;-0.19;-0.18;-0.00;-0.01;0.04;-0.07;-0.08;0.53;0.55;180.00;0.00;-0.50;0.028;4.61;5.66;-1000.00;-1000.00
