t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
9592.465;16;0.38;-1.66;114.03;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.01;-0.00;-0.00;-0.00;0.01;-0.00;0.01;0.66;-0.35;-0.00;0.00;-0.50;0.091;3.98;3.81;-1000.00;-1000.00
9592.535;24;0.38;-1.66;114.04;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.02;-0.00;-0.00;-0.00;0.01;-0.00;0.01;0.66;-0.35;-0.00;0.00;-0.50;0.048;3.98;3.81;-1000.00;-1000.00
9592.595;29;0.38;-1.67;114.04;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.02;-0.01;-0.00;0.01;-0.04;-0.01;0.01;0.66;-0.35;-0.00;0.00;-0.50;0.023;3.98;3.81;-1000.00;-1000.00
9592.695;39;0.38;-1.66;114.31;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.03;0.03;-0.00;0.00;0.02;-0.00;0.06;0.66;-0.35;-0.00;0.00;-0.50;0.020;3.98;3.81;-1000.00;-1000.00
9592.825;54;0.38;-1.66;114.91;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.04;0.03;0.00;0.00;0.00;0.00;0.06;0.66;-0.35;-0.00;0.00;-0.50;0.048;3.98;3.81;-1000.00;-1000.00
9592.895;58;0.38;-1.66;115.08;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.05;0.04;-0.00;0.00;0.00;0.00;0.08;0.66;-0.35;-0.00;0.00;-0.50;0.021;3.98;3.81;-1000.00;-1000.00
9593.015;72;0.38;-1.65;115.69;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.05;0.05;0.00;-0.00;0.00;-0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.036;3.98;3.81;-1000.00;-1000.00
9593.095;79;0.37;-1.65;115.99;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.06;0.05;-0.00;-0.00;0.00;-0.00;0.08;0.66;-0.35;-0.00;0.00;-0.50;0.022;3.98;3.81;-1000.00;-1000.00
9593.215;92;0.37;-1.64;116.55;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.07;0.06;-0.00;-0.00;0.00;-0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.040;3.98;3.81;-1000.00;-1000.00
9593.295;100;0.37;-1.64;116.88;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.07;0.07;-0.00;-0.01;0.00;0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.024;3.98;3.81;-1000.00;-1000.00
9593.395;109;0.37;-1.63;117.28;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.08;0.07;-0.00;-0.01;0.00;0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.023;3.98;3.81;-1000.00;-1000.00
9593.495;120;0.36;-1.62;117.75;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.09;0.08;-0.00;-0.01;0.00;0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.025;3.98;3.81;-1000.00;-1000.00
9593.605;131;0.36;-1.62;118.22;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.09;0.09;-0.01;-0.01;0.01;0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.028;3.98;3.81;-1000.00;-1000.00
9593.695;139;0.35;-1.61;118.67;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.10;0.08;-0.01;-0.01;0.03;0.05;0.14;0.66;-0.35;-0.00;0.00;-0.50;0.023;3.98;3.81;-1000.00;-1000.00
9593.795;148;0.35;-1.60;119.27;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.11;0.08;-0.00;-0.01;0.02;0.03;0.13;0.66;-0.35;-0.00;0.00;-0.50;0.025;3.98;3.81;-1000.00;-1000.00
9593.895;159;0.35;-1.59;119.88;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.11;0.10;0.00;-0.01;0.02;0.04;0.12;0.66;-0.35;-0.00;0.00;-0.50;0.016;3.98;3.81;-1000.00;-1000.00
9593.995;168;0.34;-1.59;120.48;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.12;0.10;-0.00;-0.01;-0.01;-0.00;0.07;0.66;-0.35;-0.00;0.00;-0.50;0.021;3.98;3.81;-1000.00;-1000.00
9594.105;178;0.34;-1.58;121.05;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.13;0.10;-0.01;-0.01;0.01;0.04;0.18;0.66;-0.35;-0.00;0.00;-0.50;0.025;3.98;3.81;-1000.00;-1000.00
9594.195;189;0.33;-1.57;121.63;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.14;0.13;0.00;-0.01;-0.03;-0.06;0.05;0.66;-0.35;-0.00;0.00;-0.50;0.019;3.98;3.81;-1000.00;-1000.00
9594.305;201;0.32;-1.55;122.48;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.15;0.11;-0.01;-0.01;0.00;0.02;0.14;0.66;-0.35;-0.00;0.00;-0.50;0.027;3.98;3.81;-1000.00;-1000.00
9594.415;212;0.32;-1.54;123.16;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.16;0.12;-0.00;-0.00;-0.02;0.00;0.15;0.66;-0.35;-0.00;0.00;-0.50;0.035;3.98;3.81;-1000.00;-1000.00
9594.505;220;0.31;-1.53;123.64;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.16;0.13;-0.00;-0.00;-0.01;0.00;0.09;0.66;-0.35;-0.00;0.00;-0.50;0.027;3.98;3.81;-1000.00;-1000.00
9594.595;231;0.30;-1.52;124.39;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.17;0.14;-0.01;-0.01;-0.01;0.01;0.16;0.66;-0.35;-0.00;0.00;-0.50;0.027;3.98;3.81;-1000.00;-1000.00
9594.705;239;0.30;-1.51;124.97;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.18;0.16;-0.00;-0.00;-0.01;0.01;0.14;0.66;-0.35;-0.00;0.00;-0.50;0.026;3.98;3.81;-1000.00;-1000.00
9594.795;250;0.29;-1.49;126.07;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.19;0.19;-0.01;-0.01;0.01;0.06;0.17;0.66;-0.35;-0.00;0.00;-0.50;0.023;3.98;3.81;-1000.00;-1000.00
9594.895;258;0.28;-1.48;127.15;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.21;0.20;-0.01;-0.01;-0.02;-0.08;0.21;0.66;-0.35;-0.00;0.00;-0.50;0.016;3.98;3.81;-1000.00;-1000.00
9594.995;269;0.27;-1.46;128.93;0.95;-0.35;0.00;0.00;-0.50;403;0;1;2;0.79;0.22;0.21;-0.02;-0.01;0.01;-0.01;0.18;0.66;-0.35;-0.00;0.00;-0.50;0.023;3.98;3.81;-1000.00;-1000.00
