t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
91.015;16;1.10;-0.30;0.10;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.12;-0.04;-0.00;-0.00;-0.00;0.04;0.06;0.01;0.95;-0.35;0.00;0.00;-0.50;0.084;1.10;2.27;-1000.00;-1000.00
91.045;16;1.10;-0.30;0.10;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.12;-0.08;-0.00;-0.00;-0.00;0.04;0.06;0.01;0.95;-0.35;0.00;0.00;-0.50;0.014;1.10;2.27;-1000.00;-1000.00
91.165;28;1.10;-0.30;0.11;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.12;-0.12;0.01;-0.01;-0.03;-0.02;-0.22;-0.00;0.95;-0.35;0.00;0.00;-0.50;0.032;1.10;2.27;-1000.00;-1000.00
91.255;38;1.10;-0.30;0.32;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.11;-0.15;-0.11;-0.01;0.01;-0.01;-0.01;0.07;0.95;-0.35;0.00;0.00;-0.50;0.021;1.10;2.27;-1000.00;-1000.00
91.355;48;1.08;-0.30;0.55;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.09;-0.18;-0.15;0.00;-0.00;0.02;0.04;0.04;0.95;-0.35;0.00;0.00;-0.50;0.024;1.10;2.27;-1000.00;-1000.00
91.475;61;1.06;-0.30;0.83;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.08;-0.21;-0.18;0.00;0.00;0.00;-0.00;0.04;0.95;-0.35;0.00;0.00;-0.50;0.035;1.10;2.27;-1000.00;-1000.00
91.545;67;1.05;-0.30;0.95;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.07;-0.24;-0.21;-0.00;0.00;0.00;-0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.015;1.10;2.27;-1000.00;-1000.00
91.645;75;1.03;-0.30;1.09;0.85;-0.35;-0.00;0.00;-0.50;396;1;1;2;-0.06;-0.26;-0.24;0.00;0.00;0.00;-0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.015;1.10;2.27;-1000.00;-1000.00
91.745;86;1.00;-0.30;1.23;0.76;-0.35;-0.00;0.00;-0.50;396;2;1;2;-0.06;-0.28;-0.26;0.00;0.00;0.00;-0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.015;1.09;2.27;-1000.00;-1000.00
91.845;99;0.97;-0.30;1.32;0.76;-0.35;-0.00;0.00;-0.50;396;2;1;2;-0.05;-0.29;-0.28;0.00;0.00;0.00;-0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.017;1.09;2.27;-1000.00;-1000.00
91.945;108;0.94;-0.30;1.35;0.76;-0.35;-0.00;0.00;-0.50;396;2;1;2;-0.05;-0.30;-0.29;0.00;-0.00;0.00;-0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.016;1.09;2.27;-1000.00;-1000.00
92.075;119;0.91;-0.30;1.37;0.65;-0.35;0.00;-0.00;0.37;210;0;1;7;-0.04;-0.31;-0.30;0.00;-0.00;0.00;-0.00;0.00;0.91;-0.35;-0.00;0.00;-0.50;0.028;1.09;2.27;-1000.00;-1000.00
92.165;128;0.88;-0.30;1.38;1.03;-0.30;24.90;0.79;0.50;210;1;1;7;-0.04;-0.31;-0.31;0.00;-0.00;0.00;-0.00;0.00;0.91;-0.34;10.05;0.54;0.46;0.028;1.09;2.27;-1000.00;-1000.00
