t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
85056.045;16;-0.30;-2.22;-175.31;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.01;-0.00;0.00;-0.00;-0.01;0.01;0.00;-0.31;-2.28;180.00;0.00;0.07;0.083
85056.085;20;-0.30;-2.22;-175.30;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.01;0.00;-0.00;-0.00;-0.01;0.01;0.01;-0.31;-2.28;180.00;0.00;0.07;0.014
85056.185;31;-0.30;-2.22;-175.28;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.02;0.01;0.00;0.00;0.00;-0.01;-0.00;-0.31;-2.28;180.00;0.00;0.07;0.022
85056.285;39;-0.30;-2.22;-175.29;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.02;0.01;-0.00;0.01;0.00;-0.04;0.00;-0.31;-2.28;180.00;0.00;0.07;0.016
85056.365;49;-0.30;-2.22;-175.32;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.02;0.02;0.00;0.00;0.00;-0.01;-0.01;-0.31;-2.28;180.00;0.00;0.07;0.004
85056.475;58;-0.30;-2.22;-175.34;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.03;0.03;0.00;0.00;0.00;-0.01;-0.01;-0.31;-2.28;180.00;0.00;0.07;0.013
85056.585;69;-0.30;-2.22;-175.36;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.03;0.02;0.00;0.00;0.01;-0.04;0.00;-0.31;-2.28;180.00;0.00;0.07;0.011
85056.675;77;-0.31;-2.22;-175.35;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.03;0.02;-0.00;0.00;0.02;-0.07;0.01;-0.31;-2.28;180.00;0.00;0.07;0.010
85056.775;88;-0.31;-2.22;-175.37;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.04;0.03;-0.00;0.01;0.00;-0.04;-0.00;-0.31;-2.28;180.00;0.00;0.07;0.012
85056.875;96;-0.31;-2.22;-175.37;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.04;0.05;0.00;-0.03;-0.02;0.24;-0.01;-0.31;-2.28;180.00;0.00;0.07;0.010
85056.985;107;-0.32;-2.22;-175.37;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.04;0.03;-0.00;0.01;0.00;-0.04;-0.00;-0.32;-2.28;180.00;0.00;0.11;0.010
85057.105;119;-0.32;-2.22;-175.37;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.05;0.05;0.00;-0.03;-0.02;0.24;-0.01;-0.32;-2.28;180.00;0.00;0.14;0.042
85057.205;130;-0.33;-2.22;-175.42;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.05;0.04;-0.00;0.01;0.00;-0.03;-0.01;-0.33;-2.28;180.00;0.00;0.21;0.025
85057.275;138;-0.33;-2.22;-175.44;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.07;0.06;0.05;-0.00;0.00;-0.01;-0.07;-0.02;-0.33;-2.28;180.00;0.00;0.25;0.011
85057.395;149;-0.34;-2.22;-175.58;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.06;0.07;0.07;-0.02;-0.05;0.26;0.02;-0.03;-0.34;-2.28;180.00;0.00;0.28;0.028
85057.465;157;-0.34;-2.22;-175.63;-0.39;-2.28;180.00;0.00;0.50;874;1;1;0;-0.06;0.09;0.07;0.00;0.00;-0.00;-0.00;-0.01;-0.34;-2.28;180.00;0.00;0.32;0.006
85057.565;166;-0.35;-2.22;-175.71;-0.54;-2.28;180.00;-0.00;0.50;874;2;1;0;-0.06;0.10;0.09;0.00;-0.00;0.00;-0.00;-0.01;-0.35;-2.28;180.00;0.00;0.35;0.011
85057.685;181;-0.36;-2.22;-175.79;-0.54;-2.28;180.00;-0.00;0.50;874;2;1;0;-0.06;0.11;0.10;-0.00;-0.00;0.02;-0.04;0.01;-0.36;-2.28;180.00;0.00;0.39;0.017
85057.775;189;-0.37;-2.22;-175.80;-0.54;-2.28;180.00;-0.00;0.50;874;2;1;0;-0.06;0.13;0.12;0.00;-0.00;-0.02;0.04;0.00;-0.37;-2.28;180.00;0.00;0.42;0.007
85057.875;200;-0.39;-2.22;-175.82;-0.54;-2.28;180.00;-0.00;0.50;874;2;1;0;-0.06;0.14;0.13;-0.00;-0.00;0.03;-0.05;-0.00;-0.39;-2.28;180.00;0.00;0.49;0.007
85057.975;208;-0.40;-2.23;-175.88;-0.54;-2.28;180.00;-0.00;0.50;874;2;1;0;-0.06;0.16;0.15;-0.00;-0.00;0.02;-0.03;-0.01;-0.40;-2.28;180.00;0.00;0.50;0.010
85058.075;217;-0.41;-2.23;-175.95;-0.54;-2.28;180.00;-0.00;0.50;874;2;1;0;-0.06;0.18;0.16;0.00;0.00;-0.00;0.01;-0.02;-0.41;-2.28;180.00;0.00;0.50;0.005
