t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1595017066.589;14;-1.13;0.06;-177.99;-1.15;0.18;193.50;0.54;0.50;281;1;1;5;-0.25;-0.02;0.00;0.00;0.00;-0.00;0.00;0.00;-1.13;0.20;180.00;-0.00;-0.50;0.022
1595017066.654;20;-1.13;0.06;-178.20;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.02;0.00;0.00;0.00;-0.00;0.00;-0.00;-1.17;0.17;194.78;0.54;0.50;0.012
1595017066.749;30;-1.13;0.06;-178.10;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.04;0.00;0.00;0.00;-0.00;0.00;-0.00;-1.17;0.17;194.78;0.54;0.50;0.007
1595017066.846;40;-1.13;0.06;-177.94;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.07;0.00;0.00;0.00;-0.00;-0.00;0.06;-1.17;0.17;194.78;0.54;0.50;0.004
1595017066.945;50;-1.14;0.06;-177.68;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.10;0.01;0.00;0.00;-0.00;0.00;0.08;-1.17;0.17;194.78;0.54;0.50;0.004
1595017067.046;60;-1.15;0.06;-176.61;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.12;0.06;0.00;0.00;-0.01;-0.01;0.19;-1.18;0.17;196.06;0.54;0.50;0.004
1595017067.145;70;-1.15;0.05;-175.14;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.14;0.07;0.00;0.00;-0.01;0.01;0.27;-1.18;0.17;196.06;0.54;0.50;0.004
1595017067.245;80;-1.17;0.05;-173.08;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.16;0.11;0.00;0.00;-0.01;0.00;0.34;-1.20;0.16;197.33;0.54;0.50;0.004
1595017067.345;90;-1.18;0.05;-170.74;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.18;0.14;0.00;0.00;-0.00;-0.00;0.41;-1.21;0.16;198.61;0.54;0.50;0.004
1595017067.445;100;-1.19;0.04;-168.13;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.20;0.15;0.00;0.00;-0.00;0.01;0.47;-1.23;0.15;199.88;0.54;0.50;0.004
1595017067.546;110;-1.21;0.03;-165.27;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.74;0.21;0.16;0.00;0.00;-0.01;0.01;0.54;-1.24;0.15;201.15;0.54;0.50;0.004
1595017067.645;120;-1.22;0.03;-162.00;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.67;0.23;0.18;0.00;0.00;-0.01;0.02;0.56;-1.27;0.14;203.69;0.54;0.50;0.004
1595017067.745;130;-1.24;0.02;-158.82;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.60;0.24;0.20;0.00;0.00;-0.01;0.01;0.55;-1.28;0.13;204.96;0.54;0.50;0.004
1595017067.845;140;-1.26;0.01;-155.76;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.55;0.25;0.21;0.00;0.00;0.00;0.01;0.50;-1.31;0.12;207.50;0.54;0.50;0.004
1595017067.945;150;-1.28;-0.01;-153.09;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.52;0.26;0.23;0.00;0.00;0.00;-0.00;0.46;-1.34;0.10;210.03;0.54;0.50;0.004
