t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
535.735;14;-1.45;-1.25;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.02;0.00;0.00;-0.00;0.00;-0.00;0.00;-1.45;-1.25;-90.00;-0.00;0.50;0.089;1.30;2.25;-1000.00;-1000.00
535.765;16;-1.45;-1.25;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.05;0.01;0.00;-0.00;-0.01;0.00;0.00;-1.45;-1.25;-90.00;-0.00;0.50;0.018;1.30;2.25;-1000.00;-1000.00
535.875;24;-1.45;-1.25;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.07;0.05;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.25;-90.00;-0.00;0.50;0.028;1.30;2.25;-1000.00;-1000.00
535.975;35;-1.45;-1.26;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.09;0.07;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.26;-90.00;-0.00;0.50;0.034;1.30;2.25;-1000.00;-1000.00
536.075;43;-1.45;-1.27;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.11;0.09;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.26;-90.00;-0.00;0.50;0.027;1.30;2.25;-1000.00;-1000.00
536.155;53;-1.45;-1.28;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.13;0.11;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.27;-90.00;-0.00;0.50;0.018;1.30;2.25;-1000.00;-1000.00
536.265;63;-1.45;-1.29;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.14;0.13;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.29;-90.00;-0.00;0.50;0.014;1.30;2.25;-1000.00;-1000.00
536.355;74;-1.45;-1.30;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.16;0.14;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.30;-90.00;-0.00;0.50;0.014;1.30;2.25;-1000.00;-1000.00
536.475;88;-1.45;-1.33;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.18;0.16;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.32;-90.00;-0.00;0.50;0.027;1.30;2.25;-1000.00;-1000.00
536.565;93;-1.45;-1.33;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.19;0.18;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.33;-90.00;-0.00;0.50;0.018;1.30;2.25;-1000.00;-1000.00
536.675;108;-1.45;-1.36;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.20;0.19;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.35;-90.00;-0.00;0.50;0.029;1.30;2.25;-1000.00;-1000.00
536.755;112;-1.45;-1.37;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.22;0.20;0.00;-0.00;-0.00;0.00;-0.00;-1.45;-1.37;-90.00;-0.00;0.50;0.013;1.30;2.25;-1000.00;-1000.00
536.875;125;-1.45;-1.40;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.23;0.22;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.39;-90.00;-0.00;0.50;0.031;1.30;2.25;-1000.00;-1000.00
536.965;135;-1.45;-1.42;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.24;0.23;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.42;-90.00;-0.00;0.50;0.015;1.30;2.25;-1000.00;-1000.00
537.085;148;-1.45;-1.45;-90.00;-1.45;-1.49;-90.00;-0.00;0.50;594;1;1;0;-0.00;0.26;0.25;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.44;-90.00;-0.00;0.50;0.037;1.30;2.25;-1000.00;-1000.00
537.175;158;-1.45;-1.48;-90.00;-1.45;-1.73;-90.00;-0.00;0.50;594;2;1;0;-0.00;0.27;0.26;0.00;-0.00;0.00;-0.00;-0.00;-1.45;-1.47;-90.00;-0.00;0.50;0.028;1.30;2.25;-1000.00;-1000.00
