t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
1595607452.139;15;1.14;2.37;1.44;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.02;-0.09;-0.00;0.00;0.00;0.00;0.01;0.00;0.95;2.35;0.00;0.00;-0.50;0.023;-1.43;2.22;1.38;-1.07
1595607452.235;25;1.14;2.37;1.39;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.01;-0.13;-0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.019;-1.44;2.18;1.38;-1.07
1595607452.336;35;1.14;2.37;1.46;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.02;-0.17;-0.00;0.00;0.00;0.00;0.00;0.00;0.95;2.35;0.00;0.00;-0.50;0.019;-1.44;2.13;1.38;-1.07
1595607452.435;45;1.13;2.37;1.71;0.95;2.35;0.00;0.00;-0.50;356;0;1;2;0.02;-0.21;-0.00;0.00;0.00;-0.01;0.09;0.09;0.95;2.35;0.00;0.00;-0.50;0.019;-1.44;2.08;1.38;-1.07
1595607452.533;54;1.12;2.37;1.26;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.01;-0.24;-0.08;0.00;0.00;0.01;-0.01;-0.01;0.95;2.35;0.00;0.00;-0.50;0.016;-1.44;2.04;1.38;-1.07
1595607452.628;64;1.10;2.37;1.52;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.02;-0.27;-0.13;0.00;0.00;-0.01;0.05;0.02;0.95;2.35;0.00;0.00;-0.50;0.012;-1.44;1.99;1.38;-1.07
1595607452.728;74;1.08;2.37;1.43;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.02;-0.29;-0.21;0.00;0.00;-0.01;0.00;-0.00;0.95;2.35;0.00;0.00;-0.50;0.012;-1.44;1.94;1.38;-1.07
1595607452.829;84;1.05;2.37;1.16;0.85;2.35;-0.00;0.00;-0.50;356;1;1;2;0.01;-0.32;-0.24;0.00;0.00;0.01;0.00;-0.01;0.95;2.35;0.00;0.00;-0.50;0.013;-1.44;1.90;1.38;-1.07
1595607452.929;94;1.03;2.37;1.30;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;0.02;-0.33;-0.27;0.00;0.00;0.01;-0.01;0.01;0.95;2.35;0.00;0.00;-0.50;0.013;-1.44;1.85;1.38;-1.07
1595607453.023;103;1.00;2.37;1.24;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;0.02;-0.35;-0.28;0.00;0.00;-0.02;-0.01;-0.00;0.95;2.35;0.00;0.00;-0.50;0.007;-1.45;1.81;1.38;-1.07
1595607453.123;113;0.97;2.37;1.12;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;0.02;-0.36;-0.31;0.00;0.00;-0.02;-0.00;-0.01;0.95;2.35;0.00;0.00;-0.50;0.007;-1.45;1.76;1.38;-1.07
1595607453.223;123;0.94;2.36;1.09;0.76;2.35;-0.00;0.00;-0.50;356;2;1;2;0.02;-0.36;-0.33;0.00;0.00;-0.03;0.02;-0.01;0.94;2.35;-0.00;0.00;-0.50;0.007;-1.45;1.71;1.38;-1.07
1595607453.353;136;0.90;2.36;0.93;0.65;2.35;0.00;0.00;0.50;214;0;1;1;0.01;-0.37;-0.34;0.00;0.00;0.01;0.01;-0.01;0.91;2.35;-0.00;0.00;-0.50;0.029;-1.45;1.65;1.38;-1.07
1595607453.458;147;0.86;2.36;0.95;0.95;2.35;-0.00;0.11;0.00;356;1;1;5;-0.07;-0.33;-0.35;0.00;0.00;0.01;0.00;-0.01;0.88;2.35;0.00;0.00;0.50;0.026;-1.45;1.60;1.38;-1.07
1595607453.534;154;0.84;2.36;0.95;1.14;2.37;13.57;0.65;0.50;356;2;1;5;0.18;-0.29;-0.35;0.00;0.00;0.02;-0.04;0.03;0.95;2.35;0.04;0.18;0.07;0.017;-1.45;1.57;1.38;-1.07
1595607453.628;164;0.81;2.36;1.15;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.22;-0.26;-0.33;0.00;0.00;-0.00;0.01;0.00;0.95;2.35;0.04;0.18;0.07;0.012;-1.45;1.52;1.38;-1.07
1595607453.727;174;0.78;2.36;0.49;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.26;-0.23;-0.30;0.00;0.00;-0.00;0.01;0.01;0.95;2.35;0.04;0.18;0.07;0.011;-1.46;1.47;1.38;-1.07
1595607453.823;183;0.76;2.36;1.38;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.34;-0.19;-0.26;0.00;0.00;0.00;0.02;0.13;0.95;2.35;0.04;0.18;0.07;0.007;-1.46;1.43;1.38;-1.07
1595607453.923;193;0.74;2.36;2.31;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.42;-0.16;-0.23;0.00;0.00;0.01;0.00;0.16;0.95;2.35;0.04;0.18;0.07;0.007;-1.46;1.39;1.38;-1.07
1595607454.023;203;0.73;2.36;3.34;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.50;-0.12;-0.19;0.00;0.00;0.01;-0.01;0.18;0.95;2.35;0.04;0.18;0.07;0.007;-1.46;1.34;1.38;-1.07
1595607454.122;213;0.71;2.36;4.34;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.57;-0.09;-0.17;0.00;0.00;0.01;-0.01;0.17;0.95;2.35;0.04;0.18;0.07;0.006;-1.46;1.29;1.38;-1.07
1595607454.222;223;0.70;2.36;5.43;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.64;-0.06;-0.12;0.00;0.00;0.01;0.00;0.15;0.95;2.35;0.04;0.18;0.07;0.006;-1.46;1.25;1.38;-1.07
1595607454.322;233;0.70;2.35;6.04;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.68;-0.03;-0.09;0.00;0.00;0.01;0.00;0.11;0.95;2.35;0.04;0.18;0.07;0.006;-1.46;1.20;1.38;-1.07
1595607454.423;243;0.69;2.35;6.30;1.14;2.37;13.57;0.65;0.50;356;2;1;5;-0.70;0.00;-0.06;0.00;0.00;0.00;0.01;0.04;0.95;2.35;0.04;0.18;0.07;0.006;-1.46;1.15;1.38;-1.07
