t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
62802.215;20;0.70;-2.20;90.15;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.09;0.03;0.00;-0.01;-0.00;-0.05;0.03;0.01;0.66;-2.16;90.00;-0.00;0.50;0.111
62802.265;25;0.70;-2.20;90.19;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.09;0.06;0.02;-0.01;0.00;0.00;-0.01;0.02;0.66;-2.16;90.00;-0.00;0.50;0.043
62802.325;31;0.70;-2.20;90.28;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.09;0.08;0.05;-0.00;0.00;-0.02;-0.00;0.03;0.66;-2.16;90.00;-0.00;0.50;0.021
62802.425;39;0.70;-2.19;90.39;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.08;0.10;0.08;0.00;0.00;-0.01;0.00;0.02;0.66;-2.16;90.00;-0.00;0.50;0.020
62802.525;50;0.70;-2.18;90.53;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.07;0.13;0.11;0.00;0.00;-0.00;0.00;0.02;0.66;-2.16;90.00;-0.00;0.50;0.019
62802.625;58;0.70;-2.17;90.61;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.07;0.15;0.13;-0.00;0.00;0.02;-0.01;0.01;0.66;-2.16;90.00;-0.00;0.50;0.021
62802.735;72;0.70;-2.15;90.72;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.07;0.16;0.14;0.00;-0.00;-0.04;0.02;0.01;0.66;-2.16;90.00;-0.00;0.50;0.026
62802.825;78;0.70;-2.14;90.74;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.06;0.18;0.16;-0.00;-0.00;-0.04;0.02;0.00;0.66;-2.15;90.00;0.00;0.50;0.023
62802.935;91;0.70;-2.12;90.80;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.06;0.19;0.18;-0.00;0.00;0.03;-0.02;0.01;0.66;-2.13;90.00;0.00;0.50;0.034
62803.025;100;0.70;-2.10;90.84;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.06;0.20;0.19;0.00;-0.00;-0.03;0.02;0.00;0.66;-2.11;90.00;0.00;0.50;0.022
62803.125;111;0.70;-2.08;90.89;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.05;0.22;0.21;-0.00;0.00;0.03;-0.01;0.01;0.66;-2.09;90.00;0.00;0.50;0.023
62803.225;119;0.70;-2.06;90.93;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.05;0.23;0.22;-0.00;0.00;0.03;-0.01;0.01;0.66;-2.06;90.00;0.00;0.50;0.023
62803.335;129;0.70;-2.04;90.97;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.05;0.24;0.23;-0.00;0.00;0.03;-0.01;0.01;0.66;-2.05;90.00;0.00;0.50;0.031
62803.435;142;0.70;-2.01;91.02;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.04;0.25;0.24;0.00;-0.00;-0.03;0.02;0.00;0.66;-2.03;90.00;0.00;0.50;0.028
62803.555;152;0.70;-1.98;91.05;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.04;0.27;0.25;0.00;-0.00;-0.03;0.02;0.00;0.66;-1.99;90.00;0.00;0.50;0.044
62803.615;160;0.70;-1.96;91.07;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.04;0.27;0.26;0.00;-0.00;-0.03;0.02;-0.00;0.66;-1.98;90.00;0.00;0.50;0.017
62803.715;171;0.70;-1.93;91.10;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.04;0.28;0.28;-0.00;0.00;0.03;-0.01;0.01;0.66;-1.94;90.00;0.00;0.50;0.019
62803.825;180;0.70;-1.91;91.11;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.04;0.29;0.28;0.00;-0.00;-0.03;0.02;-0.00;0.66;-1.92;90.00;0.00;0.50;0.022
62803.935;190;0.70;-1.88;91.13;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.03;0.30;0.29;0.00;-0.00;-0.03;0.02;-0.00;0.66;-1.88;90.00;0.00;0.50;0.026
62804.045;203;0.70;-1.84;91.15;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.03;0.30;0.30;-0.00;0.00;0.03;-0.01;0.00;0.66;-1.86;90.00;0.00;0.50;0.038
62804.125;209;0.70;-1.82;91.15;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.03;0.30;0.30;-0.00;0.00;0.03;-0.01;0.00;0.66;-1.82;90.00;0.00;0.50;0.022
62804.235;223;0.70;-1.78;91.14;0.66;-1.56;90.00;-0.00;0.50;726;2;1;0;0.03;0.30;0.30;-0.00;0.00;0.03;-0.01;0.00;0.66;-1.80;90.00;0.00;0.50;0.027
62804.325;228;0.70;-1.77;91.14;0.66;-1.56;90.00;-0.00;0.50;726;2;1;0;0.03;0.30;0.30;0.00;-0.00;-0.03;0.02;-0.01;0.66;-1.76;90.00;0.00;0.50;0.016
62804.425;239;0.70;-1.73;91.13;0.66;-1.56;90.00;-0.00;0.50;726;2;1;0;0.03;0.30;0.30;-0.00;0.00;0.03;-0.01;0.00;0.66;-1.74;90.00;0.00;0.50;0.018
62804.545;252;0.69;-1.69;91.13;0.66;-1.56;90.00;-0.00;0.50;726;2;1;0;0.02;0.30;0.30;0.00;-0.00;-0.03;0.02;-0.00;0.66;-1.71;90.00;0.00;0.50;0.029
