t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1595263692.735;13;-1.18;2.09;8.24;-1.30;2.20;0.00;-0.00;0.50;323;0;1;0;-0.14;0.05;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.18;2.20;0.00;0.00;0.50;0.016
1595263692.835;23;-1.18;2.09;8.28;-1.30;2.20;0.00;-0.00;0.50;323;0;1;0;-0.15;0.07;-0.00;0.00;0.00;-0.00;0.01;0.00;-1.18;2.20;0.00;0.00;0.50;0.016
1595263692.934;33;-1.18;2.09;8.25;-1.30;2.20;0.00;-0.00;0.50;323;0;1;0;-0.14;0.09;-0.00;0.00;0.00;0.00;-0.01;-0.00;-1.18;2.20;0.00;0.00;0.50;0.015
1595263693.035;43;-1.18;2.09;8.16;-1.30;2.20;0.00;-0.00;0.50;323;0;1;0;-0.14;0.11;0.02;0.00;0.00;0.00;0.01;-0.02;-1.18;2.20;0.00;0.00;0.50;0.016
1595263693.135;53;-1.17;2.09;7.95;-1.30;2.20;0.00;-0.00;0.50;323;0;1;0;-0.13;0.13;0.05;0.00;0.00;0.00;-0.02;-0.03;-1.17;2.20;0.00;0.00;0.50;0.016
1595263693.235;63;-1.16;2.09;7.71;-1.30;2.20;0.00;-0.00;0.50;323;0;1;0;-0.12;0.15;0.08;0.00;0.00;0.00;-0.01;-0.03;-1.16;2.20;0.00;0.00;0.50;0.016
1595263693.335;73;-1.15;2.09;7.63;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.11;0.16;0.10;0.00;0.00;0.01;0.01;-0.02;-1.16;2.20;0.00;0.00;0.50;0.016
1595263693.430;83;-1.13;2.09;7.38;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.10;0.18;0.12;0.00;0.00;0.01;0.02;-0.02;-1.13;2.20;0.00;0.00;0.50;0.011
1595263693.530;93;-1.12;2.09;7.37;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.10;0.19;0.14;0.00;0.00;0.00;0.01;-0.04;-1.12;2.20;0.00;0.00;0.50;0.011
1595263693.630;103;-1.10;2.09;6.78;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.07;0.21;0.16;0.00;0.00;-0.01;0.03;-0.04;-1.11;2.20;0.00;0.00;0.50;0.011
1595263693.730;113;-1.08;2.09;6.50;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.06;0.22;0.18;0.00;0.00;-0.02;0.02;-0.04;-1.08;2.20;0.00;0.00;0.50;0.011
1595263693.830;123;-1.06;2.09;6.51;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.06;0.23;0.19;0.00;0.00;-0.02;0.01;-0.02;-1.07;2.20;0.00;0.00;0.50;0.011
1595263693.930;133;-1.04;2.09;6.24;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.04;0.25;0.25;0.00;0.00;0.00;-0.01;-0.02;-1.05;2.20;0.00;0.00;0.50;0.011
1595263694.030;143;-1.02;2.09;6.28;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.04;0.26;0.21;0.00;0.00;0.01;-0.00;-0.02;-1.02;2.20;0.00;0.00;0.50;0.011
1595263694.130;153;-1.00;2.09;6.05;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.03;0.27;0.23;0.00;0.00;0.00;0.00;-0.03;-1.00;2.20;0.00;0.00;0.50;0.012
1595263694.230;163;-0.98;2.09;5.99;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.03;0.28;0.24;0.00;0.00;-0.00;0.01;-0.02;-0.98;2.20;0.00;0.00;0.50;0.012
1595263694.324;172;-0.96;2.09;5.95;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.02;0.29;0.25;0.00;0.00;0.01;-0.01;-0.02;-0.96;2.20;0.00;0.00;0.50;0.006
1595263694.424;182;-0.93;2.09;5.96;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.02;0.30;0.26;0.00;0.00;0.01;-0.01;-0.02;-0.93;2.20;0.00;0.00;0.50;0.006
1595263694.524;192;-0.90;2.09;5.68;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.01;0.31;0.34;0.00;0.00;-0.02;-0.01;-0.03;-0.90;2.20;0.00;0.00;0.50;0.006
1595263694.624;202;-0.88;2.09;5.67;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.00;0.32;0.28;0.00;0.00;-0.01;-0.02;-0.00;-0.88;2.20;0.00;0.00;0.50;0.006
1595263694.724;212;-0.85;2.09;5.66;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;-0.00;0.33;0.29;0.00;0.00;-0.00;0.01;-0.00;-0.86;2.20;0.00;0.00;0.50;0.006
1595263694.824;222;-0.82;2.09;5.43;-1.00;2.20;0.00;0.00;0.50;323;1;1;0;0.01;0.34;0.37;0.00;0.00;-0.00;0.02;0.01;-0.82;2.20;0.00;0.00;0.50;0.006
1595263694.924;232;-0.79;2.08;5.58;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.01;0.34;0.38;0.00;0.00;-0.01;-0.03;0.01;-0.80;2.20;0.00;0.00;0.50;0.006
1595263695.022;242;-0.76;2.08;5.75;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.00;0.35;0.31;0.00;0.00;-0.00;-0.02;0.02;-0.76;2.20;0.00;-0.00;0.50;0.004
1595263695.122;252;-0.73;2.08;5.85;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;-0.00;0.36;0.32;0.00;0.00;0.01;-0.02;0.01;-0.74;2.20;0.00;-0.00;0.50;0.003
1595263695.222;262;-0.70;2.08;5.89;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.00;0.36;0.33;0.00;0.00;0.02;0.00;0.01;-0.70;2.20;0.00;-0.00;0.50;0.004
1595263695.322;272;-0.67;2.08;5.61;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.02;0.37;0.34;0.00;0.00;-0.00;-0.02;0.00;-0.67;2.20;0.00;-0.00;0.50;0.004
1595263695.422;282;-0.63;2.08;5.75;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.01;0.37;0.43;0.00;0.00;0.00;-0.00;0.01;-0.64;2.20;0.00;-0.00;0.50;0.004
1595263695.522;292;-0.60;2.08;5.85;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.00;0.38;0.35;0.00;0.00;0.01;0.01;0.02;-0.60;2.20;0.00;-0.00;0.50;0.004
1595263695.622;302;-0.57;2.08;5.96;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;-0.00;0.39;0.36;0.00;0.00;0.01;-0.02;-0.01;-0.57;2.20;0.00;-0.00;0.50;0.004
1595263695.722;312;-0.53;2.08;5.97;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.00;0.39;0.36;0.00;0.00;0.00;0.04;-0.01;-0.53;2.20;0.00;-0.00;0.50;0.004
1595263695.822;322;-0.50;2.08;5.69;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.01;0.40;0.28;0.00;0.00;-0.04;0.03;-0.00;-0.49;2.20;-0.00;-0.00;0.50;0.004
1595263695.922;332;-0.46;2.08;5.92;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.00;0.40;0.38;0.00;0.00;0.01;-0.02;0.02;-0.46;2.20;-0.00;-0.00;0.50;0.003
1595263696.022;342;-0.42;2.08;5.89;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;0.01;0.41;0.38;0.00;0.00;0.01;0.00;0.00;-0.42;2.20;-0.00;-0.00;0.50;0.003
1595263696.122;352;-0.39;2.08;6.11;-0.71;2.20;0.00;-0.00;0.50;323;2;1;0;-0.00;0.41;0.48;0.00;0.00;-0.00;0.00;0.01;-0.39;2.20;-0.00;-0.00;0.50;0.004
1595263696.232;363;-0.35;2.07;6.03;-0.10;2.20;0.00;0.00;-0.50;426;0;1;2;0.01;0.42;0.39;0.00;0.00;0.02;-0.01;-0.00;-0.35;2.20;-0.00;-0.00;0.50;0.010
1595263696.337;373;-0.31;2.07;5.74;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.60;0.37;0.30;0.00;0.00;-0.02;-0.02;0.02;-0.32;2.20;0.00;-0.00;-0.50;0.010
1595263696.426;382;-0.28;2.07;6.79;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.64;0.30;0.40;0.00;0.00;0.01;0.02;0.27;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263696.526;392;-0.24;2.07;11.88;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;0.24;0.38;0.00;0.00;0.01;0.02;0.68;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263696.626;402;-0.22;2.07;15.78;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;0.17;0.33;0.00;0.00;0.00;0.00;0.68;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263696.726;412;-0.20;2.07;19.38;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;0.10;0.21;0.00;0.00;0.01;0.02;0.63;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263696.826;422;-0.19;2.07;21.67;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;0.04;0.20;0.00;0.00;0.00;0.01;0.37;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263696.926;432;-0.18;2.08;22.69;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.03;0.13;0.00;0.00;-0.00;0.03;0.18;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.026;442;-0.18;2.08;22.50;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.09;0.07;0.00;0.00;0.00;0.02;0.02;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.126;452;-0.18;2.08;21.76;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.14;-0.01;0.00;0.00;0.00;0.02;-0.11;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.226;462;-0.19;2.07;20.30;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.19;-0.05;0.00;0.00;-0.00;0.03;-0.26;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.326;472;-0.20;2.07;17.58;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.24;-0.13;0.00;0.00;-0.02;0.03;-0.43;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.427;482;-0.21;2.07;13.83;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.29;-0.16;0.00;0.00;-0.02;0.02;-0.60;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.526;492;-0.23;2.06;9.52;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.79;-0.33;-0.21;0.00;0.00;-0.01;0.03;-0.75;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.626;502;-0.26;2.06;4.21;-0.50;2.20;0.00;0.00;-0.50;123;0;1;2;0.54;-0.37;-0.25;0.00;0.00;-0.03;-0.00;-0.91;-0.50;2.20;0.00;0.00;-0.50;0.008
1595263697.737;513;-0.29;2.07;-1.21;-0.65;2.18;-13.50;-0.54;0.50;384;1;1;6;0.27;-0.40;-0.29;0.00;0.00;0.02;-0.00;-0.83;-0.50;2.20;0.00;0.00;-0.50;0.010
1595263697.824;522;-0.32;2.07;-4.42;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;-0.33;-0.33;0.00;0.00;-0.01;0.00;-0.47;-0.35;2.02;-41.38;-0.54;0.50;0.006
1595263697.922;532;-0.35;2.08;-5.17;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;-0.25;-0.36;0.00;0.00;-0.03;-0.05;-0.16;-0.37;2.04;-38.86;-0.54;0.50;0.004
1595263698.022;542;-0.38;2.08;0.10;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;-0.18;-0.27;0.00;0.00;0.02;-0.03;0.63;-0.40;2.06;-36.34;-0.54;0.50;0.004
1595263698.122;552;-0.41;2.09;3.92;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;-0.11;-0.29;0.00;0.00;0.02;-0.01;0.58;-0.41;2.07;-35.08;-0.54;0.50;0.004
1595263698.222;562;-0.42;2.09;6.23;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;-0.05;-0.20;0.00;0.00;0.02;-0.00;0.38;-0.42;2.08;-33.82;-0.54;0.50;0.004
1595263698.322;572;-0.43;2.09;7.70;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.01;-0.19;0.00;0.00;0.01;-0.02;0.20;-0.43;2.08;-32.56;-0.54;0.50;0.004
1595263698.422;582;-0.43;2.09;7.77;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.07;-0.05;0.00;0.00;-0.00;-0.02;0.04;-0.43;2.08;-32.56;-0.54;0.50;0.004
1595263698.522;592;-0.43;2.09;6.91;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.12;-0.01;0.00;0.00;-0.00;-0.02;-0.13;-0.43;2.08;-32.56;-0.54;0.50;0.004
1595263698.622;602;-0.42;2.09;5.68;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.18;0.04;0.00;0.00;-0.01;-0.04;-0.22;-0.42;2.08;-33.82;-0.54;0.50;0.004
1595263698.722;612;-0.40;2.08;2.92;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.23;0.10;0.00;0.00;-0.02;-0.01;-0.40;-0.41;2.07;-35.08;-0.54;0.50;0.004
1595263698.822;622;-0.38;2.08;-0.11;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.27;0.11;0.00;0.00;-0.02;-0.02;-0.49;-0.41;2.07;-35.08;-0.54;0.50;0.004
1595263698.922;632;-0.36;2.08;-4.36;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.32;0.24;0.00;0.00;0.00;0.00;-0.64;-0.38;2.05;-37.60;-0.54;0.50;0.004
1595263699.022;642;-0.33;2.08;-9.10;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.36;0.25;0.00;0.00;-0.01;0.01;-0.83;-0.37;2.04;-38.86;-0.54;0.50;0.004
1595263699.122;652;-0.30;2.07;-14.89;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.39;0.29;0.00;0.00;-0.02;0.01;-0.95;-0.35;2.02;-41.38;-0.54;0.50;0.004
1595263699.222;662;-0.27;2.06;-21.36;-0.09;1.41;-89.43;-0.38;0.50;384;3;1;6;-0.79;0.42;0.33;0.00;0.00;-0.01;-0.02;-1.10;-0.32;2.00;-43.89;-0.54;0.50;0.004
