t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1595276638.723;9;-1.05;0.07;-174.00;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.43;0.03;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.08;0.12;180.00;-0.00;0.50;0.014
1595276638.817;19;-1.05;0.07;-173.95;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.44;0.05;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.08;0.12;180.00;-0.00;0.50;0.008
1595276638.916;29;-1.06;0.07;-173.70;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.45;0.07;0.00;0.00;0.00;-0.00;0.00;0.01;-1.08;0.12;180.00;-0.00;0.50;0.008
1595276639.016;39;-1.06;0.07;-174.13;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.43;0.10;0.02;0.00;0.00;0.00;-0.01;-0.02;-1.08;0.12;180.00;-0.00;0.50;0.008
1595276639.116;49;-1.07;0.07;-174.46;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.41;0.12;0.06;0.00;0.00;-0.00;-0.00;-0.06;-1.08;0.12;180.00;-0.00;0.50;0.008
1595276639.216;59;-1.08;0.07;-174.90;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.39;0.14;0.08;0.00;0.00;-0.00;0.00;-0.08;-1.08;0.12;180.00;-0.00;0.50;0.008
1595276639.316;69;-1.09;0.07;-175.39;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.37;0.15;0.08;0.00;0.00;-0.00;0.01;-0.09;-1.09;0.12;180.00;-0.00;0.50;0.008
1595276639.417;79;-1.10;0.06;-175.93;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.35;0.17;0.13;0.00;0.00;-0.01;0.00;-0.11;-1.10;0.12;180.00;-0.00;0.50;0.008
1595276639.516;89;-1.12;0.06;-176.70;-1.08;0.12;180.00;-0.00;0.50;1418;0;1;2;-0.31;0.18;0.15;0.00;0.00;-0.01;0.00;-0.12;-1.12;0.12;180.00;-0.00;0.50;0.008
1595276639.616;99;-1.13;0.06;-177.45;-1.19;0.13;180.00;-0.00;0.50;1418;1;1;2;-0.27;0.20;0.12;0.00;0.00;-0.00;-0.01;-0.11;-1.13;0.12;180.00;-0.00;0.50;0.008
1595276639.714;108;-1.15;0.06;-177.86;-1.19;0.13;180.00;-0.00;0.50;1418;1;1;2;-0.25;0.21;0.18;0.00;0.00;-0.00;-0.00;-0.10;-1.15;0.13;180.00;-0.00;0.50;0.005
1595276639.814;118;-1.17;0.06;-178.42;-1.19;0.13;180.00;-0.00;0.50;1418;1;1;2;-0.23;0.23;0.19;0.00;0.00;-0.01;0.01;-0.10;-1.17;0.13;180.00;-0.00;0.50;0.005
1595276639.913;128;-1.19;0.06;-179.01;-1.19;0.13;180.00;-0.00;0.50;1418;1;1;2;-0.20;0.24;0.15;0.00;0.00;-0.01;0.01;-0.11;-1.19;0.13;180.00;-0.00;0.50;0.005
1595276640.013;138;-1.21;0.06;-179.66;-1.19;0.13;180.00;-0.00;0.50;1418;1;1;2;-0.16;0.25;0.27;0.00;0.00;-0.00;-0.01;-0.09;-1.21;0.13;180.00;-0.00;0.50;0.005
1595276640.114;148;-1.24;0.06;-180.13;-1.32;0.13;180.00;0.00;0.50;1418;2;1;2;-0.14;0.26;0.23;0.00;0.00;-0.01;-0.02;-0.08;-1.23;0.13;180.00;0.00;0.50;0.005
1595276640.224;159;-1.26;0.07;-180.56;-1.53;0.10;197.65;0.79;0.50;332;1;1;5;-0.11;0.28;0.25;0.00;0.00;-0.01;0.00;-0.07;-1.26;0.13;180.00;0.00;0.50;0.010
