t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1595263984.401;13;-1.14;0.07;175.60;-1.15;0.18;193.50;0.54;0.50;281;1;1;5;-0.53;-0.02;-0.00;0.00;0.00;-0.00;0.00;0.00;-1.14;0.20;180.00;-0.00;-0.50;0.035
1595263984.453;19;-1.14;0.07;175.55;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.02;-0.00;0.00;0.00;-0.00;0.01;0.00;-1.17;0.17;194.78;0.54;0.50;0.006
1595263984.551;28;-1.14;0.07;175.47;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.06;-0.00;0.00;0.00;-0.00;0.01;0.00;-1.17;0.17;194.78;0.54;0.50;0.003
1595263984.651;38;-1.14;0.07;175.91;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.09;0.00;0.00;0.00;-0.00;-0.01;0.08;-1.17;0.17;194.78;0.54;0.50;0.003
1595263984.751;48;-1.15;0.07;176.91;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.12;0.03;0.00;0.00;-0.00;0.01;0.17;-1.17;0.17;194.78;0.54;0.50;0.003
1595263984.851;58;-1.16;0.07;178.25;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.15;0.08;0.00;0.00;-0.01;0.00;0.26;-1.18;0.17;196.06;0.54;0.50;0.003
1595263984.951;68;-1.17;0.07;180.31;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.17;0.11;0.00;0.00;-0.01;0.01;0.34;-1.20;0.16;197.33;0.54;0.50;0.003
1595263985.051;78;-1.18;0.06;183.05;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.20;0.10;0.00;0.00;-0.00;0.00;0.44;-1.21;0.16;198.61;0.54;0.50;0.003
1595263985.151;88;-1.19;0.06;186.02;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.22;0.17;0.00;0.00;-0.01;0.00;0.52;-1.23;0.15;199.88;0.54;0.50;0.003
1595263985.251;98;-1.21;0.05;189.49;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.24;0.19;0.00;0.00;-0.01;0.01;0.61;-1.26;0.14;202.42;0.54;0.50;0.003
1595263985.351;108;-1.23;0.04;193.39;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.26;0.15;0.00;0.00;-0.01;0.01;0.67;-1.27;0.14;203.69;0.54;0.50;0.003
1595263985.451;118;-1.25;0.03;197.80;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.79;0.28;0.23;0.00;0.00;-0.02;0.01;0.74;-1.30;0.12;206.23;0.54;0.50;0.003
1595263985.551;128;-1.27;0.02;202.36;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.69;0.29;0.25;0.00;0.00;-0.01;0.01;0.80;-1.33;0.11;208.76;0.54;0.50;0.003
1595263985.651;138;-1.30;0.00;207.09;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.58;0.30;0.33;0.00;0.00;-0.00;0.01;0.79;-1.35;0.09;211.29;0.54;0.50;0.003
1595263985.751;148;-1.32;-0.01;210.86;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.51;0.31;0.28;0.00;0.00;-0.00;-0.01;0.66;-1.38;0.08;213.82;0.54;0.50;0.003
1595263985.851;158;-1.34;-0.03;214.22;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.46;0.32;0.29;0.00;0.00;0.00;-0.00;0.60;-1.40;0.06;216.34;0.54;0.50;0.003
1595263985.951;168;-1.36;-0.05;217.18;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.44;0.33;0.30;0.00;0.00;-0.01;-0.00;0.54;-1.43;0.04;218.86;0.54;0.50;0.003
1595263986.051;178;-1.39;-0.07;220.18;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.43;0.34;0.30;0.00;0.00;-0.01;0.00;0.49;-1.46;0.01;222.63;0.54;0.50;0.003
1595263986.151;188;-1.41;-0.09;222.67;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.43;0.35;0.32;0.00;0.00;0.01;-0.01;0.48;-1.49;-0.01;225.14;0.54;0.50;0.003
1595263986.251;198;-1.43;-0.11;225.39;-1.57;-0.11;235.14;0.53;0.50;281;2;1;5;0.42;0.36;0.33;0.00;0.00;-0.01;0.01;0.48;-1.51;-0.03;227.65;0.53;0.50;0.003
1595263986.355;209;-1.45;-0.14;228.54;-1.71;-0.59;269.43;0.38;0.50;281;3;1;5;0.42;0.37;0.34;0.00;0.00;-0.01;0.00;0.48;-1.54;-0.07;231.40;0.53;0.50;0.007
1595263986.455;219;-1.47;-0.17;231.36;-1.71;-0.59;269.43;0.38;0.50;281;3;1;5;0.52;0.37;0.35;0.00;0.00;-0.01;0.00;0.48;-1.56;-0.09;233.89;0.53;0.50;0.007
1595263986.555;229;-1.49;-0.20;234.58;-1.71;-0.59;269.43;0.38;0.50;281;3;1;5;0.51;0.36;0.36;0.00;0.00;-0.02;0.04;0.59;-1.58;-0.13;237.61;0.52;0.50;0.007
1595263986.655;239;-1.51;-0.23;238.65;-1.71;-0.59;269.43;0.38;0.50;281;3;1;5;0.45;0.36;0.36;0.00;0.00;-0.01;0.02;0.66;-1.61;-0.17;241.21;0.51;0.50;0.007
1595263986.755;249;-1.52;-0.26;242.19;-1.71;-0.59;269.43;0.38;0.50;281;3;1;5;0.39;0.36;0.36;0.00;0.00;-0.00;0.01;0.60;-1.62;-0.20;243.55;0.50;0.50;0.007
1595263986.855;259;-1.53;-0.29;245.16;-1.71;-0.59;269.43;0.38;0.50;281;3;1;5;0.38;0.36;0.36;0.00;0.00;-0.01;-0.00;0.53;-1.64;-0.24;246.95;0.49;0.50;0.007
1595263986.975;271;-1.55;-0.33;248.18;-1.69;-0.78;-81.37;0.49;0.50;140;1;1;3;0.35;0.35;0.35;0.00;0.00;-0.01;0.00;0.45;-1.65;-0.27;249.16;0.48;0.50;0.020
