t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
92112.415;8;1.26;-2.13;95.32;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.01;-0.00;0.00;0.00;-0.01;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05;0.015
92112.505;16;1.26;-2.14;95.33;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.03;-0.00;-0.00;-0.00;0.01;-0.01;0.01;1.19;-2.03;90.00;-0.00;0.05;0.009
92112.605;24;1.26;-2.14;95.34;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.09;0.04;-0.00;-0.00;-0.00;0.01;-0.01;0.01;1.19;-2.03;90.00;-0.00;0.05;0.005
92112.715;39;1.26;-2.13;95.34;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.09;0.05;0.04;0.00;0.00;-0.01;-0.01;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.013
92112.815;47;1.26;-2.13;95.27;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.06;0.06;0.00;0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.008
92112.905;58;1.26;-2.12;95.19;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.07;0.07;-0.00;-0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.006
92113.005;66;1.26;-2.12;95.13;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.08;0.07;-0.00;0.00;-0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.007
92113.115;75;1.26;-2.11;95.11;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.09;0.08;0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.007
92113.205;84;1.25;-2.10;95.08;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.09;0.00;0.00;0.03;0.02;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.005
92113.315;99;1.25;-2.09;95.01;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.10;-0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.018
92113.415;108;1.25;-2.08;94.96;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.10;0.00;0.00;0.03;0.02;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.007
92113.515;118;1.25;-2.07;94.92;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.11;0.00;0.00;0.03;0.02;-0.01;1.19;-2.03;90.00;-0.00;0.05;0.007
92113.615;127;1.25;-2.06;94.88;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.10;-0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.011
92113.715;137;1.25;-2.05;94.84;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.10;-0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.007
92113.815;145;1.25;-2.04;94.80;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.10;-0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.03;90.00;-0.00;0.05;0.010
92113.915;159;1.25;-2.02;94.76;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.10;0.10;-0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.03;90.00;-0.00;0.09;0.011
92114.015;169;1.25;-2.01;94.73;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.11;0.10;-0.00;-0.00;-0.03;-0.02;-0.00;1.19;-2.02;90.00;-0.00;0.21;0.014
92114.125;180;1.25;-2.00;94.69;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.11;0.11;0.00;0.00;0.03;0.02;-0.01;1.19;-2.01;90.00;-0.00;0.27;0.020
92114.215;188;1.25;-1.99;94.66;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.12;0.12;0.00;0.00;0.03;0.02;-0.01;1.19;-2.00;90.00;-0.00;0.32;0.012
92114.305;197;1.25;-1.98;94.62;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.14;0.12;-0.00;-0.00;-0.03;-0.02;-0.01;1.19;-1.98;90.00;-0.00;0.39;0.006
92114.425;207;1.24;-1.97;94.55;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.15;0.13;-0.00;-0.00;-0.03;-0.02;-0.01;1.19;-1.97;90.00;-0.00;0.44;0.008
92114.515;216;1.24;-1.96;94.46;1.19;-1.95;90.00;-0.00;0.50;954;1;1;2;-0.08;0.17;0.15;0.00;0.00;0.00;0.00;-0.02;1.19;-1.96;90.00;-0.00;0.48;0.010
92114.615;226;1.24;-1.94;94.37;1.19;-1.79;90.00;0.00;0.50;954;2;1;2;-0.08;0.18;0.17;0.00;0.00;-0.00;0.00;-0.02;1.19;-1.94;90.00;0.00;0.50;0.011
92114.715;237;1.24;-1.92;94.26;1.16;-1.57;107.65;0.79;0.50;955;1;1;5;-0.08;0.20;0.18;0.00;0.00;-0.00;0.00;-0.02;1.19;-1.92;90.00;0.00;0.50;0.008
92114.815;246;1.24;-1.90;94.16;1.16;-1.57;107.65;0.79;0.50;955;1;1;5;-0.36;0.20;0.20;0.00;0.00;-0.00;0.00;-0.02;1.19;-1.78;89.97;0.10;0.06;0.011
