t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
6011.235;16;1.10;-0.30;0.18;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.04;0.00;-0.00;0.01;0.01;0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.075;4.24;4.97;-1000.00;-1000.00
6011.285;20;1.10;-0.30;0.20;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.08;0.00;-0.01;-0.00;0.03;0.05;0.01;0.95;-0.35;0.00;0.00;-0.50;0.027;4.24;4.97;-1000.00;-1000.00
6011.385;29;1.10;-0.30;0.25;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.10;-0.12;0.00;-0.01;-0.00;0.03;0.05;0.01;0.95;-0.35;0.00;0.00;-0.50;0.037;4.24;4.97;-1000.00;-1000.00
6011.475;39;1.10;-0.30;0.41;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.09;-0.15;-0.12;-0.01;0.01;0.00;0.03;0.05;0.95;-0.35;0.00;0.00;-0.50;0.016;4.24;4.97;-1000.00;-1000.00
6011.565;48;1.08;-0.30;0.66;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.08;-0.19;-0.15;0.00;0.00;0.00;-0.00;0.04;0.95;-0.35;0.00;0.00;-0.50;0.013;4.24;4.97;-1000.00;-1000.00
6011.675;58;1.07;-0.30;0.83;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.07;-0.21;-0.18;-0.00;0.00;-0.01;-0.03;0.03;0.95;-0.35;0.00;0.00;-0.50;0.018;4.24;4.97;-1000.00;-1000.00
6011.795;69;1.05;-0.30;0.97;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.06;-0.24;-0.21;-0.00;-0.00;0.02;0.04;0.03;0.95;-0.35;0.00;0.00;-0.50;0.033;4.24;4.97;-1000.00;-1000.00
6011.865;77;1.03;-0.31;1.07;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.06;-0.26;-0.23;-0.00;0.00;0.00;0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.014;4.24;4.97;-1000.00;-1000.00
6011.975;88;1.00;-0.31;1.18;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.05;-0.28;-0.26;-0.00;0.00;0.00;0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.017;4.24;4.97;-1000.00;-1000.00
6012.075;101;0.97;-0.31;1.33;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.04;-0.29;-0.28;0.00;0.00;0.00;-0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.023;4.24;4.97;-1000.00;-1000.00
6012.165;107;0.95;-0.31;1.35;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.04;-0.30;-0.29;-0.00;-0.00;0.00;-0.00;0.01;0.95;-0.35;-0.00;0.00;-0.50;0.009;4.24;4.97;-1000.00;-1000.00
6012.315;125;0.90;-0.31;1.39;0.65;-0.35;0.00;-0.00;0.37;217;0;1;7;-0.03;-0.31;-0.31;-0.00;-0.00;0.00;0.00;0.00;0.92;-0.35;-0.00;0.00;-0.50;0.044;4.24;4.97;-1000.00;-1000.00
